dealer	ytd	Jan	Feb	Mar	Apr	May	Jun	Jul	source_file	source_sheet	source_range	privacy_transform	data_quality
POS DAYA - BENGKAL	1435	201	227	241	168	166	205	227	SSU.2026.xlsx	Monitoring Penjualan Dealer Dai	A1:BD73970	AGGREGATED; customer PII fields excluded from public memory	Current 2026 authority through Jul 2026
POS DAYA - SUNDERLAND	736	87	96	107	102	94	114	136	SSU.2026.xlsx	Monitoring Penjualan Dealer Dai	A1:BD73970	AGGREGATED; customer PII fields excluded from public memory	Current 2026 authority through Jul 2026
POS PATRIA - BUNGO	512	83	76	86	50	62	65	90	SSU.2026.xlsx	Monitoring Penjualan Dealer Dai	A1:BD73970	AGGREGATED; customer PII fields excluded from public memory	Current 2026 authority through Jul 2026
POS PATRIA - MENDALO	791	112	114	132	94	112	95	132	SSU.2026.xlsx	Monitoring Penjualan Dealer Dai	A1:BD73970	AGGREGATED; customer PII fields excluded from public memory	Current 2026 authority through Jul 2026
POS PATRIA - PAUH	544	79	91	64	63	81	77	89	SSU.2026.xlsx	Monitoring Penjualan Dealer Dai	A1:BD73970	AGGREGATED; customer PII fields excluded from public memory	Current 2026 authority through Jul 2026
POS PATRIA - SEI. GELAM	619	82	95	120	71	87	78	86	SSU.2026.xlsx	Monitoring Penjualan Dealer Dai	A1:BD73970	AGGREGATED; customer PII fields excluded from public memory	Current 2026 authority through Jul 2026
POS PATRIA - SIJENJANG	522	63	84	76	69	67	81	82	SSU.2026.xlsx	Monitoring Penjualan Dealer Dai	A1:BD73970	AGGREGATED; customer PII fields excluded from public memory	Current 2026 authority through Jul 2026
POS PATRIA - TUNGKAL	678	104	102	105	81	91	91	104	SSU.2026.xlsx	Monitoring Penjualan Dealer Dai	A1:BD73970	AGGREGATED; customer PII fields excluded from public memory	Current 2026 authority through Jul 2026
POS SSM - NIPAH PANJANG	672	83	88	116	89	94	72	130	SSU.2026.xlsx	Monitoring Penjualan Dealer Dai	A1:BD73970	AGGREGATED; customer PII fields excluded from public memory	Current 2026 authority through Jul 2026
POS TUNAS JAMBI - BULURAN	578	79	84	103	80	80	64	88	SSU.2026.xlsx	Monitoring Penjualan Dealer Dai	A1:BD73970	AGGREGATED; customer PII fields excluded from public memory	Current 2026 authority through Jul 2026
POS TUNAS MERLUNG - SEI. BADAR	457	71	63	55	62	60	70	76	SSU.2026.xlsx	Monitoring Penjualan Dealer Dai	A1:BD73970	AGGREGATED; customer PII fields excluded from public memory	Current 2026 authority through Jul 2026
POS TUNAS SABAK - RANTAU RASAU	319	50	48	44	41	37	35	64	SSU.2026.xlsx	Monitoring Penjualan Dealer Dai	A1:BD73970	AGGREGATED; customer PII fields excluded from public memory	Current 2026 authority through Jul 2026
PT. ASTRA INTERNATIONAL TBK-HONDA	2103	285	270	308	302	274	280	384	SSU.2026.xlsx	Monitoring Penjualan Dealer Dai	A1:BD73970	AGGREGATED; customer PII fields excluded from public memory	Current 2026 authority through Jul 2026
PT. BADORAY MOTOR - LINTAS	2812	429	500	471	334	342	361	375	SSU.2026.xlsx	Monitoring Penjualan Dealer Dai	A1:BD73970	AGGREGATED; customer PII fields excluded from public memory	Current 2026 authority through Jul 2026
PT. BADORAY MOTOR - RIMBO	794	108	117	134	73	91	112	159	SSU.2026.xlsx	Monitoring Penjualan Dealer Dai	A1:BD73970	AGGREGATED; customer PII fields excluded from public memory	Current 2026 authority through Jul 2026
PT. BULAN MOTOR - MERLUNG	1694	249	236	255	222	229	238	265	SSU.2026.xlsx	Monitoring Penjualan Dealer Dai	A1:BD73970	AGGREGATED; customer PII fields excluded from public memory	Current 2026 authority through Jul 2026
PT. BULAN MOTOR - SABAK	858	102	151	170	105	74	124	132	SSU.2026.xlsx	Monitoring Penjualan Dealer Dai	A1:BD73970	AGGREGATED; customer PII fields excluded from public memory	Current 2026 authority through Jul 2026
PT. BULAN MOTOR - TUNGKAL	1920	284	329	381	226	220	228	252	SSU.2026.xlsx	Monitoring Penjualan Dealer Dai	A1:BD73970	AGGREGATED; customer PII fields excluded from public memory	Current 2026 authority through Jul 2026
PT. CITRA KARYA INTISENTOSA I	255	37	22	43	41	42	24	46	SSU.2026.xlsx	Monitoring Penjualan Dealer Dai	A1:BD73970	AGGREGATED; customer PII fields excluded from public memory	Current 2026 authority through Jul 2026
PT. CITRA KARYA INTISENTOSA II	334	57	40	38	41	44	40	74	SSU.2026.xlsx	Monitoring Penjualan Dealer Dai	A1:BD73970	AGGREGATED; customer PII fields excluded from public memory	Current 2026 authority through Jul 2026
PT. CITRA LENCANA SAKTI - BANGKO	3499	583	579	553	374	437	464	509	SSU.2026.xlsx	Monitoring Penjualan Dealer Dai	A1:BD73970	AGGREGATED; customer PII fields excluded from public memory	Current 2026 authority through Jul 2026
PT. CITRA LENCANA SAKTI - PAMENANG	1308	200	170	200	154	181	191	212	SSU.2026.xlsx	Monitoring Penjualan Dealer Dai	A1:BD73970	AGGREGATED; customer PII fields excluded from public memory	Current 2026 authority through Jul 2026
PT. CITRA LENCANA SAKTI - SINGKUT	2595	376	364	421	309	339	377	409	SSU.2026.xlsx	Monitoring Penjualan Dealer Dai	A1:BD73970	AGGREGATED; customer PII fields excluded from public memory	Current 2026 authority through Jul 2026
PT. DAYA ANUGRAH MANDIRI - BAHAR	731	108	82	102	76	109	116	138	SSU.2026.xlsx	Monitoring Penjualan Dealer Dai	A1:BD73970	AGGREGATED; customer PII fields excluded from public memory	Current 2026 authority through Jul 2026
PT. DAYA ANUGRAH MANDIRI - JAMBI	1644	229	249	249	220	222	236	239	SSU.2026.xlsx	Monitoring Penjualan Dealer Dai	A1:BD73970	AGGREGATED; customer PII fields excluded from public memory	Current 2026 authority through Jul 2026
PT. DAYA ANUGRAH MANDIRI - RIMBO	1243	180	178	205	158	158	178	186	SSU.2026.xlsx	Monitoring Penjualan Dealer Dai	A1:BD73970	AGGREGATED; customer PII fields excluded from public memory	Current 2026 authority through Jul 2026
PT. MEGA WAHANA PESONA - SENGETI	1188	168	177	189	156	166	144	188	SSU.2026.xlsx	Monitoring Penjualan Dealer Dai	A1:BD73970	AGGREGATED; customer PII fields excluded from public memory	Current 2026 authority through Jul 2026
PT. MEGA WAHANA PESONA - SIMP. RIMBO	436	74	38	68	63	54	58	81	SSU.2026.xlsx	Monitoring Penjualan Dealer Dai	A1:BD73970	AGGREGATED; customer PII fields excluded from public memory	Current 2026 authority through Jul 2026
PT. NUSANTARA SURYA SAKTI - JAMBI	1737	238	221	254	238	252	244	290	SSU.2026.xlsx	Monitoring Penjualan Dealer Dai	A1:BD73970	AGGREGATED; customer PII fields excluded from public memory	Current 2026 authority through Jul 2026
PT. NUSANTARA SURYA SAKTI - SRLG	1492	189	202	181	200	236	238	246	SSU.2026.xlsx	Monitoring Penjualan Dealer Dai	A1:BD73970	AGGREGATED; customer PII fields excluded from public memory	Current 2026 authority through Jul 2026
PT. PATRIA ANUGRAH SENTOSA - JAMBI	1061	164	164	165	125	138	148	157	SSU.2026.xlsx	Monitoring Penjualan Dealer Dai	A1:BD73970	AGGREGATED; customer PII fields excluded from public memory	Current 2026 authority through Jul 2026
PT. PATRIA ANUGRAH SENTOSA - SRLG	1174	173	166	176	142	162	157	198	SSU.2026.xlsx	Monitoring Penjualan Dealer Dai	A1:BD73970	AGGREGATED; customer PII fields excluded from public memory	Current 2026 authority through Jul 2026
PT. RIAU ARGO PERKASA	1182	170	153	196	138	167	158	200	SSU.2026.xlsx	Monitoring Penjualan Dealer Dai	A1:BD73970	AGGREGATED; customer PII fields excluded from public memory	Current 2026 authority through Jul 2026
PT. SENTOSA SAKTI MOTOR - MAYANG	1205	176	180	177	164	150	144	214	SSU.2026.xlsx	Monitoring Penjualan Dealer Dai	A1:BD73970	AGGREGATED; customer PII fields excluded from public memory	Current 2026 authority through Jul 2026
PT. SENTOSA SAKTI MOTOR - THEHOK	992	132	161	146	121	110	133	189	SSU.2026.xlsx	Monitoring Penjualan Dealer Dai	A1:BD73970	AGGREGATED; customer PII fields excluded from public memory	Current 2026 authority through Jul 2026
PT. SINAR SENTOSA MOTORA - ABUNJANI	1478	200	193	215	204	190	205	271	SSU.2026.xlsx	Monitoring Penjualan Dealer Dai	A1:BD73970	AGGREGATED; customer PII fields excluded from public memory	Current 2026 authority through Jul 2026
PT. SINAR SENTOSA MOTORA - BAHAR	1288	167	160	190	162	167	189	253	SSU.2026.xlsx	Monitoring Penjualan Dealer Dai	A1:BD73970	AGGREGATED; customer PII fields excluded from public memory	Current 2026 authority through Jul 2026
PT. SINAR SENTOSA MOTORA - BULIAN	873	128	113	131	94	118	119	170	SSU.2026.xlsx	Monitoring Penjualan Dealer Dai	A1:BD73970	AGGREGATED; customer PII fields excluded from public memory	Current 2026 authority through Jul 2026
PT. SINAR SENTOSA MOTORA - HANDIL	561	69	74	91	83	55	67	122	SSU.2026.xlsx	Monitoring Penjualan Dealer Dai	A1:BD73970	AGGREGATED; customer PII fields excluded from public memory	Current 2026 authority through Jul 2026
PT. SINAR SENTOSA MOTORA - PAAL VI	1324	175	161	197	172	180	187	252	SSU.2026.xlsx	Monitoring Penjualan Dealer Dai	A1:BD73970	AGGREGATED; customer PII fields excluded from public memory	Current 2026 authority through Jul 2026
PT. SINAR SENTOSA MOTORA - TEBING	869	120	125	157	107	97	110	153	SSU.2026.xlsx	Monitoring Penjualan Dealer Dai	A1:BD73970	AGGREGATED; customer PII fields excluded from public memory	Current 2026 authority through Jul 2026
PT. SINAR SENTOSA MOTORA - WAHIDIN	198	13	18	24	32	27	37	47	SSU.2026.xlsx	Monitoring Penjualan Dealer Dai	A1:BD73970	AGGREGATED; customer PII fields excluded from public memory	Current 2026 authority through Jul 2026
PT. SURYA MANDALA - BAKUNG	460	53	63	78	35	48	75	108	SSU.2026.xlsx	Monitoring Penjualan Dealer Dai	A1:BD73970	AGGREGATED; customer PII fields excluded from public memory	Current 2026 authority through Jul 2026
PT. SURYA MANDALA - SEBAPO	951	106	131	140	130	132	138	174	SSU.2026.xlsx	Monitoring Penjualan Dealer Dai	A1:BD73970	AGGREGATED; customer PII fields excluded from public memory	Current 2026 authority through Jul 2026
PT. TEMBESI JAYA SENTOSA	1302	170	204	204	150	155	184	235	SSU.2026.xlsx	Monitoring Penjualan Dealer Dai	A1:BD73970	AGGREGATED; customer PII fields excluded from public memory	Current 2026 authority through Jul 2026
PT. TEMBESI JAYA SENTOSA - RENGAS	1088	142	157	187	135	123	153	191	SSU.2026.xlsx	Monitoring Penjualan Dealer Dai	A1:BD73970	AGGREGATED; customer PII fields excluded from public memory	Current 2026 authority through Jul 2026
PT. TUNAS DWIPA MATRA - BANGKO	3481	553	577	566	402	460	401	522	SSU.2026.xlsx	Monitoring Penjualan Dealer Dai	A1:BD73970	AGGREGATED; customer PII fields excluded from public memory	Current 2026 authority through Jul 2026
PT. TUNAS DWIPA MATRA - BUNGO	2944	426	494	444	360	349	403	468	SSU.2026.xlsx	Monitoring Penjualan Dealer Dai	A1:BD73970	AGGREGATED; customer PII fields excluded from public memory	Current 2026 authority through Jul 2026
PT. TUNAS DWIPA MATRA - JAMBI	1058	157	146	164	151	143	138	159	SSU.2026.xlsx	Monitoring Penjualan Dealer Dai	A1:BD73970	AGGREGATED; customer PII fields excluded from public memory	Current 2026 authority through Jul 2026
PT. TUNAS DWIPA MATRA - MERLUNG	1079	148	146	163	145	162	146	169	SSU.2026.xlsx	Monitoring Penjualan Dealer Dai	A1:BD73970	AGGREGATED; customer PII fields excluded from public memory	Current 2026 authority through Jul 2026
PT. TUNAS DWIPA MATRA - SABAK	943	129	133	185	120	119	119	138	SSU.2026.xlsx	Monitoring Penjualan Dealer Dai	A1:BD73970	AGGREGATED; customer PII fields excluded from public memory	Current 2026 authority through Jul 2026
