dealer	ytd	Jan	Feb	Mar	Apr	May	Jun	Jul	source_file	source_sheet	source_range	currentness	data_quality
PT. DAYA ANUGRAH MANDIRI - JAMBI	1944	263	257	325	217	251	275	356	Record Sales 2008-2025.xlsx	Monthly	GZ2:HF50 (Jan-Jul 2025 columns)	HISTORICAL_COMPARABLE_ONLY	Do not use cached 2026 cells as current authority
PT. NUSANTARA SURYA SAKTI - JAMBI	1681	182	204	272	209	251	236	327	Record Sales 2008-2025.xlsx	Monthly	GZ2:HF50 (Jan-Jul 2025 columns)	HISTORICAL_COMPARABLE_ONLY	Do not use cached 2026 cells as current authority
PT. PATRIA ANUGRAH SENTOSA - JAMBI	3125	421	446	612	364	405	409	468	Record Sales 2008-2025.xlsx	Monthly	GZ2:HF50 (Jan-Jul 2025 columns)	HISTORICAL_COMPARABLE_ONLY	Do not use cached 2026 cells as current authority
PT. MEGA WAHANA PESONA - SIMP. RIMBO	376	29	30	65	50	53	66	83	Record Sales 2008-2025.xlsx	Monthly	GZ2:HF50 (Jan-Jul 2025 columns)	HISTORICAL_COMPARABLE_ONLY	Do not use cached 2026 cells as current authority
PT. SURYA MANDALA - BAKUNG	341	36	59	69	36	33	54	54	Record Sales 2008-2025.xlsx	Monthly	GZ2:HF50 (Jan-Jul 2025 columns)	HISTORICAL_COMPARABLE_ONLY	Do not use cached 2026 cells as current authority
PT. SINAR SENTOSA MOTORA - BAHAR	1145	171	141	213	120	168	161	171	Record Sales 2008-2025.xlsx	Monthly	GZ2:HF50 (Jan-Jul 2025 columns)	HISTORICAL_COMPARABLE_ONLY	Do not use cached 2026 cells as current authority
PT. DAYA ANUGRAH MANDIRI - BAHAR	679	118	111	120	59	88	100	83	Record Sales 2008-2025.xlsx	Monthly	GZ2:HF50 (Jan-Jul 2025 columns)	HISTORICAL_COMPARABLE_ONLY	Do not use cached 2026 cells as current authority
PT. MEGA WAHANA PESONA - SENGETI	779	108	94	147	98	95	121	116	Record Sales 2008-2025.xlsx	Monthly	GZ2:HF50 (Jan-Jul 2025 columns)	HISTORICAL_COMPARABLE_ONLY	Do not use cached 2026 cells as current authority
PT. SURYA MANDALA - SEBAPO	660	88	92	124	61	89	96	110	Record Sales 2008-2025.xlsx	Monthly	GZ2:HF50 (Jan-Jul 2025 columns)	HISTORICAL_COMPARABLE_ONLY	Do not use cached 2026 cells as current authority
PT. SINAR SENTOSA MOTORA - BULIAN	941	122	131	163	101	134	146	144	Record Sales 2008-2025.xlsx	Monthly	GZ2:HF50 (Jan-Jul 2025 columns)	HISTORICAL_COMPARABLE_ONLY	Do not use cached 2026 cells as current authority
PT. TEMBESI JAYA SENTOSA	1139	163	164	200	133	149	154	176	Record Sales 2008-2025.xlsx	Monthly	GZ2:HF50 (Jan-Jul 2025 columns)	HISTORICAL_COMPARABLE_ONLY	Do not use cached 2026 cells as current authority
PT. TEMBESI JAYA SENTOSA - RENGAS	868	135	139	165	91	111	117	110	Record Sales 2008-2025.xlsx	Monthly	GZ2:HF50 (Jan-Jul 2025 columns)	HISTORICAL_COMPARABLE_ONLY	Do not use cached 2026 cells as current authority
PT. RIAU ARGO PERKASA	967	123	125	176	102	167	130	144	Record Sales 2008-2025.xlsx	Monthly	GZ2:HF50 (Jan-Jul 2025 columns)	HISTORICAL_COMPARABLE_ONLY	Do not use cached 2026 cells as current authority
PT. BADORAY MOTOR - LINTAS	2010	285	294	390	190	263	249	339	Record Sales 2008-2025.xlsx	Monthly	GZ2:HF50 (Jan-Jul 2025 columns)	HISTORICAL_COMPARABLE_ONLY	Do not use cached 2026 cells as current authority
CV. MAKMUR SENTOSA MOTOR	1048	137	152	195	124	147	132	161	Record Sales 2008-2025.xlsx	Monthly	GZ2:HF50 (Jan-Jul 2025 columns)	HISTORICAL_COMPARABLE_ONLY	Do not use cached 2026 cells as current authority
PT. TUNAS DWIPA MATRA - BUNGO	2390	315	374	526	235	270	295	375	Record Sales 2008-2025.xlsx	Monthly	GZ2:HF50 (Jan-Jul 2025 columns)	HISTORICAL_COMPARABLE_ONLY	Do not use cached 2026 cells as current authority
CV. BOBBY RACING SHOP	1116	156	168	227	111	141	141	172	Record Sales 2008-2025.xlsx	Monthly	GZ2:HF50 (Jan-Jul 2025 columns)	HISTORICAL_COMPARABLE_ONLY	Do not use cached 2026 cells as current authority
CV. WULAN JAYA MOTOR - TEBO	919	104	134	233	89	113	101	145	Record Sales 2008-2025.xlsx	Monthly	GZ2:HF50 (Jan-Jul 2025 columns)	HISTORICAL_COMPARABLE_ONLY	Do not use cached 2026 cells as current authority
CV. WULAN JAYA MOTOR - RIMBO	1593	217	274	331	126	199	197	249	Record Sales 2008-2025.xlsx	Monthly	GZ2:HF50 (Jan-Jul 2025 columns)	HISTORICAL_COMPARABLE_ONLY	Do not use cached 2026 cells as current authority
PT. DAYA ANUGRAH MANDIRI - RIMBO	1866	266	289	374	156	254	247	280	Record Sales 2008-2025.xlsx	Monthly	GZ2:HF50 (Jan-Jul 2025 columns)	HISTORICAL_COMPARABLE_ONLY	Do not use cached 2026 cells as current authority
PT. BADORAY MOTOR - RIMBO	615	94	98	142	50	74	88	69	Record Sales 2008-2025.xlsx	Monthly	GZ2:HF50 (Jan-Jul 2025 columns)	HISTORICAL_COMPARABLE_ONLY	Do not use cached 2026 cells as current authority
CV. AGUNG MOTOR	795	123	127	164	83	95	93	110	Record Sales 2008-2025.xlsx	Monthly	GZ2:HF50 (Jan-Jul 2025 columns)	HISTORICAL_COMPARABLE_ONLY	Do not use cached 2026 cells as current authority
PT. CITRA LENCANA SAKTI - SINGKUT	1853	244	271	341	197	248	247	305	Record Sales 2008-2025.xlsx	Monthly	GZ2:HF50 (Jan-Jul 2025 columns)	HISTORICAL_COMPARABLE_ONLY	Do not use cached 2026 cells as current authority
CV. CITRA SENTOSA MOTOR - SRLG	1205	163	155	215	114	161	197	200	Record Sales 2008-2025.xlsx	Monthly	GZ2:HF50 (Jan-Jul 2025 columns)	HISTORICAL_COMPARABLE_ONLY	Do not use cached 2026 cells as current authority
CV. CITRA SENTOSA MOTOR - M.ANGIN	655	94	95	107	64	92	100	103	Record Sales 2008-2025.xlsx	Monthly	GZ2:HF50 (Jan-Jul 2025 columns)	HISTORICAL_COMPARABLE_ONLY	Do not use cached 2026 cells as current authority
PT. NUSANTARA SURYA SAKTI - SRLG	1088	129	162	205	118	138	155	181	Record Sales 2008-2025.xlsx	Monthly	GZ2:HF50 (Jan-Jul 2025 columns)	HISTORICAL_COMPARABLE_ONLY	Do not use cached 2026 cells as current authority
PT. PATRIA ANUGRAH SENTOSA - SRLG	1820	231	236	343	170	256	276	308	Record Sales 2008-2025.xlsx	Monthly	GZ2:HF50 (Jan-Jul 2025 columns)	HISTORICAL_COMPARABLE_ONLY	Do not use cached 2026 cells as current authority
PT. CITRA LENCANA SAKTI - BANGKO	2086	279	291	416	174	272	320	334	Record Sales 2008-2025.xlsx	Monthly	GZ2:HF50 (Jan-Jul 2025 columns)	HISTORICAL_COMPARABLE_ONLY	Do not use cached 2026 cells as current authority
PT. CITRA LENCANA SAKTI - PAMENANG	977	150	136	195	114	117	122	143	Record Sales 2008-2025.xlsx	Monthly	GZ2:HF50 (Jan-Jul 2025 columns)	HISTORICAL_COMPARABLE_ONLY	Do not use cached 2026 cells as current authority
PT. TUNAS DWIPA MATRA - BANGKO	2246	270	293	453	203	294	328	405	Record Sales 2008-2025.xlsx	Monthly	GZ2:HF50 (Jan-Jul 2025 columns)	HISTORICAL_COMPARABLE_ONLY	Do not use cached 2026 cells as current authority
ANUGRAH HONDA MOTOR	1021	121	149	190	100	142	153	166	Record Sales 2008-2025.xlsx	Monthly	GZ2:HF50 (Jan-Jul 2025 columns)	HISTORICAL_COMPARABLE_ONLY	Do not use cached 2026 cells as current authority
CV. MITRA SENTOSA MAS	1061	141	154	209	107	132	157	161	Record Sales 2008-2025.xlsx	Monthly	GZ2:HF50 (Jan-Jul 2025 columns)	HISTORICAL_COMPARABLE_ONLY	Do not use cached 2026 cells as current authority
PT. SINAR SENTOSA MOTORA - TEBING	664	73	100	138	54	86	89	124	Record Sales 2008-2025.xlsx	Monthly	GZ2:HF50 (Jan-Jul 2025 columns)	HISTORICAL_COMPARABLE_ONLY	Do not use cached 2026 cells as current authority
PT. TUNAS DWIPA MATRA - MERLUNG	1127	151	150	190	120	175	166	175	Record Sales 2008-2025.xlsx	Monthly	GZ2:HF50 (Jan-Jul 2025 columns)	HISTORICAL_COMPARABLE_ONLY	Do not use cached 2026 cells as current authority
PT. BULAN MOTOR - TUNGKAL	1658	188	243	399	147	181	194	306	Record Sales 2008-2025.xlsx	Monthly	GZ2:HF50 (Jan-Jul 2025 columns)	HISTORICAL_COMPARABLE_ONLY	Do not use cached 2026 cells as current authority
PT. BULAN MOTOR - MERLUNG	1373	233	200	252	140	182	190	176	Record Sales 2008-2025.xlsx	Monthly	GZ2:HF50 (Jan-Jul 2025 columns)	HISTORICAL_COMPARABLE_ONLY	Do not use cached 2026 cells as current authority
PT. BULAN MOTOR - SABAK	658	76	90	140	59	76	96	121	Record Sales 2008-2025.xlsx	Monthly	GZ2:HF50 (Jan-Jul 2025 columns)	HISTORICAL_COMPARABLE_ONLY	Do not use cached 2026 cells as current authority
PT. TUNAS DWIPA MATRA - SABAK	957	96	135	192	95	118	145	176	Record Sales 2008-2025.xlsx	Monthly	GZ2:HF50 (Jan-Jul 2025 columns)	HISTORICAL_COMPARABLE_ONLY	Do not use cached 2026 cells as current authority
