level	kabupaten	kecamatan	kelurahan_desa	area_code	filter_segment	honda_ytd_jun_2026	total_market_ytd_jun_2026	market_share_ytd_jun_2026_pct	honda_ytd_jun_2025_comparable	total_market_ytd_jun_2025_comparable	market_share_ytd_jun_2025_comparable_pct	delta_share_points	source_2026	source_2025	period	currentness	data_quality_limit
KABUPATEN	Batanghari				OTHERS	0	1	0.0	0	1	0.0	0.0	POLREG PER KECAMATAN PER KELURAHAN PER SEGMENT 2026.xlsx / Data!A:E + geography sheet hierarchy	POLREG PER KECAMATAN PER KELURAHAN PER SEGMENT 2025.xlsx / Data!A:E (mapped through 2026 supplied hierarchy)	YTD Jan-Jun	LATEST_SUPPLIED_POLREG_GEOGRAPHIC_SOURCE_2026	2025 comparison uses 2026 geography mapping. Blank share with zero denominator means no market observations for that filter/geography; do not divide by zero.
KABUPATEN	Bungo				ALL SEG	7410	8922	83.053127	5244	6488	80.826141	2.226987	POLREG PER KECAMATAN PER KELURAHAN PER SEGMENT 2026.xlsx / Data!A:E + geography sheet hierarchy	POLREG PER KECAMATAN PER KELURAHAN PER SEGMENT 2025.xlsx / Data!A:E (mapped through 2026 supplied hierarchy)	YTD Jan-Jun	LATEST_SUPPLIED_POLREG_GEOGRAPHIC_SOURCE_2026	2025 comparison uses 2026 geography mapping. Blank share with zero denominator means no market observations for that filter/geography; do not divide by zero.
KABUPATEN	Bungo				AT High	2076	3145	66.009539	1050	1867	56.239957	9.769582	POLREG PER KECAMATAN PER KELURAHAN PER SEGMENT 2026.xlsx / Data!A:E + geography sheet hierarchy	POLREG PER KECAMATAN PER KELURAHAN PER SEGMENT 2025.xlsx / Data!A:E (mapped through 2026 supplied hierarchy)	YTD Jan-Jun	LATEST_SUPPLIED_POLREG_GEOGRAPHIC_SOURCE_2026	2025 comparison uses 2026 geography mapping. Blank share with zero denominator means no market observations for that filter/geography; do not divide by zero.
KABUPATEN	Bungo				AT Low	2384	2420	98.512397	1901	1936	98.192149	0.320248	POLREG PER KECAMATAN PER KELURAHAN PER SEGMENT 2026.xlsx / Data!A:E + geography sheet hierarchy	POLREG PER KECAMATAN PER KELURAHAN PER SEGMENT 2025.xlsx / Data!A:E (mapped through 2026 supplied hierarchy)	YTD Jan-Jun	LATEST_SUPPLIED_POLREG_GEOGRAPHIC_SOURCE_2026	2025 comparison uses 2026 geography mapping. Blank share with zero denominator means no market observations for that filter/geography; do not divide by zero.
KABUPATEN	Bungo				AT Mid	1614	1721	93.782684	1252	1367	91.587418	2.195267	POLREG PER KECAMATAN PER KELURAHAN PER SEGMENT 2026.xlsx / Data!A:E + geography sheet hierarchy	POLREG PER KECAMATAN PER KELURAHAN PER SEGMENT 2025.xlsx / Data!A:E (mapped through 2026 supplied hierarchy)	YTD Jan-Jun	LATEST_SUPPLIED_POLREG_GEOGRAPHIC_SOURCE_2026	2025 comparison uses 2026 geography mapping. Blank share with zero denominator means no market observations for that filter/geography; do not divide by zero.
KABUPATEN	Bungo				Cub High	31	141	21.985816	32	104	30.769231	-8.783415	POLREG PER KECAMATAN PER KELURAHAN PER SEGMENT 2026.xlsx / Data!A:E + geography sheet hierarchy	POLREG PER KECAMATAN PER KELURAHAN PER SEGMENT 2025.xlsx / Data!A:E (mapped through 2026 supplied hierarchy)	YTD Jan-Jun	LATEST_SUPPLIED_POLREG_GEOGRAPHIC_SOURCE_2026	2025 comparison uses 2026 geography mapping. Blank share with zero denominator means no market observations for that filter/geography; do not divide by zero.
KABUPATEN	Bungo				Cub Low	503	507	99.211045	447	450	99.333333	-0.122288	POLREG PER KECAMATAN PER KELURAHAN PER SEGMENT 2026.xlsx / Data!A:E + geography sheet hierarchy	POLREG PER KECAMATAN PER KELURAHAN PER SEGMENT 2025.xlsx / Data!A:E (mapped through 2026 supplied hierarchy)	YTD Jan-Jun	LATEST_SUPPLIED_POLREG_GEOGRAPHIC_SOURCE_2026	2025 comparison uses 2026 geography mapping. Blank share with zero denominator means no market observations for that filter/geography; do not divide by zero.
KABUPATEN	Bungo				Cub Mid	224	338	66.272189	225	362	62.154696	4.117493	POLREG PER KECAMATAN PER KELURAHAN PER SEGMENT 2026.xlsx / Data!A:E + geography sheet hierarchy	POLREG PER KECAMATAN PER KELURAHAN PER SEGMENT 2025.xlsx / Data!A:E (mapped through 2026 supplied hierarchy)	YTD Jan-Jun	LATEST_SUPPLIED_POLREG_GEOGRAPHIC_SOURCE_2026	2025 comparison uses 2026 geography mapping. Blank share with zero denominator means no market observations for that filter/geography; do not divide by zero.
KABUPATEN	Bungo				Sport High	1	5	20.0	0	3	0.0	20.0	POLREG PER KECAMATAN PER KELURAHAN PER SEGMENT 2026.xlsx / Data!A:E + geography sheet hierarchy	POLREG PER KECAMATAN PER KELURAHAN PER SEGMENT 2025.xlsx / Data!A:E (mapped through 2026 supplied hierarchy)	YTD Jan-Jun	LATEST_SUPPLIED_POLREG_GEOGRAPHIC_SOURCE_2026	2025 comparison uses 2026 geography mapping. Blank share with zero denominator means no market observations for that filter/geography; do not divide by zero.
KABUPATEN	Bungo				Sport Low	77	77	100.0	64	64	100.0	0.0	POLREG PER KECAMATAN PER KELURAHAN PER SEGMENT 2026.xlsx / Data!A:E + geography sheet hierarchy	POLREG PER KECAMATAN PER KELURAHAN PER SEGMENT 2025.xlsx / Data!A:E (mapped through 2026 supplied hierarchy)	YTD Jan-Jun	LATEST_SUPPLIED_POLREG_GEOGRAPHIC_SOURCE_2026	2025 comparison uses 2026 geography mapping. Blank share with zero denominator means no market observations for that filter/geography; do not divide by zero.
KABUPATEN	Bungo				Sport Mid	500	568	88.028169	273	333	81.981982	6.046187	POLREG PER KECAMATAN PER KELURAHAN PER SEGMENT 2026.xlsx / Data!A:E + geography sheet hierarchy	POLREG PER KECAMATAN PER KELURAHAN PER SEGMENT 2025.xlsx / Data!A:E (mapped through 2026 supplied hierarchy)	YTD Jan-Jun	LATEST_SUPPLIED_POLREG_GEOGRAPHIC_SOURCE_2026	2025 comparison uses 2026 geography mapping. Blank share with zero denominator means no market observations for that filter/geography; do not divide by zero.
KABUPATEN	Bungo				OTHERS	0	0		0	2	0.0		POLREG PER KECAMATAN PER KELURAHAN PER SEGMENT 2026.xlsx / Data!A:E + geography sheet hierarchy	POLREG PER KECAMATAN PER KELURAHAN PER SEGMENT 2025.xlsx / Data!A:E (mapped through 2026 supplied hierarchy)	YTD Jan-Jun	LATEST_SUPPLIED_POLREG_GEOGRAPHIC_SOURCE_2026	2025 comparison uses 2026 geography mapping. Blank share with zero denominator means no market observations for that filter/geography; do not divide by zero.
KABUPATEN	Kota Jambi				ALL SEG	9976	11855	84.150148	8121	9773	83.096286	1.053862	POLREG PER KECAMATAN PER KELURAHAN PER SEGMENT 2026.xlsx / Data!A:E + geography sheet hierarchy	POLREG PER KECAMATAN PER KELURAHAN PER SEGMENT 2025.xlsx / Data!A:E (mapped through 2026 supplied hierarchy)	YTD Jan-Jun	LATEST_SUPPLIED_POLREG_GEOGRAPHIC_SOURCE_2026	2025 comparison uses 2026 geography mapping. Blank share with zero denominator means no market observations for that filter/geography; do not divide by zero.
KABUPATEN	Kota Jambi				AT High	2494	3678	67.808592	1867	2856	65.371148	2.437443	POLREG PER KECAMATAN PER KELURAHAN PER SEGMENT 2026.xlsx / Data!A:E + geography sheet hierarchy	POLREG PER KECAMATAN PER KELURAHAN PER SEGMENT 2025.xlsx / Data!A:E (mapped through 2026 supplied hierarchy)	YTD Jan-Jun	LATEST_SUPPLIED_POLREG_GEOGRAPHIC_SOURCE_2026	2025 comparison uses 2026 geography mapping. Blank share with zero denominator means no market observations for that filter/geography; do not divide by zero.
KABUPATEN	Kota Jambi				AT Low	3675	3777	97.299444	2966	3044	97.437582	-0.138138	POLREG PER KECAMATAN PER KELURAHAN PER SEGMENT 2026.xlsx / Data!A:E + geography sheet hierarchy	POLREG PER KECAMATAN PER KELURAHAN PER SEGMENT 2025.xlsx / Data!A:E (mapped through 2026 supplied hierarchy)	YTD Jan-Jun	LATEST_SUPPLIED_POLREG_GEOGRAPHIC_SOURCE_2026	2025 comparison uses 2026 geography mapping. Blank share with zero denominator means no market observations for that filter/geography; do not divide by zero.
KABUPATEN	Kota Jambi				AT Mid	2782	2969	93.701583	2354	2556	92.097027	1.604556	POLREG PER KECAMATAN PER KELURAHAN PER SEGMENT 2026.xlsx / Data!A:E + geography sheet hierarchy	POLREG PER KECAMATAN PER KELURAHAN PER SEGMENT 2025.xlsx / Data!A:E (mapped through 2026 supplied hierarchy)	YTD Jan-Jun	LATEST_SUPPLIED_POLREG_GEOGRAPHIC_SOURCE_2026	2025 comparison uses 2026 geography mapping. Blank share with zero denominator means no market observations for that filter/geography; do not divide by zero.
KABUPATEN	Kota Jambi				Cub High	12	114	10.526316	22	106	20.754717	-10.228401	POLREG PER KECAMATAN PER KELURAHAN PER SEGMENT 2026.xlsx / Data!A:E + geography sheet hierarchy	POLREG PER KECAMATAN PER KELURAHAN PER SEGMENT 2025.xlsx / Data!A:E (mapped through 2026 supplied hierarchy)	YTD Jan-Jun	LATEST_SUPPLIED_POLREG_GEOGRAPHIC_SOURCE_2026	2025 comparison uses 2026 geography mapping. Blank share with zero denominator means no market observations for that filter/geography; do not divide by zero.
KABUPATEN	Kota Jambi				Cub Low	365	368	99.184783	333	334	99.700599	-0.515816	POLREG PER KECAMATAN PER KELURAHAN PER SEGMENT 2026.xlsx / Data!A:E + geography sheet hierarchy	POLREG PER KECAMATAN PER KELURAHAN PER SEGMENT 2025.xlsx / Data!A:E (mapped through 2026 supplied hierarchy)	YTD Jan-Jun	LATEST_SUPPLIED_POLREG_GEOGRAPHIC_SOURCE_2026	2025 comparison uses 2026 geography mapping. Blank share with zero denominator means no market observations for that filter/geography; do not divide by zero.
KABUPATEN	Kota Jambi				Cub Mid	260	455	57.142857	256	459	55.77342	1.369437	POLREG PER KECAMATAN PER KELURAHAN PER SEGMENT 2026.xlsx / Data!A:E + geography sheet hierarchy	POLREG PER KECAMATAN PER KELURAHAN PER SEGMENT 2025.xlsx / Data!A:E (mapped through 2026 supplied hierarchy)	YTD Jan-Jun	LATEST_SUPPLIED_POLREG_GEOGRAPHIC_SOURCE_2026	2025 comparison uses 2026 geography mapping. Blank share with zero denominator means no market observations for that filter/geography; do not divide by zero.
KABUPATEN	Kota Jambi				Sport High	4	25	16.0	2	11	18.181818	-2.181818	POLREG PER KECAMATAN PER KELURAHAN PER SEGMENT 2026.xlsx / Data!A:E + geography sheet hierarchy	POLREG PER KECAMATAN PER KELURAHAN PER SEGMENT 2025.xlsx / Data!A:E (mapped through 2026 supplied hierarchy)	YTD Jan-Jun	LATEST_SUPPLIED_POLREG_GEOGRAPHIC_SOURCE_2026	2025 comparison uses 2026 geography mapping. Blank share with zero denominator means no market observations for that filter/geography; do not divide by zero.
KABUPATEN	Kota Jambi				Sport Low	191	193	98.963731	110	111	99.099099	-0.135369	POLREG PER KECAMATAN PER KELURAHAN PER SEGMENT 2026.xlsx / Data!A:E + geography sheet hierarchy	POLREG PER KECAMATAN PER KELURAHAN PER SEGMENT 2025.xlsx / Data!A:E (mapped through 2026 supplied hierarchy)	YTD Jan-Jun	LATEST_SUPPLIED_POLREG_GEOGRAPHIC_SOURCE_2026	2025 comparison uses 2026 geography mapping. Blank share with zero denominator means no market observations for that filter/geography; do not divide by zero.
KABUPATEN	Kota Jambi				Sport Mid	193	272	70.955882	211	269	78.438662	-7.482779	POLREG PER KECAMATAN PER KELURAHAN PER SEGMENT 2026.xlsx / Data!A:E + geography sheet hierarchy	POLREG PER KECAMATAN PER KELURAHAN PER SEGMENT 2025.xlsx / Data!A:E (mapped through 2026 supplied hierarchy)	YTD Jan-Jun	LATEST_SUPPLIED_POLREG_GEOGRAPHIC_SOURCE_2026	2025 comparison uses 2026 geography mapping. Blank share with zero denominator means no market observations for that filter/geography; do not divide by zero.
KABUPATEN	Kota Jambi				OTHERS	0	4	0.0	0	27	0.0	0.0	POLREG PER KECAMATAN PER KELURAHAN PER SEGMENT 2026.xlsx / Data!A:E + geography sheet hierarchy	POLREG PER KECAMATAN PER KELURAHAN PER SEGMENT 2025.xlsx / Data!A:E (mapped through 2026 supplied hierarchy)	YTD Jan-Jun	LATEST_SUPPLIED_POLREG_GEOGRAPHIC_SOURCE_2026	2025 comparison uses 2026 geography mapping. Blank share with zero denominator means no market observations for that filter/geography; do not divide by zero.
KABUPATEN	Ma. Jambi				ALL SEG	8441	10158	83.097066	6369	7864	80.989318	2.107748	POLREG PER KECAMATAN PER KELURAHAN PER SEGMENT 2026.xlsx / Data!A:E + geography sheet hierarchy	POLREG PER KECAMATAN PER KELURAHAN PER SEGMENT 2025.xlsx / Data!A:E (mapped through 2026 supplied hierarchy)	YTD Jan-Jun	LATEST_SUPPLIED_POLREG_GEOGRAPHIC_SOURCE_2026	2025 comparison uses 2026 geography mapping. Blank share with zero denominator means no market observations for that filter/geography; do not divide by zero.
KABUPATEN	Ma. Jambi				AT High	1647	2513	65.539196	1058	1710	61.871345	3.667851	POLREG PER KECAMATAN PER KELURAHAN PER SEGMENT 2026.xlsx / Data!A:E + geography sheet hierarchy	POLREG PER KECAMATAN PER KELURAHAN PER SEGMENT 2025.xlsx / Data!A:E (mapped through 2026 supplied hierarchy)	YTD Jan-Jun	LATEST_SUPPLIED_POLREG_GEOGRAPHIC_SOURCE_2026	2025 comparison uses 2026 geography mapping. Blank share with zero denominator means no market observations for that filter/geography; do not divide by zero.
KABUPATEN	Ma. Jambi				AT Low	3251	3303	98.425674	2350	2389	98.367518	0.058156	POLREG PER KECAMATAN PER KELURAHAN PER SEGMENT 2026.xlsx / Data!A:E + geography sheet hierarchy	POLREG PER KECAMATAN PER KELURAHAN PER SEGMENT 2025.xlsx / Data!A:E (mapped through 2026 supplied hierarchy)	YTD Jan-Jun	LATEST_SUPPLIED_POLREG_GEOGRAPHIC_SOURCE_2026	2025 comparison uses 2026 geography mapping. Blank share with zero denominator means no market observations for that filter/geography; do not divide by zero.
KABUPATEN	Ma. Jambi				AT Mid	1990	2094	95.033429	1490	1573	94.723458	0.30997	POLREG PER KECAMATAN PER KELURAHAN PER SEGMENT 2026.xlsx / Data!A:E + geography sheet hierarchy	POLREG PER KECAMATAN PER KELURAHAN PER SEGMENT 2025.xlsx / Data!A:E (mapped through 2026 supplied hierarchy)	YTD Jan-Jun	LATEST_SUPPLIED_POLREG_GEOGRAPHIC_SOURCE_2026	2025 comparison uses 2026 geography mapping. Blank share with zero denominator means no market observations for that filter/geography; do not divide by zero.
KABUPATEN	Ma. Jambi				Cub High	28	154	18.181818	27	114	23.684211	-5.502392	POLREG PER KECAMATAN PER KELURAHAN PER SEGMENT 2026.xlsx / Data!A:E + geography sheet hierarchy	POLREG PER KECAMATAN PER KELURAHAN PER SEGMENT 2025.xlsx / Data!A:E (mapped through 2026 supplied hierarchy)	YTD Jan-Jun	LATEST_SUPPLIED_POLREG_GEOGRAPHIC_SOURCE_2026	2025 comparison uses 2026 geography mapping. Blank share with zero denominator means no market observations for that filter/geography; do not divide by zero.
KABUPATEN	Ma. Jambi				Cub Low	675	677	99.704579	655	655	100.0	-0.295421	POLREG PER KECAMATAN PER KELURAHAN PER SEGMENT 2026.xlsx / Data!A:E + geography sheet hierarchy	POLREG PER KECAMATAN PER KELURAHAN PER SEGMENT 2025.xlsx / Data!A:E (mapped through 2026 supplied hierarchy)	YTD Jan-Jun	LATEST_SUPPLIED_POLREG_GEOGRAPHIC_SOURCE_2026	2025 comparison uses 2026 geography mapping. Blank share with zero denominator means no market observations for that filter/geography; do not divide by zero.
KABUPATEN	Ma. Jambi				Cub Mid	571	1108	51.534296	507	1095	46.30137	5.232926	POLREG PER KECAMATAN PER KELURAHAN PER SEGMENT 2026.xlsx / Data!A:E + geography sheet hierarchy	POLREG PER KECAMATAN PER KELURAHAN PER SEGMENT 2025.xlsx / Data!A:E (mapped through 2026 supplied hierarchy)	YTD Jan-Jun	LATEST_SUPPLIED_POLREG_GEOGRAPHIC_SOURCE_2026	2025 comparison uses 2026 geography mapping. Blank share with zero denominator means no market observations for that filter/geography; do not divide by zero.
KABUPATEN	Ma. Jambi				Sport High	0	1	0.0	1	1	100.0	-100.0	POLREG PER KECAMATAN PER KELURAHAN PER SEGMENT 2026.xlsx / Data!A:E + geography sheet hierarchy	POLREG PER KECAMATAN PER KELURAHAN PER SEGMENT 2025.xlsx / Data!A:E (mapped through 2026 supplied hierarchy)	YTD Jan-Jun	LATEST_SUPPLIED_POLREG_GEOGRAPHIC_SOURCE_2026	2025 comparison uses 2026 geography mapping. Blank share with zero denominator means no market observations for that filter/geography; do not divide by zero.
KABUPATEN	Ma. Jambi				Sport Low	67	67	100.0	68	68	100.0	0.0	POLREG PER KECAMATAN PER KELURAHAN PER SEGMENT 2026.xlsx / Data!A:E + geography sheet hierarchy	POLREG PER KECAMATAN PER KELURAHAN PER SEGMENT 2025.xlsx / Data!A:E (mapped through 2026 supplied hierarchy)	YTD Jan-Jun	LATEST_SUPPLIED_POLREG_GEOGRAPHIC_SOURCE_2026	2025 comparison uses 2026 geography mapping. Blank share with zero denominator means no market observations for that filter/geography; do not divide by zero.
KABUPATEN	Ma. Jambi				Sport Mid	212	241	87.966805	213	245	86.938776	1.028029	POLREG PER KECAMATAN PER KELURAHAN PER SEGMENT 2026.xlsx / Data!A:E + geography sheet hierarchy	POLREG PER KECAMATAN PER KELURAHAN PER SEGMENT 2025.xlsx / Data!A:E (mapped through 2026 supplied hierarchy)	YTD Jan-Jun	LATEST_SUPPLIED_POLREG_GEOGRAPHIC_SOURCE_2026	2025 comparison uses 2026 geography mapping. Blank share with zero denominator means no market observations for that filter/geography; do not divide by zero.
KABUPATEN	Ma. Jambi				OTHERS	0	0		0	14	0.0		POLREG PER KECAMATAN PER KELURAHAN PER SEGMENT 2026.xlsx / Data!A:E + geography sheet hierarchy	POLREG PER KECAMATAN PER KELURAHAN PER SEGMENT 2025.xlsx / Data!A:E (mapped through 2026 supplied hierarchy)	YTD Jan-Jun	LATEST_SUPPLIED_POLREG_GEOGRAPHIC_SOURCE_2026	2025 comparison uses 2026 geography mapping. Blank share with zero denominator means no market observations for that filter/geography; do not divide by zero.
KABUPATEN	Merangin				ALL SEG	9923	12179	81.476312	5940	7403	80.237741	1.23857	POLREG PER KECAMATAN PER KELURAHAN PER SEGMENT 2026.xlsx / Data!A:E + geography sheet hierarchy	POLREG PER KECAMATAN PER KELURAHAN PER SEGMENT 2025.xlsx / Data!A:E (mapped through 2026 supplied hierarchy)	YTD Jan-Jun	LATEST_SUPPLIED_POLREG_GEOGRAPHIC_SOURCE_2026	2025 comparison uses 2026 geography mapping. Blank share with zero denominator means no market observations for that filter/geography; do not divide by zero.
KABUPATEN	Merangin				AT High	2110	3782	55.790587	699	1725	40.521739	15.268848	POLREG PER KECAMATAN PER KELURAHAN PER SEGMENT 2026.xlsx / Data!A:E + geography sheet hierarchy	POLREG PER KECAMATAN PER KELURAHAN PER SEGMENT 2025.xlsx / Data!A:E (mapped through 2026 supplied hierarchy)	YTD Jan-Jun	LATEST_SUPPLIED_POLREG_GEOGRAPHIC_SOURCE_2026	2025 comparison uses 2026 geography mapping. Blank share with zero denominator means no market observations for that filter/geography; do not divide by zero.
KABUPATEN	Merangin				AT Low	3946	3986	98.996488	2802	2835	98.835979	0.160509	POLREG PER KECAMATAN PER KELURAHAN PER SEGMENT 2026.xlsx / Data!A:E + geography sheet hierarchy	POLREG PER KECAMATAN PER KELURAHAN PER SEGMENT 2025.xlsx / Data!A:E (mapped through 2026 supplied hierarchy)	YTD Jan-Jun	LATEST_SUPPLIED_POLREG_GEOGRAPHIC_SOURCE_2026	2025 comparison uses 2026 geography mapping. Blank share with zero denominator means no market observations for that filter/geography; do not divide by zero.
KABUPATEN	Merangin				AT Mid	1615	1717	94.059406	1056	1163	90.799656	3.25975	POLREG PER KECAMATAN PER KELURAHAN PER SEGMENT 2026.xlsx / Data!A:E + geography sheet hierarchy	POLREG PER KECAMATAN PER KELURAHAN PER SEGMENT 2025.xlsx / Data!A:E (mapped through 2026 supplied hierarchy)	YTD Jan-Jun	LATEST_SUPPLIED_POLREG_GEOGRAPHIC_SOURCE_2026	2025 comparison uses 2026 geography mapping. Blank share with zero denominator means no market observations for that filter/geography; do not divide by zero.
KABUPATEN	Merangin				Cub High	29	227	12.77533	20	118	16.949153	-4.173822	POLREG PER KECAMATAN PER KELURAHAN PER SEGMENT 2026.xlsx / Data!A:E + geography sheet hierarchy	POLREG PER KECAMATAN PER KELURAHAN PER SEGMENT 2025.xlsx / Data!A:E (mapped through 2026 supplied hierarchy)	YTD Jan-Jun	LATEST_SUPPLIED_POLREG_GEOGRAPHIC_SOURCE_2026	2025 comparison uses 2026 geography mapping. Blank share with zero denominator means no market observations for that filter/geography; do not divide by zero.
KABUPATEN	Merangin				Cub Low	878	878	100.0	685	685	100.0	0.0	POLREG PER KECAMATAN PER KELURAHAN PER SEGMENT 2026.xlsx / Data!A:E + geography sheet hierarchy	POLREG PER KECAMATAN PER KELURAHAN PER SEGMENT 2025.xlsx / Data!A:E (mapped through 2026 supplied hierarchy)	YTD Jan-Jun	LATEST_SUPPLIED_POLREG_GEOGRAPHIC_SOURCE_2026	2025 comparison uses 2026 geography mapping. Blank share with zero denominator means no market observations for that filter/geography; do not divide by zero.
KABUPATEN	Merangin				Cub Mid	253	433	58.429561	209	360	58.055556	0.374006	POLREG PER KECAMATAN PER KELURAHAN PER SEGMENT 2026.xlsx / Data!A:E + geography sheet hierarchy	POLREG PER KECAMATAN PER KELURAHAN PER SEGMENT 2025.xlsx / Data!A:E (mapped through 2026 supplied hierarchy)	YTD Jan-Jun	LATEST_SUPPLIED_POLREG_GEOGRAPHIC_SOURCE_2026	2025 comparison uses 2026 geography mapping. Blank share with zero denominator means no market observations for that filter/geography; do not divide by zero.
