type	item_code	type_description	year	location_status	location	status	units	source_file	source_table_range	as_of	data_quality
BEAT SPORTY CBS	MJ2-1B	H1B02N41S4 A/T	2026	A353	19	RFS	1	StokMD - 2026-08-06T080446.204.xls	HTML table / 3,496 data rows	2026-08-06 08:04:46	MD source has no aging field; MD aging unavailable
BEAT SPORTY CBS	MJ2-1B	H1B02N41S4 A/T	2026	A353	2	RFS	1	StokMD - 2026-08-06T080446.204.xls	HTML table / 3,496 data rows	2026-08-06 08:04:46	MD source has no aging field; MD aging unavailable
BEAT SPORTY CBS	MJ2-1B	H1B02N41S4 A/T	2026	A353	20	RFS	1	StokMD - 2026-08-06T080446.204.xls	HTML table / 3,496 data rows	2026-08-06 08:04:46	MD source has no aging field; MD aging unavailable
BEAT SPORTY CBS	MJ2-1B	H1B02N41S4 A/T	2026	A353	21	RFS	1	StokMD - 2026-08-06T080446.204.xls	HTML table / 3,496 data rows	2026-08-06 08:04:46	MD source has no aging field; MD aging unavailable
BEAT SPORTY CBS	MJ2-1B	H1B02N41S4 A/T	2026	A353	22	RFS	1	StokMD - 2026-08-06T080446.204.xls	HTML table / 3,496 data rows	2026-08-06 08:04:46	MD source has no aging field; MD aging unavailable
BEAT SPORTY CBS	MJ2-1B	H1B02N41S4 A/T	2026	A353	23	RFS	1	StokMD - 2026-08-06T080446.204.xls	HTML table / 3,496 data rows	2026-08-06 08:04:46	MD source has no aging field; MD aging unavailable
BEAT SPORTY CBS	MJ2-1B	H1B02N41S4 A/T	2026	A353	25	RFS	1	StokMD - 2026-08-06T080446.204.xls	HTML table / 3,496 data rows	2026-08-06 08:04:46	MD source has no aging field; MD aging unavailable
BEAT SPORTY CBS	MJ2-1B	H1B02N41S4 A/T	2026	A353	27	RFS	1	StokMD - 2026-08-06T080446.204.xls	HTML table / 3,496 data rows	2026-08-06 08:04:46	MD source has no aging field; MD aging unavailable
BEAT SPORTY CBS	MJ2-1B	H1B02N41S4 A/T	2026	A353	28	RFS	1	StokMD - 2026-08-06T080446.204.xls	HTML table / 3,496 data rows	2026-08-06 08:04:46	MD source has no aging field; MD aging unavailable
BEAT SPORTY CBS	MJ2-1B	H1B02N41S4 A/T	2026	A353	7	RFS	1	StokMD - 2026-08-06T080446.204.xls	HTML table / 3,496 data rows	2026-08-06 08:04:46	MD source has no aging field; MD aging unavailable
BEAT SPORTY CBS	MJ2-1B	H1B02N41S4 A/T	2026	A353	8	RFS	1	StokMD - 2026-08-06T080446.204.xls	HTML table / 3,496 data rows	2026-08-06 08:04:46	MD source has no aging field; MD aging unavailable
BEAT SPORTY CBS	MJ2-1B	H1B02N41S4 A/T	2026	A353	9	RFS	1	StokMD - 2026-08-06T080446.204.xls	HTML table / 3,496 data rows	2026-08-06 08:04:46	MD source has no aging field; MD aging unavailable
BEAT SPORTY CBS	MJ2-1M	H1B02N41S4 A/T	2026	A235	14	RFS	1	StokMD - 2026-08-06T080446.204.xls	HTML table / 3,496 data rows	2026-08-06 08:04:46	MD source has no aging field; MD aging unavailable
BEAT SPORTY CBS	MJ2-1M	H1B02N41S4 A/T	2026	A235	29	RFS	1	StokMD - 2026-08-06T080446.204.xls	HTML table / 3,496 data rows	2026-08-06 08:04:46	MD source has no aging field; MD aging unavailable
BEAT SPORTY CBS	MJ2-1M	H1B02N41S4 A/T	2026	A235	34	RFS	1	StokMD - 2026-08-06T080446.204.xls	HTML table / 3,496 data rows	2026-08-06 08:04:46	MD source has no aging field; MD aging unavailable
BEAT SPORTY CBS	MJ2-1M	H1B02N41S4 A/T	2026	A235	36	RFS	1	StokMD - 2026-08-06T080446.204.xls	HTML table / 3,496 data rows	2026-08-06 08:04:46	MD source has no aging field; MD aging unavailable
BEAT SPORTY CBS	MJ2-1M	H1B02N41S4 A/T	2026	A235	39	RFS	1	StokMD - 2026-08-06T080446.204.xls	HTML table / 3,496 data rows	2026-08-06 08:04:46	MD source has no aging field; MD aging unavailable
BEAT SPORTY CBS	MJ2-1M	H1B02N41S4 A/T	2026	A235	40	RFS	1	StokMD - 2026-08-06T080446.204.xls	HTML table / 3,496 data rows	2026-08-06 08:04:46	MD source has no aging field; MD aging unavailable
BEAT SPORTY CBS	MJ2-1M	H1B02N41S4 A/T	2026	A235	7	RFS	1	StokMD - 2026-08-06T080446.204.xls	HTML table / 3,496 data rows	2026-08-06 08:04:46	MD source has no aging field; MD aging unavailable
BEAT SPORTY CBS	MJ2-1M	H1B02N41S4 A/T	2026	A242	29	RFS	1	StokMD - 2026-08-06T080446.204.xls	HTML table / 3,496 data rows	2026-08-06 08:04:46	MD source has no aging field; MD aging unavailable
BEAT SPORTY CBS	MJ2-1M	H1B02N41S4 A/T	2026	A242	4	RFS	1	StokMD - 2026-08-06T080446.204.xls	HTML table / 3,496 data rows	2026-08-06 08:04:46	MD source has no aging field; MD aging unavailable
BEAT SPORTY CBS	MJ2-1M	H1B02N41S4 A/T	2026	A244	10	RFS	1	StokMD - 2026-08-06T080446.204.xls	HTML table / 3,496 data rows	2026-08-06 08:04:46	MD source has no aging field; MD aging unavailable
BEAT SPORTY CBS	MJ2-1M	H1B02N41S4 A/T	2026	A244	12	RFS	1	StokMD - 2026-08-06T080446.204.xls	HTML table / 3,496 data rows	2026-08-06 08:04:46	MD source has no aging field; MD aging unavailable
BEAT SPORTY CBS	MJ2-1M	H1B02N41S4 A/T	2026	A244	19	RFS	1	StokMD - 2026-08-06T080446.204.xls	HTML table / 3,496 data rows	2026-08-06 08:04:46	MD source has no aging field; MD aging unavailable
BEAT SPORTY CBS	MJ2-1M	H1B02N41S4 A/T	2026	A244	28	RFS	1	StokMD - 2026-08-06T080446.204.xls	HTML table / 3,496 data rows	2026-08-06 08:04:46	MD source has no aging field; MD aging unavailable
BEAT SPORTY CBS	MJ2-1M	H1B02N41S4 A/T	2026	A245	10	RFS	1	StokMD - 2026-08-06T080446.204.xls	HTML table / 3,496 data rows	2026-08-06 08:04:46	MD source has no aging field; MD aging unavailable
BEAT SPORTY CBS	MJ2-1M	H1B02N41S4 A/T	2026	A245	11	RFS	1	StokMD - 2026-08-06T080446.204.xls	HTML table / 3,496 data rows	2026-08-06 08:04:46	MD source has no aging field; MD aging unavailable
BEAT SPORTY CBS	MJ2-1M	H1B02N41S4 A/T	2026	A245	13	RFS	1	StokMD - 2026-08-06T080446.204.xls	HTML table / 3,496 data rows	2026-08-06 08:04:46	MD source has no aging field; MD aging unavailable
BEAT SPORTY CBS	MJ2-1M	H1B02N41S4 A/T	2026	A245	14	RFS	1	StokMD - 2026-08-06T080446.204.xls	HTML table / 3,496 data rows	2026-08-06 08:04:46	MD source has no aging field; MD aging unavailable
BEAT SPORTY CBS	MJ2-1M	H1B02N41S4 A/T	2026	A245	15	RFS	1	StokMD - 2026-08-06T080446.204.xls	HTML table / 3,496 data rows	2026-08-06 08:04:46	MD source has no aging field; MD aging unavailable
BEAT SPORTY CBS	MJ2-1M	H1B02N41S4 A/T	2026	A245	16	RFS	1	StokMD - 2026-08-06T080446.204.xls	HTML table / 3,496 data rows	2026-08-06 08:04:46	MD source has no aging field; MD aging unavailable
BEAT SPORTY CBS	MJ2-1M	H1B02N41S4 A/T	2026	A245	17	RFS	1	StokMD - 2026-08-06T080446.204.xls	HTML table / 3,496 data rows	2026-08-06 08:04:46	MD source has no aging field; MD aging unavailable
BEAT SPORTY CBS	MJ2-1M	H1B02N41S4 A/T	2026	A245	19	RFS	1	StokMD - 2026-08-06T080446.204.xls	HTML table / 3,496 data rows	2026-08-06 08:04:46	MD source has no aging field; MD aging unavailable
BEAT SPORTY CBS	MJ2-1M	H1B02N41S4 A/T	2026	A245	21	RFS	1	StokMD - 2026-08-06T080446.204.xls	HTML table / 3,496 data rows	2026-08-06 08:04:46	MD source has no aging field; MD aging unavailable
BEAT SPORTY CBS	MJ2-1M	H1B02N41S4 A/T	2026	A245	24	RFS	1	StokMD - 2026-08-06T080446.204.xls	HTML table / 3,496 data rows	2026-08-06 08:04:46	MD source has no aging field; MD aging unavailable
BEAT SPORTY CBS	MJ2-1M	H1B02N41S4 A/T	2026	A293	13	RFS	1	StokMD - 2026-08-06T080446.204.xls	HTML table / 3,496 data rows	2026-08-06 08:04:46	MD source has no aging field; MD aging unavailable
BEAT SPORTY CBS	MJ2-1M	H1B02N41S4 A/T	2026	A293	14	RFS	1	StokMD - 2026-08-06T080446.204.xls	HTML table / 3,496 data rows	2026-08-06 08:04:46	MD source has no aging field; MD aging unavailable
BEAT SPORTY CBS	MJ2-1M	H1B02N41S4 A/T	2026	A293	15	RFS	1	StokMD - 2026-08-06T080446.204.xls	HTML table / 3,496 data rows	2026-08-06 08:04:46	MD source has no aging field; MD aging unavailable
BEAT SPORTY CBS	MJ2-1M	H1B02N41S4 A/T	2026	A293	7	RFS	1	StokMD - 2026-08-06T080446.204.xls	HTML table / 3,496 data rows	2026-08-06 08:04:46	MD source has no aging field; MD aging unavailable
BEAT SPORTY CBS	MJ2-1M	H1B02N41S4 A/T	2026	A293	9	RFS	1	StokMD - 2026-08-06T080446.204.xls	HTML table / 3,496 data rows	2026-08-06 08:04:46	MD source has no aging field; MD aging unavailable
BEAT SPORTY CBS	MJ2-1M	H1B02N41S4 A/T	2026	A294	12	RFS	1	StokMD - 2026-08-06T080446.204.xls	HTML table / 3,496 data rows	2026-08-06 08:04:46	MD source has no aging field; MD aging unavailable
BEAT SPORTY CBS	MJ2-1M	H1B02N41S4 A/T	2026	A294	4	RFS	1	StokMD - 2026-08-06T080446.204.xls	HTML table / 3,496 data rows	2026-08-06 08:04:46	MD source has no aging field; MD aging unavailable
BEAT SPORTY CBS	MJ2-1M	H1B02N41S4 A/T	2026	A294	6	RFS	1	StokMD - 2026-08-06T080446.204.xls	HTML table / 3,496 data rows	2026-08-06 08:04:46	MD source has no aging field; MD aging unavailable
BEAT SPORTY CBS	MJ2-1M	H1B02N41S4 A/T	2026	A294	7	RFS	1	StokMD - 2026-08-06T080446.204.xls	HTML table / 3,496 data rows	2026-08-06 08:04:46	MD source has no aging field; MD aging unavailable
BEAT SPORTY CBS	MJ2-1M	H1B02N41S4 A/T	2026	A294	9	RFS	1	StokMD - 2026-08-06T080446.204.xls	HTML table / 3,496 data rows	2026-08-06 08:04:46	MD source has no aging field; MD aging unavailable
BEAT SPORTY CBS	MJ2-1M	H1B02N41S4 A/T	2026	A295	11	RFS	1	StokMD - 2026-08-06T080446.204.xls	HTML table / 3,496 data rows	2026-08-06 08:04:46	MD source has no aging field; MD aging unavailable
BEAT SPORTY CBS	MJ2-1M	H1B02N41S4 A/T	2026	A295	12	RFS	1	StokMD - 2026-08-06T080446.204.xls	HTML table / 3,496 data rows	2026-08-06 08:04:46	MD source has no aging field; MD aging unavailable
BEAT SPORTY CBS	MJ2-1M	H1B02N41S4 A/T	2026	A295	3	RFS	1	StokMD - 2026-08-06T080446.204.xls	HTML table / 3,496 data rows	2026-08-06 08:04:46	MD source has no aging field; MD aging unavailable
BEAT SPORTY CBS	MJ2-1M	H1B02N41S4 A/T	2026	A295	4	RFS	1	StokMD - 2026-08-06T080446.204.xls	HTML table / 3,496 data rows	2026-08-06 08:04:46	MD source has no aging field; MD aging unavailable
BEAT SPORTY CBS	MJ2-1M	H1B02N41S4 A/T	2026	A316	20	RFS	1	StokMD - 2026-08-06T080446.204.xls	HTML table / 3,496 data rows	2026-08-06 08:04:46	MD source has no aging field; MD aging unavailable
BEAT SPORTY CBS	MJ2-1M	H1B02N41S4 A/T	2026	A31B	20	RFS	1	StokMD - 2026-08-06T080446.204.xls	HTML table / 3,496 data rows	2026-08-06 08:04:46	MD source has no aging field; MD aging unavailable
BEAT SPORTY CBS	MJ2-1M	H1B02N41S4 A/T	2026	A31B	21	RFS	1	StokMD - 2026-08-06T080446.204.xls	HTML table / 3,496 data rows	2026-08-06 08:04:46	MD source has no aging field; MD aging unavailable
BEAT SPORTY CBS	MJ2-1M	H1B02N41S4 A/T	2026	A31B	22	RFS	1	StokMD - 2026-08-06T080446.204.xls	HTML table / 3,496 data rows	2026-08-06 08:04:46	MD source has no aging field; MD aging unavailable
BEAT SPORTY CBS	MJ2-1M	H1B02N41S4 A/T	2026	A31B	23	RFS	1	StokMD - 2026-08-06T080446.204.xls	HTML table / 3,496 data rows	2026-08-06 08:04:46	MD source has no aging field; MD aging unavailable
BEAT SPORTY CBS	MJ2-1M	H1B02N41S4 A/T	2026	A31B	24	RFS	1	StokMD - 2026-08-06T080446.204.xls	HTML table / 3,496 data rows	2026-08-06 08:04:46	MD source has no aging field; MD aging unavailable
BEAT SPORTY CBS	MJ2-1M	H1B02N41S4 A/T	2026	A31C	1	RFS	1	StokMD - 2026-08-06T080446.204.xls	HTML table / 3,496 data rows	2026-08-06 08:04:46	MD source has no aging field; MD aging unavailable
BEAT SPORTY CBS	MJ2-1M	H1B02N41S4 A/T	2026	A31C	13	RFS	1	StokMD - 2026-08-06T080446.204.xls	HTML table / 3,496 data rows	2026-08-06 08:04:46	MD source has no aging field; MD aging unavailable
BEAT SPORTY CBS	MJ2-1M	H1B02N41S4 A/T	2026	A31C	2	RFS	1	StokMD - 2026-08-06T080446.204.xls	HTML table / 3,496 data rows	2026-08-06 08:04:46	MD source has no aging field; MD aging unavailable
BEAT SPORTY CBS	MJ2-1M	H1B02N41S4 A/T	2026	A31C	20	RFS	1	StokMD - 2026-08-06T080446.204.xls	HTML table / 3,496 data rows	2026-08-06 08:04:46	MD source has no aging field; MD aging unavailable
BEAT SPORTY CBS	MJ2-1M	H1B02N41S4 A/T	2026	A31C	4	RFS	1	StokMD - 2026-08-06T080446.204.xls	HTML table / 3,496 data rows	2026-08-06 08:04:46	MD source has no aging field; MD aging unavailable
BEAT SPORTY CBS	MJ2-1M	H1B02N41S4 A/T	2026	A31C	5	RFS	1	StokMD - 2026-08-06T080446.204.xls	HTML table / 3,496 data rows	2026-08-06 08:04:46	MD source has no aging field; MD aging unavailable
BEAT SPORTY CBS	MJ2-1M	H1B02N41S4 A/T	2026	A31C	6	RFS	1	StokMD - 2026-08-06T080446.204.xls	HTML table / 3,496 data rows	2026-08-06 08:04:46	MD source has no aging field; MD aging unavailable
BEAT SPORTY CBS	MJ2-1M	H1B02N41S4 A/T	2026	A31C	7	RFS	1	StokMD - 2026-08-06T080446.204.xls	HTML table / 3,496 data rows	2026-08-06 08:04:46	MD source has no aging field; MD aging unavailable
BEAT SPORTY CBS	MJ2-1M	H1B02N41S4 A/T	2026	A321	1	RFS	1	StokMD - 2026-08-06T080446.204.xls	HTML table / 3,496 data rows	2026-08-06 08:04:46	MD source has no aging field; MD aging unavailable
BEAT SPORTY CBS	MJ2-1M	H1B02N41S4 A/T	2026	A321	18	RFS	1	StokMD - 2026-08-06T080446.204.xls	HTML table / 3,496 data rows	2026-08-06 08:04:46	MD source has no aging field; MD aging unavailable
BEAT SPORTY CBS	MJ2-1M	H1B02N41S4 A/T	2026	A321	2	RFS	1	StokMD - 2026-08-06T080446.204.xls	HTML table / 3,496 data rows	2026-08-06 08:04:46	MD source has no aging field; MD aging unavailable
BEAT SPORTY CBS	MJ2-1M	H1B02N41S4 A/T	2026	A321	20	RFS	1	StokMD - 2026-08-06T080446.204.xls	HTML table / 3,496 data rows	2026-08-06 08:04:46	MD source has no aging field; MD aging unavailable
BEAT SPORTY CBS	MJ2-1M	H1B02N41S4 A/T	2026	A321	9	RFS	1	StokMD - 2026-08-06T080446.204.xls	HTML table / 3,496 data rows	2026-08-06 08:04:46	MD source has no aging field; MD aging unavailable
BEAT SPORTY CBS	MJ2-1M	H1B02N41S4 A/T	2026	A322	5	RFS	1	StokMD - 2026-08-06T080446.204.xls	HTML table / 3,496 data rows	2026-08-06 08:04:46	MD source has no aging field; MD aging unavailable
BEAT SPORTY CBS	MJ2-1M	H1B02N41S4 A/T	2026	A322	6	RFS	1	StokMD - 2026-08-06T080446.204.xls	HTML table / 3,496 data rows	2026-08-06 08:04:46	MD source has no aging field; MD aging unavailable
BEAT SPORTY CBS	MJ2-1M	H1B02N41S4 A/T	2026	A325	14	RFS	1	StokMD - 2026-08-06T080446.204.xls	HTML table / 3,496 data rows	2026-08-06 08:04:46	MD source has no aging field; MD aging unavailable
BEAT SPORTY CBS	MJ2-1M	H1B02N41S4 A/T	2026	A325	16	RFS	1	StokMD - 2026-08-06T080446.204.xls	HTML table / 3,496 data rows	2026-08-06 08:04:46	MD source has no aging field; MD aging unavailable
BEAT SPORTY CBS	MJ2-1M	H1B02N41S4 A/T	2026	A325	18	RFS	1	StokMD - 2026-08-06T080446.204.xls	HTML table / 3,496 data rows	2026-08-06 08:04:46	MD source has no aging field; MD aging unavailable
BEAT SPORTY CBS	MJ2-1M	H1B02N41S4 A/T	2026	A325	19	RFS	1	StokMD - 2026-08-06T080446.204.xls	HTML table / 3,496 data rows	2026-08-06 08:04:46	MD source has no aging field; MD aging unavailable
