dealer	dealer_stock_units_2026-08-06	july_2026_retail_units	derived_daily_sales_july	derived_stock_days	aging_over_90_units	aging_over_150_units	formula	stock_source	retail_source	data_quality	stock_source_range	retail_source_range
POS PATRIA - SIJENJANG	77	82	2.6451612903225805	29.109756097560975	10	5	Stock Days = End Stock / Daily Sales; Daily Sales = Jul 2026 retail / 31	Stok_per_no_mesin_dealer - 2026-08-06T080342.480.xls	SSU.2026.xlsx / Monitoring Penjualan Dealer Dai	CROSS_SOURCE_DERIVED; blank when exact dealer July retail unavailable	HTML table / 5,239 data rows	Monitoring Penjualan Dealer Dai!A1:BD73970; Jul 2026 rows aggregated by dealer
POS PATRIA - TUNGKAL	61	104	3.3548387096774195	18.182692307692307	4	3	Stock Days = End Stock / Daily Sales; Daily Sales = Jul 2026 retail / 31	Stok_per_no_mesin_dealer - 2026-08-06T080342.480.xls	SSU.2026.xlsx / Monitoring Penjualan Dealer Dai	CROSS_SOURCE_DERIVED; blank when exact dealer July retail unavailable	HTML table / 5,239 data rows	Monitoring Penjualan Dealer Dai!A1:BD73970; Jul 2026 rows aggregated by dealer
POS SSM - NIPAH PANJANG	51	130	4.193548387096774	12.161538461538463	4	1	Stock Days = End Stock / Daily Sales; Daily Sales = Jul 2026 retail / 31	Stok_per_no_mesin_dealer - 2026-08-06T080342.480.xls	SSU.2026.xlsx / Monitoring Penjualan Dealer Dai	CROSS_SOURCE_DERIVED; blank when exact dealer July retail unavailable	HTML table / 5,239 data rows	Monitoring Penjualan Dealer Dai!A1:BD73970; Jul 2026 rows aggregated by dealer
POS TUNAS JAMBI - BULURAN	81	88	2.838709677419355	28.534090909090907	21	7	Stock Days = End Stock / Daily Sales; Daily Sales = Jul 2026 retail / 31	Stok_per_no_mesin_dealer - 2026-08-06T080342.480.xls	SSU.2026.xlsx / Monitoring Penjualan Dealer Dai	CROSS_SOURCE_DERIVED; blank when exact dealer July retail unavailable	HTML table / 5,239 data rows	Monitoring Penjualan Dealer Dai!A1:BD73970; Jul 2026 rows aggregated by dealer
POS TUNAS MERLUNG - SEI. BADAR	44	76	2.4516129032258065	17.94736842105263	0	0	Stock Days = End Stock / Daily Sales; Daily Sales = Jul 2026 retail / 31	Stok_per_no_mesin_dealer - 2026-08-06T080342.480.xls	SSU.2026.xlsx / Monitoring Penjualan Dealer Dai	CROSS_SOURCE_DERIVED; blank when exact dealer July retail unavailable	HTML table / 5,239 data rows	Monitoring Penjualan Dealer Dai!A1:BD73970; Jul 2026 rows aggregated by dealer
POS TUNAS SABAK - RANTAU RASAU	51	64	2.064516129032258	24.703125	3	0	Stock Days = End Stock / Daily Sales; Daily Sales = Jul 2026 retail / 31	Stok_per_no_mesin_dealer - 2026-08-06T080342.480.xls	SSU.2026.xlsx / Monitoring Penjualan Dealer Dai	CROSS_SOURCE_DERIVED; blank when exact dealer July retail unavailable	HTML table / 5,239 data rows	Monitoring Penjualan Dealer Dai!A1:BD73970; Jul 2026 rows aggregated by dealer
PT. ASTRA INTERNATIONAL TBK-HONDA	164	384	12.387096774193548	13.239583333333334	24	20	Stock Days = End Stock / Daily Sales; Daily Sales = Jul 2026 retail / 31	Stok_per_no_mesin_dealer - 2026-08-06T080342.480.xls	SSU.2026.xlsx / Monitoring Penjualan Dealer Dai	CROSS_SOURCE_DERIVED; blank when exact dealer July retail unavailable	HTML table / 5,239 data rows	Monitoring Penjualan Dealer Dai!A1:BD73970; Jul 2026 rows aggregated by dealer
PT. BADORAY MOTOR - LINTAS	103	375	12.096774193548388	8.514666666666667	8	3	Stock Days = End Stock / Daily Sales; Daily Sales = Jul 2026 retail / 31	Stok_per_no_mesin_dealer - 2026-08-06T080342.480.xls	SSU.2026.xlsx / Monitoring Penjualan Dealer Dai	CROSS_SOURCE_DERIVED; blank when exact dealer July retail unavailable	HTML table / 5,239 data rows	Monitoring Penjualan Dealer Dai!A1:BD73970; Jul 2026 rows aggregated by dealer
PT. BADORAY MOTOR - RIMBO	72	159	5.129032258064516	14.037735849056604	6	5	Stock Days = End Stock / Daily Sales; Daily Sales = Jul 2026 retail / 31	Stok_per_no_mesin_dealer - 2026-08-06T080342.480.xls	SSU.2026.xlsx / Monitoring Penjualan Dealer Dai	CROSS_SOURCE_DERIVED; blank when exact dealer July retail unavailable	HTML table / 5,239 data rows	Monitoring Penjualan Dealer Dai!A1:BD73970; Jul 2026 rows aggregated by dealer
PT. BULAN MOTOR - MERLUNG	93	265	8.548387096774194	10.879245283018868	8	5	Stock Days = End Stock / Daily Sales; Daily Sales = Jul 2026 retail / 31	Stok_per_no_mesin_dealer - 2026-08-06T080342.480.xls	SSU.2026.xlsx / Monitoring Penjualan Dealer Dai	CROSS_SOURCE_DERIVED; blank when exact dealer July retail unavailable	HTML table / 5,239 data rows	Monitoring Penjualan Dealer Dai!A1:BD73970; Jul 2026 rows aggregated by dealer
PT. BULAN MOTOR - SABAK	69	132	4.258064516129032	16.204545454545457	8	3	Stock Days = End Stock / Daily Sales; Daily Sales = Jul 2026 retail / 31	Stok_per_no_mesin_dealer - 2026-08-06T080342.480.xls	SSU.2026.xlsx / Monitoring Penjualan Dealer Dai	CROSS_SOURCE_DERIVED; blank when exact dealer July retail unavailable	HTML table / 5,239 data rows	Monitoring Penjualan Dealer Dai!A1:BD73970; Jul 2026 rows aggregated by dealer
PT. BULAN MOTOR - TUNGKAL	84	252	8.129032258064516	10.333333333333334	8	4	Stock Days = End Stock / Daily Sales; Daily Sales = Jul 2026 retail / 31	Stok_per_no_mesin_dealer - 2026-08-06T080342.480.xls	SSU.2026.xlsx / Monitoring Penjualan Dealer Dai	CROSS_SOURCE_DERIVED; blank when exact dealer July retail unavailable	HTML table / 5,239 data rows	Monitoring Penjualan Dealer Dai!A1:BD73970; Jul 2026 rows aggregated by dealer
PT. CITRA KARYA INTISENTOSA I	35	46	1.4838709677419355	23.58695652173913	12	6	Stock Days = End Stock / Daily Sales; Daily Sales = Jul 2026 retail / 31	Stok_per_no_mesin_dealer - 2026-08-06T080342.480.xls	SSU.2026.xlsx / Monitoring Penjualan Dealer Dai	CROSS_SOURCE_DERIVED; blank when exact dealer July retail unavailable	HTML table / 5,239 data rows	Monitoring Penjualan Dealer Dai!A1:BD73970; Jul 2026 rows aggregated by dealer
PT. CITRA KARYA INTISENTOSA II	33	74	2.3870967741935485	13.824324324324325	7	4	Stock Days = End Stock / Daily Sales; Daily Sales = Jul 2026 retail / 31	Stok_per_no_mesin_dealer - 2026-08-06T080342.480.xls	SSU.2026.xlsx / Monitoring Penjualan Dealer Dai	CROSS_SOURCE_DERIVED; blank when exact dealer July retail unavailable	HTML table / 5,239 data rows	Monitoring Penjualan Dealer Dai!A1:BD73970; Jul 2026 rows aggregated by dealer
PT. CITRA LENCANA SAKTI - BANGKO	133	509	16.419354838709676	8.100196463654225	10	6	Stock Days = End Stock / Daily Sales; Daily Sales = Jul 2026 retail / 31	Stok_per_no_mesin_dealer - 2026-08-06T080342.480.xls	SSU.2026.xlsx / Monitoring Penjualan Dealer Dai	CROSS_SOURCE_DERIVED; blank when exact dealer July retail unavailable	HTML table / 5,239 data rows	Monitoring Penjualan Dealer Dai!A1:BD73970; Jul 2026 rows aggregated by dealer
PT. CITRA LENCANA SAKTI - PAMENANG	108	212	6.838709677419355	15.79245283018868	7	2	Stock Days = End Stock / Daily Sales; Daily Sales = Jul 2026 retail / 31	Stok_per_no_mesin_dealer - 2026-08-06T080342.480.xls	SSU.2026.xlsx / Monitoring Penjualan Dealer Dai	CROSS_SOURCE_DERIVED; blank when exact dealer July retail unavailable	HTML table / 5,239 data rows	Monitoring Penjualan Dealer Dai!A1:BD73970; Jul 2026 rows aggregated by dealer
PT. CITRA LENCANA SAKTI - SINGKUT	136	409	13.193548387096774	10.308068459657703	6	5	Stock Days = End Stock / Daily Sales; Daily Sales = Jul 2026 retail / 31	Stok_per_no_mesin_dealer - 2026-08-06T080342.480.xls	SSU.2026.xlsx / Monitoring Penjualan Dealer Dai	CROSS_SOURCE_DERIVED; blank when exact dealer July retail unavailable	HTML table / 5,239 data rows	Monitoring Penjualan Dealer Dai!A1:BD73970; Jul 2026 rows aggregated by dealer
PT. DAYA ANUGRAH MANDIRI - BAHAR	114	138	4.451612903225806	25.608695652173914	27	20	Stock Days = End Stock / Daily Sales; Daily Sales = Jul 2026 retail / 31	Stok_per_no_mesin_dealer - 2026-08-06T080342.480.xls	SSU.2026.xlsx / Monitoring Penjualan Dealer Dai	CROSS_SOURCE_DERIVED; blank when exact dealer July retail unavailable	HTML table / 5,239 data rows	Monitoring Penjualan Dealer Dai!A1:BD73970; Jul 2026 rows aggregated by dealer
PT. DAYA ANUGRAH MANDIRI - JAMBI	119	239	7.709677419354839	15.435146443514643	24	17	Stock Days = End Stock / Daily Sales; Daily Sales = Jul 2026 retail / 31	Stok_per_no_mesin_dealer - 2026-08-06T080342.480.xls	SSU.2026.xlsx / Monitoring Penjualan Dealer Dai	CROSS_SOURCE_DERIVED; blank when exact dealer July retail unavailable	HTML table / 5,239 data rows	Monitoring Penjualan Dealer Dai!A1:BD73970; Jul 2026 rows aggregated by dealer
PT. DAYA ANUGRAH MANDIRI - RIMBO	74	186	6.0	12.333333333333334	18	12	Stock Days = End Stock / Daily Sales; Daily Sales = Jul 2026 retail / 31	Stok_per_no_mesin_dealer - 2026-08-06T080342.480.xls	SSU.2026.xlsx / Monitoring Penjualan Dealer Dai	CROSS_SOURCE_DERIVED; blank when exact dealer July retail unavailable	HTML table / 5,239 data rows	Monitoring Penjualan Dealer Dai!A1:BD73970; Jul 2026 rows aggregated by dealer
PT. MEGA WAHANA PESONA - SENGETI	38	188	6.064516129032258	6.26595744680851	3	1	Stock Days = End Stock / Daily Sales; Daily Sales = Jul 2026 retail / 31	Stok_per_no_mesin_dealer - 2026-08-06T080342.480.xls	SSU.2026.xlsx / Monitoring Penjualan Dealer Dai	CROSS_SOURCE_DERIVED; blank when exact dealer July retail unavailable	HTML table / 5,239 data rows	Monitoring Penjualan Dealer Dai!A1:BD73970; Jul 2026 rows aggregated by dealer
PT. MEGA WAHANA PESONA - SIMP. RIMBO	41	81	2.6129032258064515	15.69135802469136	1	1	Stock Days = End Stock / Daily Sales; Daily Sales = Jul 2026 retail / 31	Stok_per_no_mesin_dealer - 2026-08-06T080342.480.xls	SSU.2026.xlsx / Monitoring Penjualan Dealer Dai	CROSS_SOURCE_DERIVED; blank when exact dealer July retail unavailable	HTML table / 5,239 data rows	Monitoring Penjualan Dealer Dai!A1:BD73970; Jul 2026 rows aggregated by dealer
PT. NUSANTARA SURYA SAKTI - JAMBI	97	290	9.35483870967742	10.368965517241378	25	17	Stock Days = End Stock / Daily Sales; Daily Sales = Jul 2026 retail / 31	Stok_per_no_mesin_dealer - 2026-08-06T080342.480.xls	SSU.2026.xlsx / Monitoring Penjualan Dealer Dai	CROSS_SOURCE_DERIVED; blank when exact dealer July retail unavailable	HTML table / 5,239 data rows	Monitoring Penjualan Dealer Dai!A1:BD73970; Jul 2026 rows aggregated by dealer
PT. NUSANTARA SURYA SAKTI - SRLG	97	246	7.935483870967742	12.223577235772357	19	14	Stock Days = End Stock / Daily Sales; Daily Sales = Jul 2026 retail / 31	Stok_per_no_mesin_dealer - 2026-08-06T080342.480.xls	SSU.2026.xlsx / Monitoring Penjualan Dealer Dai	CROSS_SOURCE_DERIVED; blank when exact dealer July retail unavailable	HTML table / 5,239 data rows	Monitoring Penjualan Dealer Dai!A1:BD73970; Jul 2026 rows aggregated by dealer
PT. PATRIA ANUGRAH SENTOSA - JAMBI	105	157	5.064516129032258	20.73248407643312	12	6	Stock Days = End Stock / Daily Sales; Daily Sales = Jul 2026 retail / 31	Stok_per_no_mesin_dealer - 2026-08-06T080342.480.xls	SSU.2026.xlsx / Monitoring Penjualan Dealer Dai	CROSS_SOURCE_DERIVED; blank when exact dealer July retail unavailable	HTML table / 5,239 data rows	Monitoring Penjualan Dealer Dai!A1:BD73970; Jul 2026 rows aggregated by dealer
PT. PATRIA ANUGRAH SENTOSA - SRLG	105	198	6.387096774193548	16.43939393939394	3	3	Stock Days = End Stock / Daily Sales; Daily Sales = Jul 2026 retail / 31	Stok_per_no_mesin_dealer - 2026-08-06T080342.480.xls	SSU.2026.xlsx / Monitoring Penjualan Dealer Dai	CROSS_SOURCE_DERIVED; blank when exact dealer July retail unavailable	HTML table / 5,239 data rows	Monitoring Penjualan Dealer Dai!A1:BD73970; Jul 2026 rows aggregated by dealer
PT. RIAU ARGO PERKASA	94	200	6.451612903225806	14.57	10	8	Stock Days = End Stock / Daily Sales; Daily Sales = Jul 2026 retail / 31	Stok_per_no_mesin_dealer - 2026-08-06T080342.480.xls	SSU.2026.xlsx / Monitoring Penjualan Dealer Dai	CROSS_SOURCE_DERIVED; blank when exact dealer July retail unavailable	HTML table / 5,239 data rows	Monitoring Penjualan Dealer Dai!A1:BD73970; Jul 2026 rows aggregated by dealer
PT. SENTOSA SAKTI MOTOR - MAYANG	78	214	6.903225806451613	11.299065420560748	16	6	Stock Days = End Stock / Daily Sales; Daily Sales = Jul 2026 retail / 31	Stok_per_no_mesin_dealer - 2026-08-06T080342.480.xls	SSU.2026.xlsx / Monitoring Penjualan Dealer Dai	CROSS_SOURCE_DERIVED; blank when exact dealer July retail unavailable	HTML table / 5,239 data rows	Monitoring Penjualan Dealer Dai!A1:BD73970; Jul 2026 rows aggregated by dealer
PT. SENTOSA SAKTI MOTOR - THEHOK	73	189	6.096774193548387	11.973544973544973	10	0	Stock Days = End Stock / Daily Sales; Daily Sales = Jul 2026 retail / 31	Stok_per_no_mesin_dealer - 2026-08-06T080342.480.xls	SSU.2026.xlsx / Monitoring Penjualan Dealer Dai	CROSS_SOURCE_DERIVED; blank when exact dealer July retail unavailable	HTML table / 5,239 data rows	Monitoring Penjualan Dealer Dai!A1:BD73970; Jul 2026 rows aggregated by dealer
PT. SINAR SENTOSA MOTORA - ABUNJANI	70	271	8.741935483870968	8.007380073800737	8	6	Stock Days = End Stock / Daily Sales; Daily Sales = Jul 2026 retail / 31	Stok_per_no_mesin_dealer - 2026-08-06T080342.480.xls	SSU.2026.xlsx / Monitoring Penjualan Dealer Dai	CROSS_SOURCE_DERIVED; blank when exact dealer July retail unavailable	HTML table / 5,239 data rows	Monitoring Penjualan Dealer Dai!A1:BD73970; Jul 2026 rows aggregated by dealer
PT. SINAR SENTOSA MOTORA - BAHAR	53	253	8.161290322580646	6.494071146245059	2	1	Stock Days = End Stock / Daily Sales; Daily Sales = Jul 2026 retail / 31	Stok_per_no_mesin_dealer - 2026-08-06T080342.480.xls	SSU.2026.xlsx / Monitoring Penjualan Dealer Dai	CROSS_SOURCE_DERIVED; blank when exact dealer July retail unavailable	HTML table / 5,239 data rows	Monitoring Penjualan Dealer Dai!A1:BD73970; Jul 2026 rows aggregated by dealer
PT. SINAR SENTOSA MOTORA - BULIAN	44	170	5.483870967741935	8.023529411764706	1	1	Stock Days = End Stock / Daily Sales; Daily Sales = Jul 2026 retail / 31	Stok_per_no_mesin_dealer - 2026-08-06T080342.480.xls	SSU.2026.xlsx / Monitoring Penjualan Dealer Dai	CROSS_SOURCE_DERIVED; blank when exact dealer July retail unavailable	HTML table / 5,239 data rows	Monitoring Penjualan Dealer Dai!A1:BD73970; Jul 2026 rows aggregated by dealer
PT. SINAR SENTOSA MOTORA - HANDIL	61	122	3.935483870967742	15.5	15	6	Stock Days = End Stock / Daily Sales; Daily Sales = Jul 2026 retail / 31	Stok_per_no_mesin_dealer - 2026-08-06T080342.480.xls	SSU.2026.xlsx / Monitoring Penjualan Dealer Dai	CROSS_SOURCE_DERIVED; blank when exact dealer July retail unavailable	HTML table / 5,239 data rows	Monitoring Penjualan Dealer Dai!A1:BD73970; Jul 2026 rows aggregated by dealer
PT. SINAR SENTOSA MOTORA - PAAL VI	59	252	8.129032258064516	7.257936507936508	1	1	Stock Days = End Stock / Daily Sales; Daily Sales = Jul 2026 retail / 31	Stok_per_no_mesin_dealer - 2026-08-06T080342.480.xls	SSU.2026.xlsx / Monitoring Penjualan Dealer Dai	CROSS_SOURCE_DERIVED; blank when exact dealer July retail unavailable	HTML table / 5,239 data rows	Monitoring Penjualan Dealer Dai!A1:BD73970; Jul 2026 rows aggregated by dealer
PT. SINAR SENTOSA MOTORA - TEBING	70	153	4.935483870967742	14.183006535947712	5	2	Stock Days = End Stock / Daily Sales; Daily Sales = Jul 2026 retail / 31	Stok_per_no_mesin_dealer - 2026-08-06T080342.480.xls	SSU.2026.xlsx / Monitoring Penjualan Dealer Dai	CROSS_SOURCE_DERIVED; blank when exact dealer July retail unavailable	HTML table / 5,239 data rows	Monitoring Penjualan Dealer Dai!A1:BD73970; Jul 2026 rows aggregated by dealer
PT. SINAR SENTOSA MOTORA - WAHIDIN	13	47	1.5161290322580645	8.574468085106384	1	1	Stock Days = End Stock / Daily Sales; Daily Sales = Jul 2026 retail / 31	Stok_per_no_mesin_dealer - 2026-08-06T080342.480.xls	SSU.2026.xlsx / Monitoring Penjualan Dealer Dai	CROSS_SOURCE_DERIVED; blank when exact dealer July retail unavailable	HTML table / 5,239 data rows	Monitoring Penjualan Dealer Dai!A1:BD73970; Jul 2026 rows aggregated by dealer
PT. SURYA MANDALA - BAKUNG	48	108	3.4838709677419355	13.777777777777779	7	5	Stock Days = End Stock / Daily Sales; Daily Sales = Jul 2026 retail / 31	Stok_per_no_mesin_dealer - 2026-08-06T080342.480.xls	SSU.2026.xlsx / Monitoring Penjualan Dealer Dai	CROSS_SOURCE_DERIVED; blank when exact dealer July retail unavailable	HTML table / 5,239 data rows	Monitoring Penjualan Dealer Dai!A1:BD73970; Jul 2026 rows aggregated by dealer
PT. SURYA MANDALA - SEBAPO	77	174	5.612903225806452	13.7183908045977	9	4	Stock Days = End Stock / Daily Sales; Daily Sales = Jul 2026 retail / 31	Stok_per_no_mesin_dealer - 2026-08-06T080342.480.xls	SSU.2026.xlsx / Monitoring Penjualan Dealer Dai	CROSS_SOURCE_DERIVED; blank when exact dealer July retail unavailable	HTML table / 5,239 data rows	Monitoring Penjualan Dealer Dai!A1:BD73970; Jul 2026 rows aggregated by dealer
PT. TEMBESI JAYA SENTOSA	99	235	7.580645161290323	13.059574468085106	11	7	Stock Days = End Stock / Daily Sales; Daily Sales = Jul 2026 retail / 31	Stok_per_no_mesin_dealer - 2026-08-06T080342.480.xls	SSU.2026.xlsx / Monitoring Penjualan Dealer Dai	CROSS_SOURCE_DERIVED; blank when exact dealer July retail unavailable	HTML table / 5,239 data rows	Monitoring Penjualan Dealer Dai!A1:BD73970; Jul 2026 rows aggregated by dealer
PT. TEMBESI JAYA SENTOSA - RENGAS	115	191	6.161290322580645	18.664921465968586	7	3	Stock Days = End Stock / Daily Sales; Daily Sales = Jul 2026 retail / 31	Stok_per_no_mesin_dealer - 2026-08-06T080342.480.xls	SSU.2026.xlsx / Monitoring Penjualan Dealer Dai	CROSS_SOURCE_DERIVED; blank when exact dealer July retail unavailable	HTML table / 5,239 data rows	Monitoring Penjualan Dealer Dai!A1:BD73970; Jul 2026 rows aggregated by dealer
PT. TUNAS DWIPA MATRA - BANGKO	180	522	16.838709677419356	10.689655172413792	15	10	Stock Days = End Stock / Daily Sales; Daily Sales = Jul 2026 retail / 31	Stok_per_no_mesin_dealer - 2026-08-06T080342.480.xls	SSU.2026.xlsx / Monitoring Penjualan Dealer Dai	CROSS_SOURCE_DERIVED; blank when exact dealer July retail unavailable	HTML table / 5,239 data rows	Monitoring Penjualan Dealer Dai!A1:BD73970; Jul 2026 rows aggregated by dealer
PT. TUNAS DWIPA MATRA - BUNGO	215	468	15.096774193548388	14.241452991452991	17	12	Stock Days = End Stock / Daily Sales; Daily Sales = Jul 2026 retail / 31	Stok_per_no_mesin_dealer - 2026-08-06T080342.480.xls	SSU.2026.xlsx / Monitoring Penjualan Dealer Dai	CROSS_SOURCE_DERIVED; blank when exact dealer July retail unavailable	HTML table / 5,239 data rows	Monitoring Penjualan Dealer Dai!A1:BD73970; Jul 2026 rows aggregated by dealer
