MANIFEST_INDEX	RELATIVE_PATH	SHA256	LINE_COUNT	ROLE
39	ecosystem/projects/earesmes-arfin-bridge/docs/design/g1_2/SOURCE_PATH_CANDIDATES.tsv	624a2ea918ca0ec8dbea9d99d4caf954c5589872f05068e6df257d062e080a9c	9	CANONICAL_DESIGN_PACKAGE
40	ecosystem/projects/earesmes-arfin-bridge/docs/design/g1_2/TEST_VECTORS.tsv	86b724ae5aa37ffd273a6cfe10b9b2af8051140c4d981e1e5b7b2972c2590108	21	CANONICAL_DESIGN_PACKAGE
41	ecosystem/projects/earesmes-arfin-bridge/docs/design/g1_2/OWNER_FINDING_TEST_COVERAGE.tsv	f0c74a3d6e4e43330160fe1223b6260aa6f4b8f0702e540d26f3ffd0cc5335a0	15	CANONICAL_DESIGN_PACKAGE
42	ecosystem/projects/earesmes-arfin-bridge/docs/design/g1_2/PREREQUISITE_AND_REQUIREMENT_MAPPING.tsv	c602fb5c07da3d49fc3fecc49895794ad8576fb2326643c9e4fcf6023dccfe2b	5	CANONICAL_DESIGN_PACKAGE
43	ecosystem/projects/earesmes-arfin-bridge/docs/design/g1_2/OPEN_DECISIONS.tsv	802e1823a90ca1130594ec347a501b3191c4d757c2839cece0b3fc3fc5c347b1	4	CANONICAL_DESIGN_PACKAGE
44	ecosystem/projects/earesmes-arfin-bridge/docs/design/g1_2/SEMANTIC_CONSISTENCY_VALIDATION.tsv	6456798656778b844ef13ec079e8bd9ed0ad2883928d7e98958238278439c659	13	CANONICAL_DESIGN_PACKAGE
45	ecosystem/projects/earesmes-arfin-bridge/docs/design/g1_3/G1_3_SUMMARY.txt	c1f5d4e34bdace4d7df7a45bc7bc27a77c0a6dd32856bdea7be55040f8d94ac6	47	CANONICAL_DESIGN_PACKAGE
46	ecosystem/projects/earesmes-arfin-bridge/docs/design/g1_3/REVIEW_QUEUE_DATA_CONTRACT.md	9f80975f0c50e00576c846fdd6013710d4c1a4760c210540096b385d43490fd9	41	CANONICAL_DESIGN_PACKAGE
47	ecosystem/projects/earesmes-arfin-bridge/docs/design/g1_3/REVIEW_QUEUE_STATE_TRANSITIONS.tsv	18d8fccd01ff5e23e339c3da89f8477f8c630fba857a6e0316c40b327b9cbb67	7	CANONICAL_DESIGN_PACKAGE
48	ecosystem/projects/earesmes-arfin-bridge/docs/design/g1_3/PRE_SUBMISSION_REVALIDATION_CONTRACT.md	5d6e396228c629e4f8418c90e8ea96a83a36d7e544e003d39d1018ec3fc8b17e	35	CANONICAL_DESIGN_PACKAGE
49	ecosystem/projects/earesmes-arfin-bridge/docs/design/g1_3/ITEMIZED_BATCH_CONTRACT.md	86079ae16e30c4f8634ac780bd2a6d71269e8a944ec26d1b889f535026b8751f	33	CANONICAL_DESIGN_PACKAGE
50	ecosystem/projects/earesmes-arfin-bridge/docs/design/g1_3/MANUAL_TRANSACTION_CONTRACT.md	d879630a16cca7701eb455244e838d9569ae96f0a4bc41f4b922c3c808d537bd	35	CANONICAL_DESIGN_PACKAGE
51	ecosystem/projects/earesmes-arfin-bridge/docs/design/g1_3/EXPIRY_AND_DURABLE_BACKLOG_CONTRACT.md	d1e2e6ba41afe6ada900fddb626f05f96960184e1f64f0c076c640578463509b	27	CANONICAL_DESIGN_PACKAGE
52	ecosystem/projects/earesmes-arfin-bridge/docs/design/g1_3/REACTIVATION_AND_LINEAGE_CONTRACT.md	2420cbd7398e6b3468de45472f918929131205280983bd64057a5f4be53098d4	18	CANONICAL_DESIGN_PACKAGE
53	ecosystem/projects/earesmes-arfin-bridge/docs/design/g1_3/DIRECT_ARFIN_FALLBACK_COHERENCE.md	7602c98ca0e5d0130c3dbf54498a2c1b48d9530365c7aa4b1e8dd06cf01dba71	31	CANONICAL_DESIGN_PACKAGE
54	ecosystem/projects/earesmes-arfin-bridge/docs/design/g1_3/IDEMPOTENCY_AND_DUPLICATE_OPERATION_CONTRACT.md	d9623174078c9e4678a59aa84ebab3cf88522664964251f91635ac783fb7d165	28	CANONICAL_DESIGN_PACKAGE
55	ecosystem/projects/earesmes-arfin-bridge/docs/design/g1_3/FAILURE_AND_RECOVERY_MATRIX.tsv	caefb8b6a068b78a2508e8eb67ed83b91d70f7b7fc9292c6f454fb9922fd9235	20	CANONICAL_DESIGN_PACKAGE
56	ecosystem/projects/earesmes-arfin-bridge/docs/design/g1_3/SOURCE_PATH_CANDIDATES.tsv	6da3622dbb3e45c7f1cd4b357cc26331a13525cc0f0d190216b7637d17cb373d	9	CANONICAL_DESIGN_PACKAGE
57	ecosystem/projects/earesmes-arfin-bridge/docs/design/g1_3/TEST_VECTORS.tsv	37e25046a61cf81befd77bae358cb339d4e22e509b05762a45419e200341fbf6	31	CANONICAL_DESIGN_PACKAGE
58	ecosystem/projects/earesmes-arfin-bridge/docs/design/g1_3/PREREQUISITE_AND_REQUIREMENT_MAPPING.tsv	e72a0db35b853a24858e0b6bd6fe0997641af89efd0a4995c4438a793c5c3f41	8	CANONICAL_DESIGN_PACKAGE
59	ecosystem/projects/earesmes-arfin-bridge/docs/design/g1_3/OPEN_DECISIONS.tsv	c0b5b244d13735584a8f96d8bc7f2194464dfe620a8a3c5713867e0271147689	4	CANONICAL_DESIGN_PACKAGE
60	ecosystem/projects/earesmes-arfin-bridge/docs/design/g1_3/G1_3_EXIT_VALIDATION.tsv	4618ef0392d2553c88d108a728d41204282d4d23f914ff921e996c15e97badb6	15	CANONICAL_DESIGN_PACKAGE
61	ecosystem/projects/earesmes-arfin-bridge/docs/design/g1_4/ALERTING_AND_INCIDENT_RESPONSE_MATRIX.tsv	2c0f29beb8a41f84c94e3fe403af8f23630b0e09c9da666a667c922d382b4b0d	19	CANONICAL_DESIGN_PACKAGE
62	ecosystem/projects/earesmes-arfin-bridge/docs/design/g1_4/CANARY_AND_ROLLOUT_PLAN.md	d1879924d5a2f3fb1e16837c2932e62d1ce83a367709a8920c09c461f5721e0a	35	CANONICAL_DESIGN_PACKAGE
63	ecosystem/projects/earesmes-arfin-bridge/docs/design/g1_4/CHANGE_UNIT_MATRIX.tsv	2d3770f638c55395d420b445891fdbf1322a1863a57b54c0f6a0d428aaa280d5	13	CANONICAL_DESIGN_PACKAGE
64	ecosystem/projects/earesmes-arfin-bridge/docs/design/g1_4/CONFIGURATION_AND_SECRET_READINESS.tsv	f7290bd638f841c90442664995581878febeaa619e3e4d83d0e08328198ace60	32	CANONICAL_DESIGN_PACKAGE
65	ecosystem/projects/earesmes-arfin-bridge/docs/design/g1_4/DATA_MIGRATION_AND_BACKOUT_CONTRACT.md	b15a06b130f7e8c68310e92bd0d880d171d092e37df691e2dff87e0c79ad3477	32	CANONICAL_DESIGN_PACKAGE
66	ecosystem/projects/earesmes-arfin-bridge/docs/design/g1_4/EXACT_THRESHOLD_ID_REFERENCE_VALIDATION.tsv	bd5906655b732c1ebd8574dec8b57f45f51330c5a6bec4efb993d6bb2a96be80	31	CANONICAL_DESIGN_PACKAGE
67	ecosystem/projects/earesmes-arfin-bridge/docs/design/g1_4/G1_4_FINAL_CLOSEOUT_VALIDATION.tsv	6178b959befff0ea863bc6b9eca56919147440472f2db902933c935a4c2f179d	19	CANONICAL_DESIGN_PACKAGE
68	ecosystem/projects/earesmes-arfin-bridge/docs/design/g1_4/G1_4_REMEDIATION_R5_SUMMARY.txt	411256af515931bbe2a687490dc7f72d3bc1c68c0cf5fefd240aeee9e80498fe	53	CANONICAL_DESIGN_PACKAGE
69	ecosystem/projects/earesmes-arfin-bridge/docs/design/g1_4/GO_NO_GO_CHECKLIST.tsv	bd8b840da41a220f91de37716c843093c79d76338837b7aeda995b99fd984edb	15	CANONICAL_DESIGN_PACKAGE
70	ecosystem/projects/earesmes-arfin-bridge/docs/design/g1_4/IMPLEMENTATION_CHANGE_PLAN.md	be289ab1fb122606154de47b32efd1d059cd8e3dc76abb763cf3e2b5a48eb00e	21	CANONICAL_DESIGN_PACKAGE
71	ecosystem/projects/earesmes-arfin-bridge/docs/design/g1_4/M1_LIMITATION_CLOSURE_PLAN.md	4e0983851e1e55193e66ba4fb58fb07564c6952b7ccb80295e5edcfb55d46776	19	CANONICAL_DESIGN_PACKAGE
72	ecosystem/projects/earesmes-arfin-bridge/docs/design/g1_4/METRICS_AND_RUNTIME_VALIDATION_CONTRACT.md	7f56866ccf722924d511e9c009d46334c2a3adb4f01318eb83abe74136dc59ca	29	CANONICAL_DESIGN_PACKAGE
73	ecosystem/projects/earesmes-arfin-bridge/docs/design/g1_4/OBSERVABILITY_DOMAIN_COVERAGE.tsv	df6cbb73f61708e99c9851da6152bdbb85ff8e6a9a4e935578c5a4766043d161	21	CANONICAL_DESIGN_PACKAGE
74	ecosystem/projects/earesmes-arfin-bridge/docs/design/g1_4/OBSERVABILITY_SIGNAL_CATALOG.tsv	14881f163ccd1db127177476b2922d65090b69be51436409d02af197f896f561	22	CANONICAL_DESIGN_PACKAGE
75	ecosystem/projects/earesmes-arfin-bridge/docs/design/g1_4/OPEN_DECISIONS.tsv	43fc0f88cd50e930d78a8ccdb6271d8ffe13668fdb7fc7eed9d4de8c296cba25	4	CANONICAL_DESIGN_PACKAGE
76	ecosystem/projects/earesmes-arfin-bridge/docs/design/g1_4/PREREQUISITE_AND_REQUIREMENT_MAPPING.tsv	cee9afd01613301b94105e7c0e119e1b9e8e759252999e593f4ae947d20d38b2	4	CANONICAL_DESIGN_PACKAGE
77	ecosystem/projects/earesmes-arfin-bridge/docs/design/g1_4/R5_SEMANTIC_CONSISTENCY_VALIDATION.tsv	fea8192c71972ece382bbf91cb901078a2db0b7b7ce303125564726118eaaedb	10	CANONICAL_DESIGN_PACKAGE
78	ecosystem/projects/earesmes-arfin-bridge/docs/design/g1_4/RISK_REGISTER.tsv	d78933560651c47a965c3a0e63048741c68fb136cb85a754d84373fe8dc73330	6	CANONICAL_DESIGN_PACKAGE
79	ecosystem/projects/earesmes-arfin-bridge/docs/design/g1_4/ROLLBACK_AND_BACKOUT_CONTRACT.md	88801cc06ce21b8460270dd413ba6312817fe002a1448e7202c6c9e5f668d63c	42	CANONICAL_DESIGN_PACKAGE
80	ecosystem/projects/earesmes-arfin-bridge/docs/design/g1_4/ROLLBACK_TRIGGER_MATRIX.tsv	112d8ee594171c6c56edcf869102e0e583be6412fb79af6372b863f0e7d2dcb9	12	CANONICAL_DESIGN_PACKAGE
81	ecosystem/projects/earesmes-arfin-bridge/docs/design/g1_4/RUNTIME_THRESHOLD_REGISTER.tsv	dd08d945d56c6f939c1e7197cc78dfdad84044be50169ada90cfc33bd9979ae4	31	CANONICAL_DESIGN_PACKAGE
82	ecosystem/projects/earesmes-arfin-bridge/docs/design/g1_4/SOURCE_PATH_CANDIDATES.tsv	8ab63ad7d341e771844e95d1f525944e90f67bb7e65ecd9dc259cefaae80d0bd	22	CANONICAL_DESIGN_PACKAGE
83	ecosystem/projects/earesmes-arfin-bridge/docs/design/g1_4/TEST_REFERENCE_VALIDATION.tsv	ae28c396da1b3e8bae4fcb09a368010ec649082316be16b8c40ab771470d0e49	21	CANONICAL_DESIGN_PACKAGE
84	ecosystem/projects/earesmes-arfin-bridge/docs/design/g1_4/TEST_VECTORS.tsv	eec0514f8c7cafa9a4a9876934cce8d76a70c8efab696017eed471fa3b21b7e2	64	CANONICAL_DESIGN_PACKAGE
85	ecosystem/projects/earesmes-arfin-bridge/docs/design/g1_4/THRESHOLD_USAGE_VALIDATION.tsv	553d0140080fb6fbf2f3c4338cd61c81ad6c53c172af1903e0a8d1fb67471ec8	31	CANONICAL_DESIGN_PACKAGE
86	ecosystem/projects/earesmes-arfin-bridge/src/pending/pending_model.py	f3455837dba4a5828adddce64b4a4bb350bff1eb18f492ec194614016ef0dc97	208	CANONICAL_SOURCE_CODE
87	ecosystem/projects/earesmes-arfin-bridge/src/migration/migrate_legacy.py	1e904606a8a6b2a60001401752a07ffee110b335b081e281f72f9fbb35222880	85	CANONICAL_SOURCE_CODE
EAB	src/adapter/auth_guard.py	92a1ad22436ac46aab536eb39b3c74de289a44d87c22cdffa3cb654f870b63f5	Bounded Arfin adapter auth guard - CU-02
EAB	src/adapter/bounded_adapter.py	996ebe417a585c98edc92bf29f7485454fe4fc69abc32883ff8331954b6508c0	Bounded Arfin adapter client - CU-02
ops/telegram/telegram-gateway.py	83cad99c715aae5f6d2a63df4ad1107440755ab41778065c19ddce64504e3172	Telegram gateway integration runner	M9	EAB_G2_2
ecosystem/projects/earesmes-arfin-bridge/src/bridge/gateway_bridge.py	ddba6a9ee64b24a347b425c82b242e5fe7bd35d2cb0b8d2677400eb86d8688ae	Gateway & Hermes bridge orchestrator module	M9	EAB_G2_2
ecosystem/projects/earesmes-arfin-bridge/tests/test_bridge_integration.py	557cf46a62b6e5e061bee800c5d306a52e850762ab57b49ae0b9444a3e6300a1	Automated unit & integration test suite for EAB bridge	M10	EAB_G2_3
tests/test_implementation_readiness.py	e14a47a29df4eb4a880111237bcadb55178a6cf7ba7ff126e16c36e12d89c96e	System-level implementation readiness test suite	M10	EAB_G2_3
ecosystem/projects/earesmes-arfin-bridge/tests/test_controlled_dry_run.py	4a60d05014ca2297d6184f7232b1ce0ab55278bbc4d7f56b488efad03fa48106	Controlled integration dry-run test suite	M11	EAB_G2_4
scripts/dry_run/run_eab_dry_run.py	d4bdecccdb9ea47ab79cbcb9a0e6733d3a62db8beaa3a2c169771b9c918a6dc0	Standalone controlled dry-run CLI runner script	M11	EAB_G2_4
deploy/canary_guard.py	ccff0bb8058d1699f4f7b911252c229c3025ac147e2464fd1c795d33734a8036	Live canary rollout guard & automatic rollback trigger	M12	EAB_G2_5
ecosystem/projects/earesmes-arfin-bridge/tests/test_live_canary.py	71a6770d7e3e8247e6b01adaabbea73f068bad302804e0e5b7d7d3f1c277c661	Live canary route & rollback test suite	M12	EAB_G2_5
control/earesmes-arfin-bridge.md	f769a99bf37de7ef35b9b094c7aaeac5a04b66e8fa38372421a6b038a94b2fad	Canonical EAB control pointer	M12	EAB_G2_5
ecosystem/projects/earesmes-arfin-bridge/tests/test_runtime_receiver.py	cab883823334fe78d6a5db18acd25f2ec88d414c44c25b6088f8ef83ac010e4b	Real bounded Arfin receiver runtime test	M12	EAB_G2_5
ecosystem/projects/vortex-ai-skill-lab/apps-script-live/AIRO_Finance_Multitab_Final_v1.js	60b0c001f82d37cadabaef1734611514d1c690398d320fc1824db956df96d50e	Real read-only Arfin pending receiver Apps Script source	M12	EAB_G2_5
ecosystem/projects/vortex-ai-skill-lab/scripts/personal-workflow/apps-script/airo_finance_multitab_final_v1.gs	88600b560dc70255082cb50b1de028159883c6c5326ca14414e494873f9502b7	Mirrored Apps Script source for real read-only Arfin receiver	M12	EAB_G2_5
ecosystem/projects/vortex-ai-skill-lab/workers/airo-finance-telegram-proxy/src/index.js	794259a48d0ccace6da424f1d9b85a701a4110b1894dcf5a36b1895e78f670d7	Production Worker bridge source for bounded EAB receiver path	M12	EAB_G2_5
