source_id	corpus	display_path	extension	source_class	extraction_status	extraction_method	units_declared	units_extracted	extracted_chars	semantic_review	visual_review	canonicalized
WD-SRC-045	ASSDP	Basic/Materi Internal/txt/2. ASSDP Basic - PDCA.txt	txt	ASSDP_FORMAL_CURRICULUM	EXTRACTED	PDFTOTEXT_OR_OOXML_OR_TEXT_EXTRACTION	133	1	5711	YES	YES	YES
WD-SRC-046	ASSDP	Basic/Materi Internal/txt/3-6. ASSDP Breakdown target, form dealer review _ TTFU, Targetting _ Forecasting dan komposisi DP .txt	txt	ASSDP_FORMAL_CURRICULUM	EXTRACTED	PDFTOTEXT_OR_OOXML_OR_TEXT_EXTRACTION	494	1	9301	YES	YES	YES
WD-SRC-047	ASSDP	Basic/Materi Internal/txt/7.-Demand-Management-_-Recovery-Rate.txt	txt	ASSDP_FORMAL_CURRICULUM	EXTRACTED	PDFTOTEXT_OR_OOXML_OR_TEXT_EXTRACTION	545	1	31256	YES	YES	YES
WD-SRC-048	ASSDP	Basic/Materi Internal/txt/8.-Management-Visit-Guidance.txt	txt	ASSDP_FORMAL_CURRICULUM	EXTRACTED	PDFTOTEXT_OR_OOXML_OR_TEXT_EXTRACTION	280	1	11687	YES	YES	YES
WD-SRC-049	ASSDP	Basic/Materi Internal/txt/9.-Niguri-AHM.txt	txt	ASSDP_FORMAL_CURRICULUM	EXTRACTED	PDFTOTEXT_OR_OOXML_OR_TEXT_EXTRACTION	111	1	4589	YES	YES	YES
WD-SRC-050	ASSDP	Basic/Materi Project ASSDP.pptx	pptx	ASSDP_FORMAL_CURRICULUM	EXTRACTED	PDFTOTEXT_OR_OOXML_OR_TEXT_EXTRACTION	101	101	27753	YES	YES	YES
WD-SRC-051	ASSDP	Basic/Project ASSDP Level Basic Tahap 1 by Egit Aristo Randas.pdf	pdf	OWNER_APPLIED_PROJECT	EXTRACTED	PDFTOTEXT_OR_OOXML_OR_TEXT_EXTRACTION	20	20	5283	YES	YES	YES
WD-SRC-052	ASSDP	Intermediate/118. Petunjuk Pelaksanaan Final Project Training ASSDP Intermediate (1).pdf	pdf	ASSDP_PROGRAM_GUIDANCE	EXTRACTED	PDFTOTEXT_OR_OOXML_OR_TEXT_EXTRACTION	2	2	4005	YES	YES	YES
WD-SRC-053	ASSDP	Intermediate/ASSDP Intemediate 2024 (1).pdf	pdf	ASSDP_FORMAL_CURRICULUM	EXTRACTED	PDFTOTEXT_OR_OOXML_OR_TEXT_EXTRACTION	5	5	160	YES	YES	YES
WD-SRC-054	ASSDP	Intermediate/ASSDP INTERMEDIATE CLOSING.pptx	pptx	ASSDP_FORMAL_CURRICULUM	EXTRACTED	PDFTOTEXT_OR_OOXML_OR_TEXT_EXTRACTION	4	4	517	YES	YES	YES
WD-SRC-055	ASSDP	Intermediate/Business Case ASSDP (1).xlsx	xlsx	ASSDP_FORMAL_CURRICULUM	EXTRACTED	ARTIFACT_TOOL_FULL_RANGE_CHUNK_EXTRACTION	6	6	40392	YES	YES	YES
WD-SRC-056	ASSDP	Intermediate/Form Dealer Review (1).xlsx	xlsx	ASSDP_FORMAL_CURRICULUM	EXTRACTED	ARTIFACT_TOOL_FULL_RANGE_CHUNK_EXTRACTION	22	22	3680067	YES	YES	YES
WD-SRC-057	ASSDP	Intermediate/H1_Studi Kasus ASSDP Intemediate.pptx	pptx	ASSDP_FORMAL_CURRICULUM	EXTRACTED	PDFTOTEXT_OR_OOXML_OR_TEXT_EXTRACTION	43	43	8034	YES	YES	YES
WD-SRC-058	ASSDP	Intermediate/HC3_Workshop CRM (4 Sep 2024) (1).pptx	pptx	ASSDP_FORMAL_CURRICULUM	EXTRACTED	PDFTOTEXT_OR_OOXML_OR_TEXT_EXTRACTION	13	13	13200	YES	YES	YES
WD-SRC-059	ASSDP	Intermediate/Materi Day 1 _ Negotiation and Be a Great Problem Solver_for AHM_ASSDP_AI_2Sept2024.pdf	pdf	ASSDP_FORMAL_CURRICULUM	EXTRACTED	PDFTOTEXT_OR_OOXML_OR_TEXT_EXTRACTION	91	91	16843	YES	YES	YES
WD-SRC-060	ASSDP	Intermediate/Materi Day 2 - ASSDP Intermediate.pdf	pdf	ASSDP_FORMAL_CURRICULUM	EXTRACTED	PDFTOTEXT_OR_OOXML_OR_TEXT_EXTRACTION	121	121	6695	YES	YES	YES
WD-SRC-061	ASSDP	Intermediate/Strategic Winning AT High Through Boosting Brand Awareness.pdf	pdf	OWNER_APPLIED_PROJECT	EXTRACTED	PDFTOTEXT_OR_OOXML_OR_TEXT_EXTRACTION	13	13	12329	YES	YES	YES
WD-SRC-062	DIRECT_UPLOAD	00. Checklist 2026_Before After Comparison (send MD).xlsx	xlsx	NOS_2026_CURRENT	EXTRACTED	ARTIFACT_TOOL_FULL_RANGE_CHUNK_EXTRACTION	7	7	450310	YES	YES	YES
WD-SRC-063	DIRECT_UPLOAD	01. Checklist 2026_Final - BigWing.xlsx	xlsx	NOS_2026_CURRENT	EXTRACTED	ARTIFACT_TOOL_FULL_RANGE_CHUNK_EXTRACTION	8	8	284721	YES	YES	YES
WD-SRC-064	DIRECT_UPLOAD	02. Checklist 2023 Regular H123.xlsx	xlsx	NOS_2023_HISTORICAL	EXTRACTED	ARTIFACT_TOOL_FULL_RANGE_CHUNK_EXTRACTION	8	8	7092796	YES	YES	YES
WD-SRC-065	DIRECT_UPLOAD	02. Checklist 2026_Final - Wing.xlsx	xlsx	NOS_2026_CURRENT	EXTRACTED	ARTIFACT_TOOL_FULL_RANGE_CHUNK_EXTRACTION	8	8	273500	YES	YES	YES
WD-SRC-066	DIRECT_UPLOAD	03. Checklist 2026_Final - Regular H123.xlsx	xlsx	NOS_2026_CURRENT	EXTRACTED	ARTIFACT_TOOL_FULL_RANGE_CHUNK_EXTRACTION	8	8	331853	YES	YES	YES
WD-SRC-067	DIRECT_UPLOAD	04. Checklist 2026_Final - Regular H1.xlsx	xlsx	NOS_2026_CURRENT	EXTRACTED	ARTIFACT_TOOL_FULL_RANGE_CHUNK_EXTRACTION	5	5	182936	YES	YES	YES
WD-SRC-068	DIRECT_UPLOAD	05. Checklist 2026_Final - AHASS H23.xlsx	xlsx	NOS_2026_CURRENT	EXTRACTED	ARTIFACT_TOOL_FULL_RANGE_CHUNK_EXTRACTION	5	5	175772	YES	YES	YES
WD-SRC-069	DIRECT_UPLOAD	06. NOS POS 2026.xlsx	xlsx	NOS_2026_CURRENT	EXTRACTED	ARTIFACT_TOOL_FULL_RANGE_CHUNK_EXTRACTION	4	4	46280	YES	YES	YES
WD-SRC-070	DIRECT_UPLOAD	07. NOS BTL 2026.xlsx	xlsx	NOS_2026_CURRENT	EXTRACTED	ARTIFACT_TOOL_FULL_RANGE_CHUNK_EXTRACTION	2	2	111279	YES	YES	YES
WD-SRC-071	DIRECT_UPLOAD	15. NOS ASSDP.pptx	pptx	NOS_2023_HISTORICAL	EXTRACTED	PDFTOTEXT_OR_OOXML_OR_TEXT_EXTRACTION	16	16	2945496	YES	YES	YES
WD-SRC-072	DIRECT_UPLOAD	Checlist NOS 2026 H1 Premises Dealer.xlsx	xlsx	NOS_2026_CURRENT	EXTRACTED	ARTIFACT_TOOL_FULL_RANGE_CHUNK_EXTRACTION	2	2	113717	YES	YES	YES
WD-SRC-073	DIRECT_UPLOAD	ND Plan & Reshape Review_Sinsen 2026.pptx	pptx	ND_PLAN_RESHAPE_2026	EXTRACTED	PDFTOTEXT_OR_OOXML_OR_TEXT_EXTRACTION	64	64	35000	YES	YES	YES
WD-SRC-074	DIRECT_UPLOAD	Pasted markdown.md	md	CHAT_MEMORY_DISCOVERY	EXTRACTED	PDFTOTEXT_OR_OOXML_OR_TEXT_EXTRACTION	757	1	4500	YES	YES	YES
WD-SRC-075	NOTION	5 Weapon Of Influence 285de854621780b3894bc70ae9edb718.md	md	PRESENTER_OR_OWNER_NOTES	EXTRACTED	PDFTOTEXT_OR_OOXML_OR_TEXT_EXTRACTION	713	1	4500	YES	YES	YES
WD-SRC-076	NOTION	9 Minutes 9 Slides 285de85462178075b929e19d2f415573.md	md	PRESENTER_OR_OWNER_NOTES	EXTRACTED	PDFTOTEXT_OR_OOXML_OR_TEXT_EXTRACTION	284	1	4500	YES	YES	YES
WD-SRC-077	NOTION	AHM efa3ada8accd495faa800193d72c6893.md	md	PRESENTER_OR_OWNER_NOTES	EXTRACTED	PDFTOTEXT_OR_OOXML_OR_TEXT_EXTRACTION	972	1	4500	YES	YES	YES
WD-SRC-078	NOTION	[REDACTED_SECRET_NOTE]	md	SECRET_EXCLUDED	EXCLUDED	POLICY_EXCLUSION	6	0	0	EXCLUDED	N/A_OR_NOT_REQUIRED	NO
WD-SRC-079	NOTION	ASSDP Advance 284de854621780dca204c6ec00b7e3ad.md	md	PRESENTER_OR_OWNER_NOTES	EXTRACTED	PDFTOTEXT_OR_OOXML_OR_TEXT_EXTRACTION	202	1	4500	YES	YES	YES
WD-SRC-080	NOTION	ASSDP Intermediate f2b38f764c394383a08a8b4f912c8174.md	md	PRESENTER_OR_OWNER_NOTES	EXTRACTED	PDFTOTEXT_OR_OOXML_OR_TEXT_EXTRACTION	11	1	4500	YES	YES	YES
WD-SRC-081	NOTION	BWI 285de8546217800cb9f8c38666c11b67.md	md	PRESENTER_OR_OWNER_NOTES	EXTRACTED	PDFTOTEXT_OR_OOXML_OR_TEXT_EXTRACTION	1843	1	4500	YES	YES	YES
WD-SRC-082	NOTION	BWI c68a6699daba4d2bb6ccfff822456f66.md	md	PRESENTER_OR_OWNER_NOTES	EXTRACTED	PDFTOTEXT_OR_OOXML_OR_TEXT_EXTRACTION	1793	1	4500	YES	YES	YES
WD-SRC-083	NOTION	Change Management 286de854621780a4a9acc9ebb345d1db.md	md	PRESENTER_OR_OWNER_NOTES	EXTRACTED	PDFTOTEXT_OR_OOXML_OR_TEXT_EXTRACTION	289	1	4500	YES	YES	YES
WD-SRC-084	NOTION	Data Analytics 19dde8546217807e8f50f06cff3fb851.md	md	PRESENTER_OR_OWNER_NOTES	EXTRACTED	PDFTOTEXT_OR_OOXML_OR_TEXT_EXTRACTION	1837	1	4500	YES	YES	YES
WD-SRC-085	NOTION	Final Project Presentation 108de85462178023b2e5d7eff76fc8da.md	md	PRESENTER_OR_OWNER_NOTES	EXTRACTED	PDFTOTEXT_OR_OOXML_OR_TEXT_EXTRACTION	1741	1	4500	YES	YES	YES
WD-SRC-086	NOTION	Final Project Presentation Breakthrough Strategy & 160de85462178026b9b6dd149983e583.md	md	PRESENTER_OR_OWNER_NOTES	EXTRACTED	PDFTOTEXT_OR_OOXML_OR_TEXT_EXTRACTION	75	1	4500	YES	YES	YES
WD-SRC-087	NOTION	Focus on Your Customer 286de854621780f0bddfe35c65143096.md	md	PRESENTER_OR_OWNER_NOTES	EXTRACTED	PDFTOTEXT_OR_OOXML_OR_TEXT_EXTRACTION	426	1	4500	YES	YES	YES
WD-SRC-088	NOTION	How to Good SPV 284de8546217803e8df1e64c534f4725.md	md	PRESENTER_OR_OWNER_NOTES	EXTRACTED	PDFTOTEXT_OR_OOXML_OR_TEXT_EXTRACTION	794	1	4500	YES	YES	YES
WD-SRC-089	NOTION	Leader as Coach 285de8546217801fb244cc465552a1d9.md	md	PRESENTER_OR_OWNER_NOTES	EXTRACTED	PDFTOTEXT_OR_OOXML_OR_TEXT_EXTRACTION	1021	1	4500	YES	YES	YES
WD-SRC-090	NOTION	Network Assisting Program (NAP) 197de854621780fa8940dc8f8705c324.md	md	PRESENTER_OR_OWNER_NOTES	EXTRACTED	PDFTOTEXT_OR_OOXML_OR_TEXT_EXTRACTION	1	1	4500	YES	YES	YES
WD-SRC-091	NOTION	NHDP 13cde8546217809fbff8fd050c0ada94.md	md	PRESENTER_OR_OWNER_NOTES	EXTRACTED	PDFTOTEXT_OR_OOXML_OR_TEXT_EXTRACTION	561	1	4500	YES	YES	YES
WD-SRC-092	NOTION	NPS 286de854621780b89eadfbf5a9978704.md	md	PRESENTER_OR_OWNER_NOTES	EXTRACTED	PDFTOTEXT_OR_OOXML_OR_TEXT_EXTRACTION	125	1	4500	YES	YES	YES
WD-SRC-093	NOTION	Organizational Development 286de85462178012b249c4e93d559cc2.md	md	PRESENTER_OR_OWNER_NOTES	EXTRACTED	PDFTOTEXT_OR_OOXML_OR_TEXT_EXTRACTION	195	1	4500	YES	YES	YES
WD-SRC-094	NOTION	Power of Moments 286de854621780c28241e5e09a463375.md	md	PRESENTER_OR_OWNER_NOTES	EXTRACTED	PDFTOTEXT_OR_OOXML_OR_TEXT_EXTRACTION	558	1	4500	YES	YES	YES
WD-SRC-095	NOTION	Presentation in Action 285de854621780f58cbdfb02ae67ffb9.md	md	PRESENTER_OR_OWNER_NOTES	EXTRACTED	PDFTOTEXT_OR_OOXML_OR_TEXT_EXTRACTION	655	1	4500	YES	YES	YES
WD-SRC-096	NOTION	Project Dashboard Sales Power BI 1bdde854621780f881a9e60c65836e63.md	md	PRESENTER_OR_OWNER_NOTES	EXTRACTED	PDFTOTEXT_OR_OOXML_OR_TEXT_EXTRACTION	55	1	4500	YES	YES	YES
WD-SRC-097	NOTION	Reshape 317de8546217800a9a63e12937400d72.md	md	PRESENTER_OR_OWNER_NOTES	EXTRACTED	PDFTOTEXT_OR_OOXML_OR_TEXT_EXTRACTION	34	1	4500	YES	YES	YES
WD-SRC-098	NOTION	[REDACTED_SECRET_NOTE]	md	SECRET_EXCLUDED	EXCLUDED	POLICY_EXCLUSION	5	0	0	EXCLUDED	N/A_OR_NOT_REQUIRED	NO
WD-SRC-099	NOTION	Skrip 1ddde854621780fca3fbcc02ace2fba6.md	md	PRESENTER_OR_OWNER_NOTES	EXTRACTED	PDFTOTEXT_OR_OOXML_OR_TEXT_EXTRACTION	330	1	4500	YES	YES	YES
WD-SRC-100	NOTION	Summary 285de8546217802eb416cee1aca3c29f.md	md	PRESENTER_OR_OWNER_NOTES	EXTRACTED	PDFTOTEXT_OR_OOXML_OR_TEXT_EXTRACTION	125	1	4500	YES	YES	YES
WD-SRC-101	NOTION	Test 645ef996a2f144229b5cfed41016c9be.md	md	PRESENTER_OR_OWNER_NOTES	EXTRACTED	PDFTOTEXT_OR_OOXML_OR_TEXT_EXTRACTION	234	1	4500	YES	YES	YES
WD-SRC-102	NOTION	Training c3ad656f8b4e433b9a918ce04183d397.md	md	PRESENTER_OR_OWNER_NOTES	EXTRACTED	PDFTOTEXT_OR_OOXML_OR_TEXT_EXTRACTION	20	1	4500	YES	YES	YES
WD-SRC-103	NOTION	Work 13fde85462178026a231eeb63ec903ca.md	md	PRESENTER_OR_OWNER_NOTES	EXTRACTED	PDFTOTEXT_OR_OOXML_OR_TEXT_EXTRACTION	17	1	4500	YES	YES	YES
WD-SRC-104	NOTION	Working Holiday Visa Aussie 14dde8546217803d994fcc1c0de3cccb.md	md	OUT_OF_SCOPE	EXCLUDED	POLICY_EXCLUSION	1548	0	0	EXCLUDED	N/A_OR_NOT_REQUIRED	NO
WD-SRC-105	NOTION	Workshop 284de854621780baa650e24357902e1c.md	md	PRESENTER_OR_OWNER_NOTES	EXTRACTED	PDFTOTEXT_OR_OOXML_OR_TEXT_EXTRACTION	131	1	4500	YES	YES	YES
WD-SRC-106	NOTION	Wrap up materi assdp 284de854621780f489f6d7baf6f0b5e2.md	md	PRESENTER_OR_OWNER_NOTES	EXTRACTED	PDFTOTEXT_OR_OOXML_OR_TEXT_EXTRACTION	759	1	4500	YES	YES	YES
