priority	source_id	status	source_class	topic_hint	display_path	units_total	authority	next_pass
2	WD-SRC-006	IN_PROGRESS	OWNER_APPLIED_PROJECT	INS | Penetration	Advanced/SINSEN - Egit Aristo Randas- PENETRASI - ASSDP Advance 2026.pdf	20	OWNER_DIRECT_ARTIFACT	COMPLETE_DEEP_REVIEW
2	WD-SRC-007	PENDING	ASSDP_FORMAL_CURRICULUM	Market Share	Advanced/Tabel MS ASSDP.xlsx	1	FORMAL_HONDA_TRAINING	DEEP_READ
2	WD-SRC-011	PENDING	OWNER_APPLIED_PROJECT	TO_CLASSIFY	Basic/Egit Aristo Randas_Implementation Sales People Additional Incentives for Selected Dealer_ASSDP BASIC2023.pdf	18	OWNER_DIRECT_ARTIFACT	DEEP_READ
2	WD-SRC-051	PENDING	OWNER_APPLIED_PROJECT	TO_CLASSIFY	Basic/Project ASSDP Level Basic Tahap 1 by Egit Aristo Randas.pdf	20	OWNER_DIRECT_ARTIFACT	DEEP_READ
2	WD-SRC-061	PENDING	OWNER_APPLIED_PROJECT	AT High	Intermediate/Strategic Winning AT High Through Boosting Brand Awareness.pdf	13	OWNER_DIRECT_ARTIFACT	DEEP_READ
3	WD-SRC-002	IN_PROGRESS	EXTERNAL_EXPERT_CURRICULUM	TO_CLASSIFY	Advanced/Materi Training External/ASSDP Advance for AHM_7^09Okt2025.pdf	152	FORMAL_EXTERNAL_TRAINING	COMPLETE_DEEP_REVIEW
3	WD-SRC-003	IN_PROGRESS	EXTERNAL_EXPERT_CURRICULUM	TO_CLASSIFY	Advanced/Materi Training External/ASSDP Advance Tanadi Santoso Material.pdf	104	FORMAL_EXTERNAL_TRAINING	COMPLETE_DEEP_REVIEW
3	WD-SRC-013	PENDING	BWI_CURRICULUM	Interpersonal	Basic/Materi BWI/1 2 Interpersonal Skill ASSDP Basic.PDF	40	FORMAL_EXTERNAL_TRAINING	DEEP_READ
3	WD-SRC-014	PENDING	BWI_CURRICULUM	Presentation	Basic/Materi BWI/4 Presentation Skill ASSDP Basic.PDF	40	FORMAL_EXTERNAL_TRAINING	DEEP_READ
3	WD-SRC-015	PENDING	BWI_CURRICULUM	TO_CLASSIFY	Basic/Materi BWI/Setting Goal_Time Management_RCA for AHM ASSDP Basic_7Juni2023.pdf	47	FORMAL_EXTERNAL_TRAINING	DEEP_READ
3	WD-SRC-016	PENDING	BWI_CURRICULUM	TO_CLASSIFY	Basic/Materi BWI/TS AHM ASSDP Basic.pdf	137	FORMAL_EXTERNAL_TRAINING	DEEP_READ
3	WD-SRC-053	PENDING	ASSDP_FORMAL_CURRICULUM	TO_CLASSIFY	Intermediate/ASSDP Intemediate 2024 (1).pdf	5	FORMAL_HONDA_TRAINING	DEEP_READ
3	WD-SRC-054	PENDING	ASSDP_FORMAL_CURRICULUM	TO_CLASSIFY	Intermediate/ASSDP INTERMEDIATE CLOSING.pptx	4	FORMAL_HONDA_TRAINING	DEEP_READ
3	WD-SRC-055	PENDING	ASSDP_FORMAL_CURRICULUM	Business Case	Intermediate/Business Case ASSDP (1).xlsx	6	FORMAL_HONDA_TRAINING	DEEP_READ
3	WD-SRC-056	PENDING	ASSDP_FORMAL_CURRICULUM	Dealer Review	Intermediate/Form Dealer Review (1).xlsx	22	FORMAL_HONDA_TRAINING	DEEP_READ
3	WD-SRC-057	PENDING	ASSDP_FORMAL_CURRICULUM	TO_CLASSIFY	Intermediate/H1_Studi Kasus ASSDP Intemediate.pptx	43	FORMAL_HONDA_TRAINING	DEEP_READ
3	WD-SRC-058	PENDING	ASSDP_FORMAL_CURRICULUM	CRM	Intermediate/HC3_Workshop CRM (4 Sep 2024) (1).pptx	13	FORMAL_HONDA_TRAINING	DEEP_READ
3	WD-SRC-059	PENDING	ASSDP_FORMAL_CURRICULUM	Negotiation | Problem Solving	Intermediate/Materi Day 1 _ Negotiation and Be a Great Problem Solver_for AHM_ASSDP_AI_2Sept2024.pdf	91	FORMAL_HONDA_TRAINING	DEEP_READ
3	WD-SRC-060	PENDING	ASSDP_FORMAL_CURRICULUM	TO_CLASSIFY	Intermediate/Materi Day 2 - ASSDP Intermediate.pdf	121	FORMAL_HONDA_TRAINING	DEEP_READ
4	WD-SRC-024	IN_PROGRESS	ASSDP_FORMAL_CURRICULUM	NOS	Basic/Materi Internal/15. NOS ASSDP.pptx	16	FORMAL_HONDA_TRAINING	COMPLETE_DEEP_REVIEW
4	WD-SRC-017	PENDING	ASSDP_FORMAL_CURRICULUM	Channel Management	Basic/Materi Internal/1. ASSDP Channel Management 2023.pptx	27	FORMAL_HONDA_TRAINING	DEEP_READ
4	WD-SRC-018	PENDING	ASSDP_FORMAL_CURRICULUM	Stock	Basic/Materi Internal/10. Sales _ Stock Monitoring per Dealer.pptx	12	FORMAL_HONDA_TRAINING	DEEP_READ
4	WD-SRC-019	PENDING	ASSDP_FORMAL_CURRICULUM	Pricing	Basic/Materi Internal/11. Analisa Pricing _ FID-BA.pptx	16	FORMAL_HONDA_TRAINING	DEEP_READ
4	WD-SRC-020	PENDING	ASSDP_FORMAL_CURRICULUM	PICA	Basic/Materi Internal/12. PICA.pptx	31	FORMAL_HONDA_TRAINING	DEEP_READ
4	WD-SRC-021	PENDING	ASSDP_FORMAL_CURRICULUM	TO_CLASSIFY	Basic/Materi Internal/13. KPI Highlight - ASSDP Jun_23.pptx	16	FORMAL_HONDA_TRAINING	DEEP_READ
4	WD-SRC-022	PENDING	ASSDP_FORMAL_CURRICULUM	MyHero	Basic/Materi Internal/14. My Hero - ASSDP 2023.pptx	17	FORMAL_HONDA_TRAINING	DEEP_READ
4	WD-SRC-023	PENDING	ASSDP_FORMAL_CURRICULUM	INS	Basic/Materi Internal/15. INS ASSDP.pptx	12	FORMAL_HONDA_TRAINING	DEEP_READ
4	WD-SRC-025	PENDING	ASSDP_FORMAL_CURRICULUM	TTM	Basic/Materi Internal/15. TTM ASSDP.pptx	28	FORMAL_HONDA_TRAINING	DEEP_READ
4	WD-SRC-026	PENDING	ASSDP_FORMAL_CURRICULUM	PDCA	Basic/Materi Internal/2. ASSDP Basic - PDCA.pptx	10	FORMAL_HONDA_TRAINING	DEEP_READ
4	WD-SRC-027	PENDING	ASSDP_FORMAL_CURRICULUM	Forecasting | Targeting | Dealer Review | Dealer Review/TTFU	Basic/Materi Internal/3-6. ASSDP Breakdown target, form dealer review _ TTFU, Targetting _ Forecasting dan komposisi DP .pptx	39	FORMAL_HONDA_TRAINING	DEEP_READ
4	WD-SRC-028	PENDING	ASSDP_FORMAL_CURRICULUM	Demand	Basic/Materi Internal/7. Demand Management _ Recovery Rate.pptx	31	FORMAL_HONDA_TRAINING	DEEP_READ
4	WD-SRC-029	PENDING	ASSDP_FORMAL_CURRICULUM	Management Visit	Basic/Materi Internal/8. Management Visit Guidance.pptx	28	FORMAL_HONDA_TRAINING	DEEP_READ
4	WD-SRC-030	PENDING	ASSDP_FORMAL_CURRICULUM	TO_CLASSIFY	Basic/Materi Internal/9. Niguri AHM.pptx	11	FORMAL_HONDA_TRAINING	DEEP_READ
4	WD-SRC-031	PENDING	ASSDP_FORMAL_CURRICULUM	TO_CLASSIFY	Basic/Materi Internal/Materi/AUM 191023.pdf	15	FORMAL_HONDA_TRAINING	DEEP_READ
4	WD-SRC-032	PENDING	ASSDP_FORMAL_CURRICULUM	TO_CLASSIFY	Basic/Materi Internal/Materi/FINAL 19-10-2023 ASSDP MD SHARING.pdf	28	FORMAL_HONDA_TRAINING	DEEP_READ
4	WD-SRC-033	PENDING	ASSDP_FORMAL_CURRICULUM	TO_CLASSIFY	Basic/Materi Internal/Materi/FINAL 19-10-2023 LOL BALI.pdf	16	FORMAL_HONDA_TRAINING	DEEP_READ
4	WD-SRC-034	PENDING	ASSDP_FORMAL_CURRICULUM	SPV Role	Basic/Materi Internal/Materi/FINAL 19-10-2023 SPV AREA SHARING.pdf	13	FORMAL_HONDA_TRAINING	DEEP_READ
4	WD-SRC-035	PENDING	ASSDP_FORMAL_CURRICULUM	Change	Basic/Materi Internal/Materi/Leading Change AHM Harris Seminyak Handout.pdf	55	FORMAL_HONDA_TRAINING	DEEP_READ
4	WD-SRC-036	PENDING	ASSDP_FORMAL_CURRICULUM	Channel Management	Basic/Materi Internal/txt/1. ASSDP Channel Management 2023.txt	309	FORMAL_HONDA_TRAINING	DEEP_READ
4	WD-SRC-037	PENDING	ASSDP_FORMAL_CURRICULUM	Stock	Basic/Materi Internal/txt/10.-Sales-_-Stock-Monitoring-per-Dealer.txt	114	FORMAL_HONDA_TRAINING	DEEP_READ
4	WD-SRC-038	PENDING	ASSDP_FORMAL_CURRICULUM	Pricing	Basic/Materi Internal/txt/11. Analisa Pricing _ FID-BA.txt	231	FORMAL_HONDA_TRAINING	DEEP_READ
4	WD-SRC-039	PENDING	ASSDP_FORMAL_CURRICULUM	PICA	Basic/Materi Internal/txt/12. PICA.txt	468	FORMAL_HONDA_TRAINING	DEEP_READ
4	WD-SRC-040	PENDING	ASSDP_FORMAL_CURRICULUM	TO_CLASSIFY	Basic/Materi Internal/txt/13. KPI Highlight - ASSDP Jun_23.txt	222	FORMAL_HONDA_TRAINING	DEEP_READ
4	WD-SRC-041	PENDING	ASSDP_FORMAL_CURRICULUM	TO_CLASSIFY	Basic/Materi Internal/txt/14.-My-Hero-ASSDP-2023.txt	304	FORMAL_HONDA_TRAINING	DEEP_READ
4	WD-SRC-042	PENDING	ASSDP_FORMAL_CURRICULUM	INS	Basic/Materi Internal/txt/15.-INS-ASSDP.txt	225	FORMAL_HONDA_TRAINING	DEEP_READ
4	WD-SRC-043	PENDING	ASSDP_FORMAL_CURRICULUM	NOS	Basic/Materi Internal/txt/15.-NOS-ASSDP.txt	263	FORMAL_HONDA_TRAINING	DEEP_READ
4	WD-SRC-044	PENDING	ASSDP_FORMAL_CURRICULUM	TTM	Basic/Materi Internal/txt/15.-TTM-ASSDP.txt	349	FORMAL_HONDA_TRAINING	DEEP_READ
4	WD-SRC-045	PENDING	ASSDP_FORMAL_CURRICULUM	PDCA	Basic/Materi Internal/txt/2. ASSDP Basic - PDCA.txt	133	FORMAL_HONDA_TRAINING	DEEP_READ
4	WD-SRC-046	PENDING	ASSDP_FORMAL_CURRICULUM	Forecasting | Targeting | Dealer Review | Dealer Review/TTFU	Basic/Materi Internal/txt/3-6. ASSDP Breakdown target, form dealer review _ TTFU, Targetting _ Forecasting dan komposisi DP .txt	494	FORMAL_HONDA_TRAINING	DEEP_READ
4	WD-SRC-047	PENDING	ASSDP_FORMAL_CURRICULUM	Demand	Basic/Materi Internal/txt/7.-Demand-Management-_-Recovery-Rate.txt	545	FORMAL_HONDA_TRAINING	DEEP_READ
4	WD-SRC-048	PENDING	ASSDP_FORMAL_CURRICULUM	TO_CLASSIFY	Basic/Materi Internal/txt/8.-Management-Visit-Guidance.txt	280	FORMAL_HONDA_TRAINING	DEEP_READ
4	WD-SRC-049	PENDING	ASSDP_FORMAL_CURRICULUM	TO_CLASSIFY	Basic/Materi Internal/txt/9.-Niguri-AHM.txt	111	FORMAL_HONDA_TRAINING	DEEP_READ
4	WD-SRC-050	PENDING	ASSDP_FORMAL_CURRICULUM	TO_CLASSIFY	Basic/Materi Project ASSDP.pptx	101	FORMAL_HONDA_TRAINING	DEEP_READ
5	WD-SRC-075	PENDING	PRESENTER_OR_OWNER_NOTES	TO_CLASSIFY	5 Weapon Of Influence 285de854621780b3894bc70ae9edb718.md	713	SUPPLEMENTARY	DEEP_READ
5	WD-SRC-001	PENDING	ASSDP_PROGRAM_GUIDANCE	TO_CLASSIFY	Advanced/130. Petunjuk Pelaksanaan Final Project Training ASSDP - Advance 2025.pdf	4	FORMAL_TRAINING_GUIDANCE	DEEP_READ
5	WD-SRC-077	PENDING	PRESENTER_OR_OWNER_NOTES	TO_CLASSIFY	AHM efa3ada8accd495faa800193d72c6893.md	972	SUPPLEMENTARY	DEEP_READ
5	WD-SRC-079	PENDING	PRESENTER_OR_OWNER_NOTES	TO_CLASSIFY	ASSDP Advance 284de854621780dca204c6ec00b7e3ad.md	202	SUPPLEMENTARY	DEEP_READ
5	WD-SRC-008	PENDING	ASSDP_PROGRAM_GUIDANCE	TO_CLASSIFY	Basic/40. Petunjuk Pelaksanaan Project Training ASSDP 2023 - Tahap 1.pdf	3	FORMAL_TRAINING_GUIDANCE	DEEP_READ
5	WD-SRC-009	PENDING	ASSDP_PROGRAM_GUIDANCE	Presentation	Basic/88. Petunjuk Pelaksanaan Project Presentation Training ASSDP #U2013 Tahap 2.pdf	3	FORMAL_TRAINING_GUIDANCE	DEEP_READ
5	WD-SRC-010	PENDING	ASSDP_PROGRAM_GUIDANCE	Presentation	Basic/88. Petunjuk Pelaksanaan Project Presentation Training ASSDP - Tahap 2.pdf	3	FORMAL_TRAINING_GUIDANCE	DEEP_READ
5	WD-SRC-012	PENDING	ASSDP_PROGRAM_GUIDANCE	TO_CLASSIFY	Basic/Form penilaian presentasi project ASSDP 2023 - Copy.xlsx	1	FORMAL_TRAINING_GUIDANCE	DEEP_READ
5	WD-SRC-081	PENDING	PRESENTER_OR_OWNER_NOTES	TO_CLASSIFY	BWI 285de8546217800cb9f8c38666c11b67.md	1843	SUPPLEMENTARY	DEEP_READ
5	WD-SRC-082	PENDING	PRESENTER_OR_OWNER_NOTES	TO_CLASSIFY	BWI c68a6699daba4d2bb6ccfff822456f66.md	1793	SUPPLEMENTARY	DEEP_READ
5	WD-SRC-083	PENDING	PRESENTER_OR_OWNER_NOTES	Change	Change Management 286de854621780a4a9acc9ebb345d1db.md	289	SUPPLEMENTARY	DEEP_READ
5	WD-SRC-084	PENDING	PRESENTER_OR_OWNER_NOTES	Data Analytics	Data Analytics 19dde8546217807e8f50f06cff3fb851.md	1837	SUPPLEMENTARY	DEEP_READ
5	WD-SRC-085	PENDING	PRESENTER_OR_OWNER_NOTES	Presentation	Final Project Presentation 108de85462178023b2e5d7eff76fc8da.md	1741	SUPPLEMENTARY	DEEP_READ
5	WD-SRC-086	PENDING	PRESENTER_OR_OWNER_NOTES	Presentation	Final Project Presentation Breakthrough Strategy & 160de85462178026b9b6dd149983e583.md	75	SUPPLEMENTARY	DEEP_READ
5	WD-SRC-087	PENDING	PRESENTER_OR_OWNER_NOTES	Customer	Focus on Your Customer 286de854621780f0bddfe35c65143096.md	426	SUPPLEMENTARY	DEEP_READ
5	WD-SRC-088	PENDING	PRESENTER_OR_OWNER_NOTES	SPV Role	How to Good SPV 284de8546217803e8df1e64c534f4725.md	794	SUPPLEMENTARY	DEEP_READ
5	WD-SRC-052	PENDING	ASSDP_PROGRAM_GUIDANCE	TO_CLASSIFY	Intermediate/118. Petunjuk Pelaksanaan Final Project Training ASSDP Intermediate (1).pdf	2	FORMAL_TRAINING_GUIDANCE	DEEP_READ
5	WD-SRC-089	PENDING	PRESENTER_OR_OWNER_NOTES	Coaching	Leader as Coach 285de8546217801fb244cc465552a1d9.md	1021	SUPPLEMENTARY	DEEP_READ
5	WD-SRC-093	PENDING	PRESENTER_OR_OWNER_NOTES	Org Development	Organizational Development 286de85462178012b249c4e93d559cc2.md	195	SUPPLEMENTARY	DEEP_READ
5	WD-SRC-094	PENDING	PRESENTER_OR_OWNER_NOTES	Customer Experience	Power of Moments 286de854621780c28241e5e09a463375.md	558	SUPPLEMENTARY	DEEP_READ
5	WD-SRC-095	PENDING	PRESENTER_OR_OWNER_NOTES	Presentation	Presentation in Action 285de854621780f58cbdfb02ae67ffb9.md	655	SUPPLEMENTARY	DEEP_READ
5	WD-SRC-097	PENDING	PRESENTER_OR_OWNER_NOTES	Reshape	Reshape 317de8546217800a9a63e12937400d72.md	34	SUPPLEMENTARY	DEEP_READ
5	WD-SRC-106	PENDING	PRESENTER_OR_OWNER_NOTES	TO_CLASSIFY	Wrap up materi assdp 284de854621780f489f6d7baf6f0b5e2.md	759	SUPPLEMENTARY	DEEP_READ
6	WD-SRC-071	IN_PROGRESS	NOS_2023_HISTORICAL	NOS	15. NOS ASSDP.pptx	16	HISTORICAL_OFFICIAL_REFERENCE	COMPLETE_DEEP_REVIEW
6	WD-SRC-064	PENDING	NOS_2023_HISTORICAL	TO_CLASSIFY	02. Checklist 2023 Regular H123.xlsx	8	HISTORICAL_OFFICIAL_REFERENCE	DEEP_READ
6	WD-SRC-076	PENDING	PRESENTER_OR_OWNER_NOTES	TO_CLASSIFY	9 Minutes 9 Slides 285de85462178075b929e19d2f415573.md	284	SUPPLEMENTARY	DEEP_READ
6	WD-SRC-080	PENDING	PRESENTER_OR_OWNER_NOTES	TO_CLASSIFY	ASSDP Intermediate f2b38f764c394383a08a8b4f912c8174.md	11	SUPPLEMENTARY	DEEP_READ
6	WD-SRC-090	PENDING	PRESENTER_OR_OWNER_NOTES	TO_CLASSIFY	Network Assisting Program (NAP) 197de854621780fa8940dc8f8705c324.md	1	SUPPLEMENTARY	DEEP_READ
6	WD-SRC-091	PENDING	PRESENTER_OR_OWNER_NOTES	TO_CLASSIFY	NHDP 13cde8546217809fbff8fd050c0ada94.md	561	SUPPLEMENTARY	DEEP_READ
6	WD-SRC-092	PENDING	PRESENTER_OR_OWNER_NOTES	NPS	NPS 286de854621780b89eadfbf5a9978704.md	125	SUPPLEMENTARY	DEEP_READ
6	WD-SRC-096	PENDING	PRESENTER_OR_OWNER_NOTES	Power BI	Project Dashboard Sales Power BI 1bdde854621780f881a9e60c65836e63.md	55	SUPPLEMENTARY	DEEP_READ
6	WD-SRC-099	PENDING	PRESENTER_OR_OWNER_NOTES	TO_CLASSIFY	Skrip 1ddde854621780fca3fbcc02ace2fba6.md	330	SUPPLEMENTARY	DEEP_READ
6	WD-SRC-100	PENDING	PRESENTER_OR_OWNER_NOTES	TO_CLASSIFY	Summary 285de8546217802eb416cee1aca3c29f.md	125	SUPPLEMENTARY	DEEP_READ
6	WD-SRC-101	PENDING	PRESENTER_OR_OWNER_NOTES	TO_CLASSIFY	Test 645ef996a2f144229b5cfed41016c9be.md	234	SUPPLEMENTARY	DEEP_READ
6	WD-SRC-102	PENDING	PRESENTER_OR_OWNER_NOTES	TO_CLASSIFY	Training c3ad656f8b4e433b9a918ce04183d397.md	20	SUPPLEMENTARY	DEEP_READ
6	WD-SRC-103	PENDING	PRESENTER_OR_OWNER_NOTES	TO_CLASSIFY	Work 13fde85462178026a231eeb63ec903ca.md	17	SUPPLEMENTARY	DEEP_READ
6	WD-SRC-105	PENDING	PRESENTER_OR_OWNER_NOTES	TO_CLASSIFY	Workshop 284de854621780baa650e24357902e1c.md	131	SUPPLEMENTARY	DEEP_READ
8	WD-SRC-074	PENDING	CHAT_MEMORY_DISCOVERY	TO_CLASSIFY	Pasted markdown.md	757	DISCOVERY_ONLY	DEEP_READ
99	WD-SRC-078	EXCLUDED	SECRET_EXCLUDED	TO_CLASSIFY	[REDACTED_SECRET_NOTE]	6	FORBIDDEN	NONE
99	WD-SRC-098	EXCLUDED	SECRET_EXCLUDED	TO_CLASSIFY	[REDACTED_SECRET_NOTE]	5	FORBIDDEN	NONE
99	WD-SRC-104	EXCLUDED	OUT_OF_SCOPE	TO_CLASSIFY	Working Holiday Visa Aussie 14dde8546217803d994fcc1c0de3cccb.md	1548	NONE	NONE
