source_id	corpus	source_class	display_path	indexed	unit_counted	text_or_structure_extracted	deep_semantic_review	visual_review	cross_validated	distilled_to_wiki	provenance_linked	comprehension_tested	status
WD-SRC-013	ASSDP	BWI_CURRICULUM	Basic/Materi BWI/1 2 Interpersonal Skill ASSDP Basic.PDF	YES	40	YES	YES	YES	YES	YES	YES	NO	FULLY_REVIEWED
WD-SRC-014	ASSDP	BWI_CURRICULUM	Basic/Materi BWI/4 Presentation Skill ASSDP Basic.PDF	YES	40	YES	YES	YES	YES	YES	YES	NO	FULLY_REVIEWED
WD-SRC-015	ASSDP	BWI_CURRICULUM	Basic/Materi BWI/Setting Goal_Time Management_RCA for AHM ASSDP Basic_7Juni2023.pdf	YES	47	YES	YES	YES	YES	YES	YES	NO	FULLY_REVIEWED
WD-SRC-016	ASSDP	BWI_CURRICULUM	Basic/Materi BWI/TS AHM ASSDP Basic.pdf	YES	137	YES	YES	YES	YES	YES	YES	NO	FULLY_REVIEWED
WD-SRC-017	ASSDP	ASSDP_FORMAL_CURRICULUM	Basic/Materi Internal/1. ASSDP Channel Management 2023.pptx	YES	27	YES	YES	YES	YES	YES	YES	NO	FULLY_REVIEWED
WD-SRC-018	ASSDP	ASSDP_FORMAL_CURRICULUM	Basic/Materi Internal/10. Sales _ Stock Monitoring per Dealer.pptx	YES	12	YES	YES	YES	YES	YES	YES	NO	FULLY_REVIEWED
WD-SRC-019	ASSDP	ASSDP_FORMAL_CURRICULUM	Basic/Materi Internal/11. Analisa Pricing _ FID-BA.pptx	YES	16	YES	YES	YES	YES	YES	YES	NO	FULLY_REVIEWED
WD-SRC-020	ASSDP	ASSDP_FORMAL_CURRICULUM	Basic/Materi Internal/12. PICA.pptx	YES	31	YES	YES	YES	YES	YES	YES	NO	FULLY_REVIEWED
WD-SRC-021	ASSDP	ASSDP_FORMAL_CURRICULUM	Basic/Materi Internal/13. KPI Highlight - ASSDP Jun_23.pptx	YES	16	YES	YES	YES	YES	YES	YES	NO	FULLY_REVIEWED
WD-SRC-022	ASSDP	ASSDP_FORMAL_CURRICULUM	Basic/Materi Internal/14. My Hero - ASSDP 2023.pptx	YES	17	YES	YES	YES	YES	YES	YES	NO	FULLY_REVIEWED
WD-SRC-023	ASSDP	ASSDP_FORMAL_CURRICULUM	Basic/Materi Internal/15. INS ASSDP.pptx	YES	12	YES	YES	YES	YES	YES	YES	NO	FULLY_REVIEWED
WD-SRC-024	ASSDP	ASSDP_FORMAL_CURRICULUM	Basic/Materi Internal/15. NOS ASSDP.pptx	YES	16	YES	YES	YES	YES	YES	YES	NO	FULLY_REVIEWED
WD-SRC-025	ASSDP	ASSDP_FORMAL_CURRICULUM	Basic/Materi Internal/15. TTM ASSDP.pptx	YES	28	YES	YES	YES	YES	YES	YES	NO	FULLY_REVIEWED
WD-SRC-026	ASSDP	ASSDP_FORMAL_CURRICULUM	Basic/Materi Internal/2. ASSDP Basic - PDCA.pptx	YES	10	YES	YES	YES	YES	YES	YES	NO	FULLY_REVIEWED
WD-SRC-027	ASSDP	ASSDP_FORMAL_CURRICULUM	Basic/Materi Internal/3-6. ASSDP Breakdown target, form dealer review _ TTFU, Targetting _ Forecasting dan komposisi DP .pptx	YES	39	YES	YES	YES	YES	YES	YES	NO	FULLY_REVIEWED
WD-SRC-028	ASSDP	ASSDP_FORMAL_CURRICULUM	Basic/Materi Internal/7. Demand Management _ Recovery Rate.pptx	YES	31	YES	YES	YES	YES	YES	YES	NO	FULLY_REVIEWED
WD-SRC-029	ASSDP	ASSDP_FORMAL_CURRICULUM	Basic/Materi Internal/8. Management Visit Guidance.pptx	YES	28	YES	YES	YES	YES	YES	YES	NO	FULLY_REVIEWED
WD-SRC-030	ASSDP	ASSDP_FORMAL_CURRICULUM	Basic/Materi Internal/9. Niguri AHM.pptx	YES	11	YES	YES	YES	YES	YES	YES	NO	FULLY_REVIEWED
WD-SRC-031	ASSDP	ASSDP_FORMAL_CURRICULUM	Basic/Materi Internal/Materi/AUM 191023.pdf	YES	15	YES	YES	YES	YES	YES	YES	NO	FULLY_REVIEWED
WD-SRC-032	ASSDP	ASSDP_FORMAL_CURRICULUM	Basic/Materi Internal/Materi/FINAL 19-10-2023 ASSDP MD SHARING.pdf	YES	28	YES	YES	YES	YES	YES	YES	NO	FULLY_REVIEWED
WD-SRC-033	ASSDP	ASSDP_FORMAL_CURRICULUM	Basic/Materi Internal/Materi/FINAL 19-10-2023 LOL BALI.pdf	YES	16	YES	YES	YES	YES	YES	YES	NO	FULLY_REVIEWED
WD-SRC-034	ASSDP	ASSDP_FORMAL_CURRICULUM	Basic/Materi Internal/Materi/FINAL 19-10-2023 SPV AREA SHARING.pdf	YES	13	YES	YES	YES	YES	YES	YES	NO	FULLY_REVIEWED
WD-SRC-035	ASSDP	ASSDP_FORMAL_CURRICULUM	Basic/Materi Internal/Materi/Leading Change AHM Harris Seminyak Handout.pdf	YES	55	YES	YES	YES	YES	YES	YES	NO	FULLY_REVIEWED
WD-SRC-036	ASSDP	ASSDP_FORMAL_CURRICULUM	Basic/Materi Internal/txt/1. ASSDP Channel Management 2023.txt	YES	1	YES	YES	YES	YES	YES	YES	NO	FULLY_REVIEWED
WD-SRC-037	ASSDP	ASSDP_FORMAL_CURRICULUM	Basic/Materi Internal/txt/10.-Sales-_-Stock-Monitoring-per-Dealer.txt	YES	1	YES	YES	YES	YES	YES	YES	NO	FULLY_REVIEWED
WD-SRC-038	ASSDP	ASSDP_FORMAL_CURRICULUM	Basic/Materi Internal/txt/11. Analisa Pricing _ FID-BA.txt	YES	1	YES	YES	YES	YES	YES	YES	NO	FULLY_REVIEWED
WD-SRC-039	ASSDP	ASSDP_FORMAL_CURRICULUM	Basic/Materi Internal/txt/12. PICA.txt	YES	1	YES	YES	YES	YES	YES	YES	NO	FULLY_REVIEWED
WD-SRC-040	ASSDP	ASSDP_FORMAL_CURRICULUM	Basic/Materi Internal/txt/13. KPI Highlight - ASSDP Jun_23.txt	YES	1	YES	YES	YES	YES	YES	YES	NO	FULLY_REVIEWED
WD-SRC-041	ASSDP	ASSDP_FORMAL_CURRICULUM	Basic/Materi Internal/txt/14.-My-Hero-ASSDP-2023.txt	YES	1	YES	YES	YES	YES	YES	YES	NO	FULLY_REVIEWED
WD-SRC-042	ASSDP	ASSDP_FORMAL_CURRICULUM	Basic/Materi Internal/txt/15.-INS-ASSDP.txt	YES	1	YES	YES	YES	YES	YES	YES	NO	FULLY_REVIEWED
WD-SRC-043	ASSDP	ASSDP_FORMAL_CURRICULUM	Basic/Materi Internal/txt/15.-NOS-ASSDP.txt	YES	1	YES	YES	YES	YES	YES	YES	NO	FULLY_REVIEWED
WD-SRC-044	ASSDP	ASSDP_FORMAL_CURRICULUM	Basic/Materi Internal/txt/15.-TTM-ASSDP.txt	YES	1	YES	YES	YES	YES	YES	YES	NO	FULLY_REVIEWED
WD-SRC-045	ASSDP	ASSDP_FORMAL_CURRICULUM	Basic/Materi Internal/txt/2. ASSDP Basic - PDCA.txt	YES	1	YES	YES	YES	YES	YES	YES	NO	FULLY_REVIEWED
WD-SRC-046	ASSDP	ASSDP_FORMAL_CURRICULUM	Basic/Materi Internal/txt/3-6. ASSDP Breakdown target, form dealer review _ TTFU, Targetting _ Forecasting dan komposisi DP .txt	YES	1	YES	YES	YES	YES	YES	YES	NO	FULLY_REVIEWED
WD-SRC-047	ASSDP	ASSDP_FORMAL_CURRICULUM	Basic/Materi Internal/txt/7.-Demand-Management-_-Recovery-Rate.txt	YES	1	YES	YES	YES	YES	YES	YES	NO	FULLY_REVIEWED
WD-SRC-048	ASSDP	ASSDP_FORMAL_CURRICULUM	Basic/Materi Internal/txt/8.-Management-Visit-Guidance.txt	YES	1	YES	YES	YES	YES	YES	YES	NO	FULLY_REVIEWED
WD-SRC-049	ASSDP	ASSDP_FORMAL_CURRICULUM	Basic/Materi Internal/txt/9.-Niguri-AHM.txt	YES	1	YES	YES	YES	YES	YES	YES	NO	FULLY_REVIEWED
WD-SRC-050	ASSDP	ASSDP_FORMAL_CURRICULUM	Basic/Materi Project ASSDP.pptx	YES	101	YES	YES	YES	YES	YES	YES	NO	FULLY_REVIEWED
WD-SRC-051	ASSDP	OWNER_APPLIED_PROJECT	Basic/Project ASSDP Level Basic Tahap 1 by Egit Aristo Randas.pdf	YES	20	YES	YES	YES	YES	YES	YES	NO	FULLY_REVIEWED
WD-SRC-052	ASSDP	ASSDP_PROGRAM_GUIDANCE	Intermediate/118. Petunjuk Pelaksanaan Final Project Training ASSDP Intermediate (1).pdf	YES	2	YES	YES	YES	YES	YES	YES	NO	FULLY_REVIEWED
WD-SRC-053	ASSDP	ASSDP_FORMAL_CURRICULUM	Intermediate/ASSDP Intemediate 2024 (1).pdf	YES	5	YES	YES	YES	YES	YES	YES	NO	FULLY_REVIEWED
WD-SRC-054	ASSDP	ASSDP_FORMAL_CURRICULUM	Intermediate/ASSDP INTERMEDIATE CLOSING.pptx	YES	4	YES	YES	YES	YES	YES	YES	NO	FULLY_REVIEWED
WD-SRC-055	ASSDP	ASSDP_FORMAL_CURRICULUM	Intermediate/Business Case ASSDP (1).xlsx	YES	6	YES	YES	YES	YES	YES	YES	NO	FULLY_REVIEWED
WD-SRC-056	ASSDP	ASSDP_FORMAL_CURRICULUM	Intermediate/Form Dealer Review (1).xlsx	YES	22	YES	YES	YES	YES	YES	YES	NO	FULLY_REVIEWED
WD-SRC-057	ASSDP	ASSDP_FORMAL_CURRICULUM	Intermediate/H1_Studi Kasus ASSDP Intemediate.pptx	YES	43	YES	YES	YES	YES	YES	YES	NO	FULLY_REVIEWED
WD-SRC-058	ASSDP	ASSDP_FORMAL_CURRICULUM	Intermediate/HC3_Workshop CRM (4 Sep 2024) (1).pptx	YES	13	YES	YES	YES	YES	YES	YES	NO	FULLY_REVIEWED
WD-SRC-059	ASSDP	ASSDP_FORMAL_CURRICULUM	Intermediate/Materi Day 1 _ Negotiation and Be a Great Problem Solver_for AHM_ASSDP_AI_2Sept2024.pdf	YES	91	YES	YES	YES	YES	YES	YES	NO	FULLY_REVIEWED
WD-SRC-060	ASSDP	ASSDP_FORMAL_CURRICULUM	Intermediate/Materi Day 2 - ASSDP Intermediate.pdf	YES	121	YES	YES	YES	YES	YES	YES	NO	FULLY_REVIEWED
WD-SRC-061	ASSDP	OWNER_APPLIED_PROJECT	Intermediate/Strategic Winning AT High Through Boosting Brand Awareness.pdf	YES	13	YES	YES	YES	YES	YES	YES	NO	FULLY_REVIEWED
WD-SRC-062	DIRECT_UPLOAD	NOS_2026_CURRENT	00. Checklist 2026_Before After Comparison (send MD).xlsx	YES	7	YES	YES	YES	YES	YES	YES	NO	FULLY_REVIEWED
WD-SRC-063	DIRECT_UPLOAD	NOS_2026_CURRENT	01. Checklist 2026_Final - BigWing.xlsx	YES	8	YES	YES	YES	YES	YES	YES	NO	FULLY_REVIEWED
WD-SRC-064	DIRECT_UPLOAD	NOS_2023_HISTORICAL	02. Checklist 2023 Regular H123.xlsx	YES	8	YES	YES	YES	YES	YES	YES	NO	FULLY_REVIEWED
WD-SRC-065	DIRECT_UPLOAD	NOS_2026_CURRENT	02. Checklist 2026_Final - Wing.xlsx	YES	8	YES	YES	YES	YES	YES	YES	NO	FULLY_REVIEWED
WD-SRC-066	DIRECT_UPLOAD	NOS_2026_CURRENT	03. Checklist 2026_Final - Regular H123.xlsx	YES	8	YES	YES	YES	YES	YES	YES	NO	FULLY_REVIEWED
WD-SRC-067	DIRECT_UPLOAD	NOS_2026_CURRENT	04. Checklist 2026_Final - Regular H1.xlsx	YES	5	YES	YES	YES	YES	YES	YES	NO	FULLY_REVIEWED
WD-SRC-068	DIRECT_UPLOAD	NOS_2026_CURRENT	05. Checklist 2026_Final - AHASS H23.xlsx	YES	5	YES	YES	YES	YES	YES	YES	NO	FULLY_REVIEWED
WD-SRC-069	DIRECT_UPLOAD	NOS_2026_CURRENT	06. NOS POS 2026.xlsx	YES	4	YES	YES	YES	YES	YES	YES	NO	FULLY_REVIEWED
WD-SRC-070	DIRECT_UPLOAD	NOS_2026_CURRENT	07. NOS BTL 2026.xlsx	YES	2	YES	YES	YES	YES	YES	YES	NO	FULLY_REVIEWED
WD-SRC-071	DIRECT_UPLOAD	NOS_2023_HISTORICAL	15. NOS ASSDP.pptx	YES	16	YES	YES	YES	YES	YES	YES	NO	FULLY_REVIEWED
WD-SRC-072	DIRECT_UPLOAD	NOS_2026_CURRENT	Checlist NOS 2026 H1 Premises Dealer.xlsx	YES	2	YES	YES	YES	YES	YES	YES	NO	FULLY_REVIEWED
WD-SRC-073	DIRECT_UPLOAD	ND_PLAN_RESHAPE_2026	ND Plan & Reshape Review_Sinsen 2026.pptx	YES	64	YES	YES	YES	YES	YES	YES	NO	FULLY_REVIEWED
WD-SRC-074	DIRECT_UPLOAD	CHAT_MEMORY_DISCOVERY	Pasted markdown.md	YES	1	YES	YES	YES	YES	YES	YES	NO	FULLY_REVIEWED
WD-SRC-075	NOTION	PRESENTER_OR_OWNER_NOTES	5 Weapon Of Influence 285de854621780b3894bc70ae9edb718.md	YES	1	YES	YES	YES	YES	YES	YES	NO	FULLY_REVIEWED
WD-SRC-076	NOTION	PRESENTER_OR_OWNER_NOTES	9 Minutes 9 Slides 285de85462178075b929e19d2f415573.md	YES	1	YES	YES	YES	YES	YES	YES	NO	FULLY_REVIEWED
WD-SRC-077	NOTION	PRESENTER_OR_OWNER_NOTES	AHM efa3ada8accd495faa800193d72c6893.md	YES	1	YES	YES	YES	YES	YES	YES	NO	FULLY_REVIEWED
WD-SRC-078	NOTION	SECRET_EXCLUDED	[REDACTED_SECRET_NOTE]	YES	YES	N/A	N/A	N/A	N/A	N/A	N/A	N/A	EXCLUDED
WD-SRC-079	NOTION	PRESENTER_OR_OWNER_NOTES	ASSDP Advance 284de854621780dca204c6ec00b7e3ad.md	YES	1	YES	YES	YES	YES	YES	YES	NO	FULLY_REVIEWED
WD-SRC-080	NOTION	PRESENTER_OR_OWNER_NOTES	ASSDP Intermediate f2b38f764c394383a08a8b4f912c8174.md	YES	1	YES	YES	YES	YES	YES	YES	NO	FULLY_REVIEWED
WD-SRC-081	NOTION	PRESENTER_OR_OWNER_NOTES	BWI 285de8546217800cb9f8c38666c11b67.md	YES	1	YES	YES	YES	YES	YES	YES	NO	FULLY_REVIEWED
WD-SRC-082	NOTION	PRESENTER_OR_OWNER_NOTES	BWI c68a6699daba4d2bb6ccfff822456f66.md	YES	1	YES	YES	YES	YES	YES	YES	NO	FULLY_REVIEWED
WD-SRC-083	NOTION	PRESENTER_OR_OWNER_NOTES	Change Management 286de854621780a4a9acc9ebb345d1db.md	YES	1	YES	YES	YES	YES	YES	YES	NO	FULLY_REVIEWED
WD-SRC-084	NOTION	PRESENTER_OR_OWNER_NOTES	Data Analytics 19dde8546217807e8f50f06cff3fb851.md	YES	1	YES	YES	YES	YES	YES	YES	NO	FULLY_REVIEWED
WD-SRC-085	NOTION	PRESENTER_OR_OWNER_NOTES	Final Project Presentation 108de85462178023b2e5d7eff76fc8da.md	YES	1	YES	YES	YES	YES	YES	YES	NO	FULLY_REVIEWED
WD-SRC-086	NOTION	PRESENTER_OR_OWNER_NOTES	Final Project Presentation Breakthrough Strategy & 160de85462178026b9b6dd149983e583.md	YES	1	YES	YES	YES	YES	YES	YES	NO	FULLY_REVIEWED
WD-SRC-087	NOTION	PRESENTER_OR_OWNER_NOTES	Focus on Your Customer 286de854621780f0bddfe35c65143096.md	YES	1	YES	YES	YES	YES	YES	YES	NO	FULLY_REVIEWED
WD-SRC-088	NOTION	PRESENTER_OR_OWNER_NOTES	How to Good SPV 284de8546217803e8df1e64c534f4725.md	YES	1	YES	YES	YES	YES	YES	YES	NO	FULLY_REVIEWED
WD-SRC-089	NOTION	PRESENTER_OR_OWNER_NOTES	Leader as Coach 285de8546217801fb244cc465552a1d9.md	YES	1	YES	YES	YES	YES	YES	YES	NO	FULLY_REVIEWED
WD-SRC-090	NOTION	PRESENTER_OR_OWNER_NOTES	Network Assisting Program (NAP) 197de854621780fa8940dc8f8705c324.md	YES	1	YES	YES	YES	YES	YES	YES	NO	FULLY_REVIEWED
WD-SRC-091	NOTION	PRESENTER_OR_OWNER_NOTES	NHDP 13cde8546217809fbff8fd050c0ada94.md	YES	1	YES	YES	YES	YES	YES	YES	NO	FULLY_REVIEWED
WD-SRC-092	NOTION	PRESENTER_OR_OWNER_NOTES	NPS 286de854621780b89eadfbf5a9978704.md	YES	1	YES	YES	YES	YES	YES	YES	NO	FULLY_REVIEWED
WD-SRC-093	NOTION	PRESENTER_OR_OWNER_NOTES	Organizational Development 286de85462178012b249c4e93d559cc2.md	YES	1	YES	YES	YES	YES	YES	YES	NO	FULLY_REVIEWED
WD-SRC-094	NOTION	PRESENTER_OR_OWNER_NOTES	Power of Moments 286de854621780c28241e5e09a463375.md	YES	1	YES	YES	YES	YES	YES	YES	NO	FULLY_REVIEWED
WD-SRC-095	NOTION	PRESENTER_OR_OWNER_NOTES	Presentation in Action 285de854621780f58cbdfb02ae67ffb9.md	YES	1	YES	YES	YES	YES	YES	YES	NO	FULLY_REVIEWED
WD-SRC-096	NOTION	PRESENTER_OR_OWNER_NOTES	Project Dashboard Sales Power BI 1bdde854621780f881a9e60c65836e63.md	YES	1	YES	YES	YES	YES	YES	YES	NO	FULLY_REVIEWED
WD-SRC-097	NOTION	PRESENTER_OR_OWNER_NOTES	Reshape 317de8546217800a9a63e12937400d72.md	YES	1	YES	YES	YES	YES	YES	YES	NO	FULLY_REVIEWED
WD-SRC-098	NOTION	SECRET_EXCLUDED	[REDACTED_SECRET_NOTE]	YES	YES	N/A	N/A	N/A	N/A	N/A	N/A	N/A	EXCLUDED
WD-SRC-099	NOTION	PRESENTER_OR_OWNER_NOTES	Skrip 1ddde854621780fca3fbcc02ace2fba6.md	YES	1	YES	YES	YES	YES	YES	YES	NO	FULLY_REVIEWED
WD-SRC-100	NOTION	PRESENTER_OR_OWNER_NOTES	Summary 285de8546217802eb416cee1aca3c29f.md	YES	1	YES	YES	YES	YES	YES	YES	NO	FULLY_REVIEWED
WD-SRC-101	NOTION	PRESENTER_OR_OWNER_NOTES	Test 645ef996a2f144229b5cfed41016c9be.md	YES	1	YES	YES	YES	YES	YES	YES	NO	FULLY_REVIEWED
WD-SRC-102	NOTION	PRESENTER_OR_OWNER_NOTES	Training c3ad656f8b4e433b9a918ce04183d397.md	YES	1	YES	YES	YES	YES	YES	YES	NO	FULLY_REVIEWED
WD-SRC-103	NOTION	PRESENTER_OR_OWNER_NOTES	Work 13fde85462178026a231eeb63ec903ca.md	YES	1	YES	YES	YES	YES	YES	YES	NO	FULLY_REVIEWED
WD-SRC-104	NOTION	OUT_OF_SCOPE	Working Holiday Visa Aussie 14dde8546217803d994fcc1c0de3cccb.md	YES	YES	N/A	N/A	N/A	N/A	N/A	N/A	N/A	EXCLUDED
WD-SRC-105	NOTION	PRESENTER_OR_OWNER_NOTES	Workshop 284de854621780baa650e24357902e1c.md	YES	1	YES	YES	YES	YES	YES	YES	NO	FULLY_REVIEWED
WD-SRC-106	NOTION	PRESENTER_OR_OWNER_NOTES	Wrap up materi assdp 284de854621780f489f6d7baf6f0b5e2.md	YES	1	YES	YES	YES	YES	YES	YES	NO	FULLY_REVIEWED
WD-SRC-107	MARKET	OFFICIAL_MARKET_REPORT	AIRO_HANDOFF/00_DROP/SINSEN_EVALPOLREG+MSPERKAB_DEC 2025.xlsx	YES	5133	YES	YES	NO	YES	YES	YES	YES	PARTIALLY_REVIEWED
WD-SRC-108	MARKET	OFFICIAL_MARKET_REPORT	AIRO_HANDOFF/00_DROP/POLREG PER KECAMATAN PER KELURAHAN PER SEGMENT 2025.xlsx	YES	55684	YES	YES	NO	YES	YES	YES	YES	PARTIALLY_REVIEWED
