source_id	corpus	source_role	original_source_id	source_class	authority	source_file	searchable_folder	display_path	extension	manifest_sha256	actual_sha256	identity_match	manifest_units_type	manifest_units_total	actual_units_type	actual_units_total	unit_count_match	sheet_names	access_state	resolution_method	duplicate_group	mirror_relationship	storage_class	public_provenance_safe	historical_semantic_review	reconstruction_stage0	reconstruction_stage1	reconstruction_stage2	blocker	notes
WD-SRC-011	ASSDP	ORIGINAL_SEMANTIC_SOURCE		OWNER_APPLIED_PROJECT	OWNER_DIRECT_ARTIFACT	Egit Aristo Randas_Implementation Sales People Additional Incentives for Selected Dealer_ASSDP BASIC2023.pdf	Basic	Basic/Egit Aristo Randas_Implementation Sales People Additional Incentives for Selected Dealer_ASSDP BASIC2023.pdf	pdf	1c78d5fc69644a6a4e2210cfcdef05b420715d565cad726f01800f8eb8988585	1c78d5fc69644a6a4e2210cfcdef05b420715d565cad726f01800f8eb8988585	EXACT_HASH_MATCH	pages	18	pages	18	YES		VERIFIED_ACCESSIBLE	MANIFEST_METADATA_VERIFIED			PUBLIC_SAFE_METADATA	YES	NOT_YET	VERIFIED	NOT_STARTED	NOT_STARTED		Verified from canonical manifest and evidence inventory.
WD-SRC-012	ASSDP	ORIGINAL_SEMANTIC_SOURCE		ASSDP_PROGRAM_GUIDANCE	FORMAL_TRAINING_GUIDANCE	Form penilaian presentasi project ASSDP 2023 - Copy.xlsx	Basic	Basic/Form penilaian presentasi project ASSDP 2023 - Copy.xlsx	xlsx	7a890a884a326f9e38d96ead1ed7d8b13811cdff274b865ddae89de78f2895cd	7a890a884a326f9e38d96ead1ed7d8b13811cdff274b865ddae89de78f2895cd	EXACT_HASH_MATCH	sheets	1	sheets	1	YES	Sheet1	VERIFIED_ACCESSIBLE	MANIFEST_METADATA_VERIFIED			PUBLIC_SAFE_METADATA	YES	NOT_YET	VERIFIED	NOT_STARTED	NOT_STARTED		Verified from canonical manifest and evidence inventory.
WD-SRC-013	ASSDP	ORIGINAL_SEMANTIC_SOURCE		BWI_CURRICULUM	FORMAL_EXTERNAL_TRAINING	1 2 Interpersonal Skill ASSDP Basic.PDF	Basic/Materi BWI	Basic/Materi BWI/1 2 Interpersonal Skill ASSDP Basic.PDF	pdf	6ab34629283cc0778290d4907a108576072f9d0eba45443ab83e0d95e4a2ca22	6ab34629283cc0778290d4907a108576072f9d0eba45443ab83e0d95e4a2ca22	EXACT_HASH_MATCH	pages	40	pages	40	YES		VERIFIED_ACCESSIBLE	MANIFEST_METADATA_VERIFIED			PUBLIC_SAFE_METADATA	YES	PARTIAL_SUBSTANTIVE	VERIFIED	NOT_STARTED	NOT_STARTED		Verified from canonical manifest and evidence inventory.
WD-SRC-014	ASSDP	ORIGINAL_SEMANTIC_SOURCE		BWI_CURRICULUM	FORMAL_EXTERNAL_TRAINING	4 Presentation Skill ASSDP Basic.PDF	Basic/Materi BWI	Basic/Materi BWI/4 Presentation Skill ASSDP Basic.PDF	pdf	10639600cb873863bd53de16b3aefad42f10d51ed65f5d91f698fbe4b187986b	10639600cb873863bd53de16b3aefad42f10d51ed65f5d91f698fbe4b187986b	EXACT_HASH_MATCH	pages	40	pages	40	YES		VERIFIED_ACCESSIBLE	MANIFEST_METADATA_VERIFIED			PUBLIC_SAFE_METADATA	YES	PARTIAL_SUBSTANTIVE	VERIFIED	NOT_STARTED	NOT_STARTED		Verified from canonical manifest and evidence inventory.
WD-SRC-015	ASSDP	ORIGINAL_SEMANTIC_SOURCE		BWI_CURRICULUM	FORMAL_EXTERNAL_TRAINING	Setting Goal_Time Management_RCA for AHM ASSDP Basic_7Juni2023.pdf	Basic/Materi BWI	Basic/Materi BWI/Setting Goal_Time Management_RCA for AHM ASSDP Basic_7Juni2023.pdf	pdf	6768f46f2bdd7270ddf89dbdc682b3e4d10360257d56ed6fe49dc86f3cfae3d6	6768f46f2bdd7270ddf89dbdc682b3e4d10360257d56ed6fe49dc86f3cfae3d6	EXACT_HASH_MATCH	pages	47	pages	47	YES		VERIFIED_ACCESSIBLE	MANIFEST_METADATA_VERIFIED			PUBLIC_SAFE_METADATA	YES	PARTIAL_SUBSTANTIVE	VERIFIED	NOT_STARTED	NOT_STARTED		Verified from canonical manifest and evidence inventory.
WD-SRC-016	ASSDP	ORIGINAL_SEMANTIC_SOURCE		BWI_CURRICULUM	FORMAL_EXTERNAL_TRAINING	TS AHM ASSDP Basic.pdf	Basic/Materi BWI	Basic/Materi BWI/TS AHM ASSDP Basic.pdf	pdf	7ac65f916f9c92b2cf29e4cdf41825e1dd134a6c7ad4cc8989b7c3fa6b59bbe1	7ac65f916f9c92b2cf29e4cdf41825e1dd134a6c7ad4cc8989b7c3fa6b59bbe1	EXACT_HASH_MATCH	pages	137	pages	137	YES		VERIFIED_ACCESSIBLE	MANIFEST_METADATA_VERIFIED			PUBLIC_SAFE_METADATA	YES	PARTIAL_SUBSTANTIVE	VERIFIED	NOT_STARTED	NOT_STARTED		Verified from canonical manifest and evidence inventory.
WD-SRC-017	ASSDP	ORIGINAL_SEMANTIC_SOURCE		ASSDP_FORMAL_CURRICULUM	FORMAL_HONDA_TRAINING	1. ASSDP Channel Management 2023.pptx	Basic/Materi Internal	Basic/Materi Internal/1. ASSDP Channel Management 2023.pptx	pptx	1e30f6df8d01e28230df42e2ba42583c52dca957ea8009409ebbfe0a851ec9af	1e30f6df8d01e28230df42e2ba42583c52dca957ea8009409ebbfe0a851ec9af	EXACT_HASH_MATCH	slides	27	slides	27	YES		VERIFIED_ACCESSIBLE	MANIFEST_METADATA_VERIFIED			PUBLIC_SAFE_METADATA	YES	PARTIAL_SUBSTANTIVE	VERIFIED	NOT_STARTED	NOT_STARTED		Verified from canonical manifest and evidence inventory.
WD-SRC-018	ASSDP	ORIGINAL_SEMANTIC_SOURCE		ASSDP_FORMAL_CURRICULUM	FORMAL_HONDA_TRAINING	10. Sales _ Stock Monitoring per Dealer.pptx	Basic/Materi Internal	Basic/Materi Internal/10. Sales _ Stock Monitoring per Dealer.pptx	pptx	2dbf823a1b4177c31618df0718ce1fd12b98006034036ca580bda04dd9f293b3	2dbf823a1b4177c31618df0718ce1fd12b98006034036ca580bda04dd9f293b3	EXACT_HASH_MATCH	slides	12	slides	12	YES		VERIFIED_ACCESSIBLE	MANIFEST_METADATA_VERIFIED			PUBLIC_SAFE_METADATA	YES	PARTIAL_SUBSTANTIVE	VERIFIED	COMPLETE	COMPLETE		Verified from canonical manifest and evidence inventory.
WD-SRC-019	ASSDP	ORIGINAL_SEMANTIC_SOURCE		ASSDP_FORMAL_CURRICULUM	FORMAL_HONDA_TRAINING	11. Analisa Pricing _ FID-BA.pptx	Basic/Materi Internal	Basic/Materi Internal/11. Analisa Pricing _ FID-BA.pptx	pptx	7f63c659bbbc529b7679ed7e32baff7bd5ec84e37aa226ffdff3f52ee49df471	7f63c659bbbc529b7679ed7e32baff7bd5ec84e37aa226ffdff3f52ee49df471	EXACT_HASH_MATCH	slides	16	slides	16	YES		VERIFIED_ACCESSIBLE	MANIFEST_METADATA_VERIFIED			PUBLIC_SAFE_METADATA	YES	PARTIAL_SUBSTANTIVE	VERIFIED	COMPLETE	COMPLETE		Verified from canonical manifest and evidence inventory.
WD-SRC-020	ASSDP	ORIGINAL_SEMANTIC_SOURCE		ASSDP_FORMAL_CURRICULUM	FORMAL_HONDA_TRAINING	12. PICA.pptx	Basic/Materi Internal	Basic/Materi Internal/12. PICA.pptx	pptx	999dea815f1d9cd08f4464326aff1f034cd35eb1a89ffb75addad2b6174e9390	999dea815f1d9cd08f4464326aff1f034cd35eb1a89ffb75addad2b6174e9390	EXACT_HASH_MATCH	slides	31	slides	31	YES		VERIFIED_ACCESSIBLE	MANIFEST_METADATA_VERIFIED			PUBLIC_SAFE_METADATA	YES	PARTIAL_SUBSTANTIVE	VERIFIED	COMPLETE	COMPLETE		Verified from canonical manifest and evidence inventory.
WD-SRC-021	ASSDP	ORIGINAL_SEMANTIC_SOURCE		ASSDP_FORMAL_CURRICULUM	FORMAL_HONDA_TRAINING	13. KPI Highlight - ASSDP Jun_23.pptx	Basic/Materi Internal	Basic/Materi Internal/13. KPI Highlight - ASSDP Jun_23.pptx	pptx	c9ff4f1a3895b84797bf28a9d178fd5e832a3d164c2fe8ea80b9c74d07969ee8	c9ff4f1a3895b84797bf28a9d178fd5e832a3d164c2fe8ea80b9c74d07969ee8	EXACT_HASH_MATCH	slides	16	slides	16	YES		VERIFIED_ACCESSIBLE	MANIFEST_METADATA_VERIFIED			PUBLIC_SAFE_METADATA	YES	PARTIAL_SUBSTANTIVE	VERIFIED	NOT_STARTED	NOT_STARTED		Verified from canonical manifest and evidence inventory.
WD-SRC-022	ASSDP	ORIGINAL_SEMANTIC_SOURCE		ASSDP_FORMAL_CURRICULUM	FORMAL_HONDA_TRAINING	14. My Hero - ASSDP 2023.pptx	Basic/Materi Internal	Basic/Materi Internal/14. My Hero - ASSDP 2023.pptx	pptx	c5e3ba7eb9a94d725c84b02f97478def42ff08dd2ae3b5a2c92e043dcd33f436	c5e3ba7eb9a94d725c84b02f97478def42ff08dd2ae3b5a2c92e043dcd33f436	EXACT_HASH_MATCH	slides	17	slides	17	YES		VERIFIED_ACCESSIBLE	MANIFEST_METADATA_VERIFIED			PUBLIC_SAFE_METADATA	YES	PARTIAL_SUBSTANTIVE	VERIFIED	NOT_STARTED	NOT_STARTED		Verified from canonical manifest and evidence inventory.
WD-SRC-023	ASSDP	ORIGINAL_SEMANTIC_SOURCE		ASSDP_FORMAL_CURRICULUM	FORMAL_HONDA_TRAINING	15. INS ASSDP.pptx	Basic/Materi Internal	Basic/Materi Internal/15. INS ASSDP.pptx	pptx	db9bbe35b2fff0e2b1b28d54180dccfb52f7c05ddf1ceab6b18ae88db4213275	db9bbe35b2fff0e2b1b28d54180dccfb52f7c05ddf1ceab6b18ae88db4213275	EXACT_HASH_MATCH	slides	12	slides	12	YES		VERIFIED_ACCESSIBLE	MANIFEST_METADATA_VERIFIED			PUBLIC_SAFE_METADATA	YES	PARTIAL_SUBSTANTIVE	VERIFIED	NOT_STARTED	NOT_STARTED		Verified from canonical manifest and evidence inventory.
WD-SRC-024	ASSDP	ORIGINAL_SEMANTIC_SOURCE		ASSDP_FORMAL_CURRICULUM	FORMAL_HONDA_TRAINING	15. NOS ASSDP.pptx	Basic/Materi Internal	Basic/Materi Internal/15. NOS ASSDP.pptx	pptx	51f8ce0041127cbdc2380b1fc96154d988dc966f3277dab7cfbf5bbb67ae940a	51f8ce0041127cbdc2380b1fc96154d988dc966f3277dab7cfbf5bbb67ae940a	EXACT_HASH_MATCH	slides	16	slides	16	YES		VERIFIED_ACCESSIBLE	MANIFEST_METADATA_VERIFIED			PUBLIC_SAFE_METADATA	YES	PARTIAL	VERIFIED	NOT_STARTED	NOT_STARTED		Verified from canonical manifest and evidence inventory.
WD-SRC-025	ASSDP	ORIGINAL_SEMANTIC_SOURCE		ASSDP_FORMAL_CURRICULUM	FORMAL_HONDA_TRAINING	15. TTM ASSDP.pptx	Basic/Materi Internal	Basic/Materi Internal/15. TTM ASSDP.pptx	pptx	e4bbe0b94bed97f905abe1a2817fcab537b0bded29f18b685a4ce76f58a202ec	e4bbe0b94bed97f905abe1a2817fcab537b0bded29f18b685a4ce76f58a202ec	EXACT_HASH_MATCH	slides	28	slides	28	YES		VERIFIED_ACCESSIBLE	MANIFEST_METADATA_VERIFIED			PUBLIC_SAFE_METADATA	YES	PARTIAL_SUBSTANTIVE	VERIFIED	NOT_STARTED	NOT_STARTED		Verified from canonical manifest and evidence inventory.
WD-SRC-026	ASSDP	ORIGINAL_SEMANTIC_SOURCE		ASSDP_FORMAL_CURRICULUM	FORMAL_HONDA_TRAINING	2. ASSDP Basic - PDCA.pptx	Basic/Materi Internal	Basic/Materi Internal/2. ASSDP Basic - PDCA.pptx	pptx	7ed4e6545e05812fbabe943e9a5c23c480fc9d2d8440bf7845b8e0ebf5074612	7ed4e6545e05812fbabe943e9a5c23c480fc9d2d8440bf7845b8e0ebf5074612	EXACT_HASH_MATCH	slides	10	slides	10	YES		VERIFIED_ACCESSIBLE	MANIFEST_METADATA_VERIFIED			PUBLIC_SAFE_METADATA	YES	PARTIAL_SUBSTANTIVE	VERIFIED	COMPLETE	COMPLETE		Verified from canonical manifest and evidence inventory.
WD-SRC-027	ASSDP	ORIGINAL_SEMANTIC_SOURCE		ASSDP_FORMAL_CURRICULUM	FORMAL_HONDA_TRAINING	3-6. ASSDP Breakdown target, form dealer review _ TTFU, Targetting _ Forecasting dan komposisi DP .pptx	Basic/Materi Internal	Basic/Materi Internal/3-6. ASSDP Breakdown target, form dealer review _ TTFU, Targetting _ Forecasting dan komposisi DP .pptx	pptx	ea8bb19154f7262ad240933b0c0ecffa01e9169207560f2934a54293728ca630	ea8bb19154f7262ad240933b0c0ecffa01e9169207560f2934a54293728ca630	EXACT_HASH_MATCH	slides	39	slides	39	YES		VERIFIED_ACCESSIBLE	MANIFEST_METADATA_VERIFIED			PUBLIC_SAFE_METADATA	YES	PARTIAL_SUBSTANTIVE	VERIFIED	NOT_STARTED	NOT_STARTED		Verified from canonical manifest and evidence inventory.
WD-SRC-028	ASSDP	ORIGINAL_SEMANTIC_SOURCE		ASSDP_FORMAL_CURRICULUM	FORMAL_HONDA_TRAINING	7. Demand Management _ Recovery Rate.pptx	Basic/Materi Internal	Basic/Materi Internal/7. Demand Management _ Recovery Rate.pptx	pptx	1faab59cba2c176ac5e500a6deae60da3dcc2aa4afcc28f9461baa02fd15da89	1faab59cba2c176ac5e500a6deae60da3dcc2aa4afcc28f9461baa02fd15da89	EXACT_HASH_MATCH	slides	31	slides	31	YES		VERIFIED_ACCESSIBLE	MANIFEST_METADATA_VERIFIED			PUBLIC_SAFE_METADATA	YES	PARTIAL_SUBSTANTIVE	VERIFIED	NOT_STARTED	NOT_STARTED		Verified from canonical manifest and evidence inventory.
WD-SRC-029	ASSDP	ORIGINAL_SEMANTIC_SOURCE		ASSDP_FORMAL_CURRICULUM	FORMAL_HONDA_TRAINING	8. Management Visit Guidance.pptx	Basic/Materi Internal	Basic/Materi Internal/8. Management Visit Guidance.pptx	pptx	07437a9a0267534d7c4075c188b2e9d2075cf5849d053911ed76d287de9a0eb9	07437a9a0267534d7c4075c188b2e9d2075cf5849d053911ed76d287de9a0eb9	EXACT_HASH_MATCH	slides	28	slides	28	YES		VERIFIED_ACCESSIBLE	MANIFEST_METADATA_VERIFIED			PUBLIC_SAFE_METADATA	YES	PARTIAL_SUBSTANTIVE	VERIFIED	NOT_STARTED	NOT_STARTED		Verified from canonical manifest and evidence inventory.
WD-SRC-030	ASSDP	ORIGINAL_SEMANTIC_SOURCE		ASSDP_FORMAL_CURRICULUM	FORMAL_HONDA_TRAINING	9. Niguri AHM.pptx	Basic/Materi Internal	Basic/Materi Internal/9. Niguri AHM.pptx	pptx	ae4580ed1d5fee7498c712beb280e11783022579255cf4cc449460f05eeab490	ae4580ed1d5fee7498c712beb280e11783022579255cf4cc449460f05eeab490	EXACT_HASH_MATCH	slides	11	slides	11	YES		VERIFIED_ACCESSIBLE	MANIFEST_METADATA_VERIFIED			PUBLIC_SAFE_METADATA	YES	PARTIAL_SUBSTANTIVE	VERIFIED	NOT_STARTED	NOT_STARTED		Verified from canonical manifest and evidence inventory.
WD-SRC-031	ASSDP	ORIGINAL_SEMANTIC_SOURCE		ASSDP_FORMAL_CURRICULUM	FORMAL_HONDA_TRAINING	AUM 191023.pdf	Basic/Materi Internal/Materi	Basic/Materi Internal/Materi/AUM 191023.pdf	pdf	8ddc1a1e2f997f266da1b197fe168da235b9a69049f14c59c444e233b71fb22f	8ddc1a1e2f997f266da1b197fe168da235b9a69049f14c59c444e233b71fb22f	EXACT_HASH_MATCH	pages	15	pages	15	YES		VERIFIED_ACCESSIBLE	MANIFEST_METADATA_VERIFIED			PUBLIC_SAFE_METADATA	YES	NOT_YET	VERIFIED	NOT_STARTED	NOT_STARTED		Verified from canonical manifest and evidence inventory.
WD-SRC-032	ASSDP	ORIGINAL_SEMANTIC_SOURCE		ASSDP_FORMAL_CURRICULUM	FORMAL_HONDA_TRAINING	FINAL 19-10-2023 ASSDP MD SHARING.pdf	Basic/Materi Internal/Materi	Basic/Materi Internal/Materi/FINAL 19-10-2023 ASSDP MD SHARING.pdf	pdf	b5a7bec8935e7d1dd6a3120da9d9326b9263e568288b6e660c9ff9abb7fa0d4f	b5a7bec8935e7d1dd6a3120da9d9326b9263e568288b6e660c9ff9abb7fa0d4f	EXACT_HASH_MATCH	pages	28	pages	28	YES		VERIFIED_ACCESSIBLE	MANIFEST_METADATA_VERIFIED			PUBLIC_SAFE_METADATA	YES	NOT_YET	VERIFIED	NOT_STARTED	NOT_STARTED		Verified from canonical manifest and evidence inventory.
WD-SRC-033	ASSDP	ORIGINAL_SEMANTIC_SOURCE		ASSDP_FORMAL_CURRICULUM	FORMAL_HONDA_TRAINING	FINAL 19-10-2023 LOL BALI.pdf	Basic/Materi Internal/Materi	Basic/Materi Internal/Materi/FINAL 19-10-2023 LOL BALI.pdf	pdf	33e622d42be7464ec14762412f58178b5493a0739b71caabb0f56f7d19318ae0	33e622d42be7464ec14762412f58178b5493a0739b71caabb0f56f7d19318ae0	EXACT_HASH_MATCH	pages	16	pages	16	YES		VERIFIED_ACCESSIBLE	MANIFEST_METADATA_VERIFIED			PUBLIC_SAFE_METADATA	YES	NOT_YET	VERIFIED	NOT_STARTED	NOT_STARTED		Verified from canonical manifest and evidence inventory.
WD-SRC-034	ASSDP	ORIGINAL_SEMANTIC_SOURCE		ASSDP_FORMAL_CURRICULUM	FORMAL_HONDA_TRAINING	FINAL 19-10-2023 SPV AREA SHARING.pdf	Basic/Materi Internal/Materi	Basic/Materi Internal/Materi/FINAL 19-10-2023 SPV AREA SHARING.pdf	pdf	28670165e9b701aac4d41b287a66b8dcc6b23526594b741528ebfc0628330642	28670165e9b701aac4d41b287a66b8dcc6b23526594b741528ebfc0628330642	EXACT_HASH_MATCH	pages	13	pages	13	YES		VERIFIED_ACCESSIBLE	MANIFEST_METADATA_VERIFIED			PUBLIC_SAFE_METADATA	YES	NOT_YET	VERIFIED	NOT_STARTED	NOT_STARTED		Verified from canonical manifest and evidence inventory.
WD-SRC-035	ASSDP	ORIGINAL_SEMANTIC_SOURCE		ASSDP_FORMAL_CURRICULUM	FORMAL_HONDA_TRAINING	Leading Change AHM Harris Seminyak Handout.pdf	Basic/Materi Internal/Materi	Basic/Materi Internal/Materi/Leading Change AHM Harris Seminyak Handout.pdf	pdf	05fe20f34525e3aed384d3b967ab2e27ab1002a445b4ec9e17688ad5b5d2de3f	05fe20f34525e3aed384d3b967ab2e27ab1002a445b4ec9e17688ad5b5d2de3f	EXACT_HASH_MATCH	pages	55	pages	55	YES		VERIFIED_ACCESSIBLE	MANIFEST_METADATA_VERIFIED			PUBLIC_SAFE_METADATA	YES	NOT_YET	VERIFIED	NOT_STARTED	NOT_STARTED		Verified from canonical manifest and evidence inventory.
