source_file	classification	period_or_as_of	authority_status	duplicate_status	public_memory_handling	source_sha256	note
MAPPING RING 2022/Summary Pembagian Ring.xlsx	HISTORICAL	2022	STALE_FOR_CURRENT_RING / NOT_SUPERSEDED_BY_SUPPLIED_NEWER_RING	UNIQUE_SHA256	NORMALIZED_HISTORICAL_MAPPING	3ba5e8ccae1020cea5a3d31318312dddc21ac33cb64095f73f4e4f7acd5807d1	Current Ring authority not supplied.
Market/12. POLREG PER KECAMATAN PER KELURAHAN PER SEGMENT 2023.xlsx	HISTORICAL	2023	HISTORICAL_COMPARABLE	UNIQUE_SHA256	REFERENCE/AGGREGATE_IF_MATERIAL	1161e4438989262e48b535376853c2190b097d65fc7d5fa5609551bf4254920a	
Market/12. POLREG PER KECAMATAN PER SEGMENT 2021.xlsx	HISTORICAL	2021	HISTORICAL_COMPARABLE	UNIQUE_SHA256	REFERENCE/AGGREGATE_IF_MATERIAL	9e57b3df50bbecccd1e773f67db4071e402c45ac76734f2f95c944250500a2cb	
Market/12. POLREG PER KECAMATAN PER SEGMENT 2022.xlsx	HISTORICAL	2022	HISTORICAL_COMPARABLE	UNIQUE_SHA256	REFERENCE/AGGREGATE_IF_MATERIAL	2803c7d157dd1c7c37b60ff32c2d63e30b2288bab9c991bcf8d650326b07afc8	
Market/POLREG PER KECAMATAN PER KELURAHAN PER SEGMENT 2024.xlsx	HISTORICAL	2024	HISTORICAL_COMPARABLE	UNIQUE_SHA256	REFERENCE/AGGREGATE_IF_MATERIAL	cc60f9fb0d0f9dd1fa3b78948e4051eed7a9fe36f55ffc97041286691e06c505	
Market/POLREG PER KECAMATAN PER KELURAHAN PER SEGMENT 2025.xlsx	HISTORICAL	2025	HISTORICAL_COMPARABLE	UNIQUE_SHA256	REFERENCE/AGGREGATE_IF_MATERIAL	ec49d3edb252d1859cd2ecadce9800496fc57a0280b38d2cd43e57ef823f1840	
Market/POLREG PER KECAMATAN PER KELURAHAN PER SEGMENT 2026.xlsx	PRIVATE_RAW_UPSTREAM_PROVENANCE	2026	PRIVATE_RAW_UPSTREAM_PROVENANCE	UNIQUE_SHA256	UPSTREAM_LINEAGE_RAW_EXCLUDED	175b7fff1b8830f1c9f39ce81f1a2f1a4c73fbd780d4d5de71c0d89820b2d245	Upstream raw workbook for POLREG_2026_AREA_HIERARCHY.tsv and POLREG_YTD_JUN_2026_GEOGRAPHY_SEGMENT.tsv. Preserved as lineage only; raw binary excluded.
Market/SINSEN_EVALPOLREG+MSPERKAB_DEC 2024.xlsx	HISTORICAL	2024	HISTORICAL_COMPARABLE	UNIQUE_SHA256	REFERENCE/AGGREGATE_IF_MATERIAL	12f0a0d9f901a44ad12b9fe38d3bbc1c955d53c4134ede36ed091204dd42f008	
Market/SINSEN_EVALPOLREG+MSPERKAB_DEC 2025.xlsx	HISTORICAL	2025	HISTORICAL_COMPARABLE	UNIQUE_SHA256	REFERENCE/AGGREGATE_IF_MATERIAL	11f6340a4c5321a7f7c881c0a2f3bf4a3a23bdff3f398591d5f1394ce8aa2c13	
Market/SINSEN_EVALPOLREG+MSPERKAB_JUN 2026.xlsx	PRIVATE_RAW_UPSTREAM_PROVENANCE	YTD Jan-Jun 2026 + embedded 2025/2024/2023 DB	PRIVATE_RAW_UPSTREAM_PROVENANCE	UNIQUE_SHA256	UPSTREAM_LINEAGE_RAW_EXCLUDED	e0ee714d60baf2520037155f413d64e30629ce1cb16cce3296f07a94467ea107	Upstream raw workbook for MARKET_SHARE_YTD_JUN_2026_KABUPATEN_SEGMENT.tsv and MARKET_SHARE_YTD_JUN_2026_SEGMENT.tsv. Raw binary excluded.
Retail Sales/Record Sales 2008-2025.xlsx	HISTORICAL	2008-2025	PREFERRED_LONG_HISTORICAL_SERIES / STALE_FOR_CURRENT_2026	UNIQUE_SHA256	HISTORICAL_AGGREGATES_ONLY	687d856182c9111a84ae97aaa088dedb2f82db5054a0d614ee9f240f08fabee5	Use Jan-Jul 2025 comparable; cached 2026 cells not current authority.
Retail Sales/SSU 2024.xlsx	HISTORICAL	2024	HISTORICAL_COMPARABLE	UNIQUE_SHA256	HISTORICAL_AGGREGATES_ONLY	31af415f9137dc59c6a22c9dfea0a6869610d53f1de45b33d14162b3912ea380	
Retail Sales/SSU 2025.xlsx	FULL_YEAR_2025_HISTORICAL_AUTHORITY	2025 Full Year	PREFERRED_FULL_YEAR_2025_HISTORICAL_AUTHORITY	UNIQUE_SHA256	HISTORICAL_AGGREGATES_ONLY	38e05002d23a6b275b6380bd78e991b8152b70e790c46e7ee543d5bae3891450	Complete Jan-Dec 2025 historical baseline (107,108 units total, Dec 12,381 units). Sanitized aggregates.
Retail Sales/SSU.2026.xlsx	PRIVATE_RAW_UPSTREAM_PROVENANCE	Jan-Jul 2026	PRIVATE_RAW_UPSTREAM_PROVENANCE	UNIQUE_SHA256	UPSTREAM_LINEAGE_RAW_EXCLUDED	a9ff25cd2286e285865cf5d79d9d0e77f6f3dd81d874dfd3a61554a04c99f0c3	Upstream raw workbook for RETAIL_2026_CURRENT_SUMMARY.tsv, RETAIL_2026_YTD_JUL_DEALER.tsv, RETAIL_2026_YTD_JUL_TYPE.tsv, RETAIL_2026_YTD_JUL_AREA.tsv. Raw rows with customer PII excluded from public ASB.
Retail Sales/Tabel Sales Summary 2017.xlsx	HISTORICAL	2017	HISTORICAL_COMPARABLE	UNIQUE_SHA256	HISTORICAL_AGGREGATES_ONLY	113dd4c0805242fe122db138d21aa6d75af18c4e6f149b3df9a13efff666bfdb	
Retail Sales/Tabel Sales Summary 2018.xlsx	HISTORICAL	2018	HISTORICAL_COMPARABLE	UNIQUE_SHA256	HISTORICAL_AGGREGATES_ONLY	227e91f033a72a83a3c4a2d6f158db52bf4380f6a92fce344591ac34a516f598	
Retail Sales/Tabel Sales Summary 2019.xlsx	HISTORICAL	2019	HISTORICAL_COMPARABLE	UNIQUE_SHA256	HISTORICAL_AGGREGATES_ONLY	7b71be51c47e778e23083d8c90b816ca49ed2ab50e395902af43e4933ff4ff65	
Retail Sales/Tabel Sales Summary 2020.xlsx	HISTORICAL	2020	HISTORICAL_COMPARABLE	UNIQUE_SHA256	HISTORICAL_AGGREGATES_ONLY	f69fa1def6d4fa884cc687709d0244d27829b2c14894b80e237949983fd98291	
Retail Sales/Tabel Sales Summary 2021.xlsx	HISTORICAL	2021	HISTORICAL_COMPARABLE	UNIQUE_SHA256	HISTORICAL_AGGREGATES_ONLY	0fa5683297ea4f9158da1fa6c009698ca769ad1f0163d3fc9e05634f7d51b6b9	
Retail Sales/Tabel Sales Summary 2022.xlsx	HISTORICAL	2022	HISTORICAL_COMPARABLE	UNIQUE_SHA256	HISTORICAL_AGGREGATES_ONLY	f2091628e8a5e20a061bbb079955cc0af0518a606edb55ba2f97f948904fa889	
Retail Sales/Tabel Sales Summary 2023.xlsx	HISTORICAL	2023	HISTORICAL_COMPARABLE	UNIQUE_SHA256	HISTORICAL_AGGREGATES_ONLY	428f9e7a3e97dffebd6a2be814bd5a2e395ae120c03e1cc8b3ad4aa875fdc6fd	
StokMD - 2026-08-06T080446.204.xls	PRIVATE_RAW_UPSTREAM_PROVENANCE	2026-08-06 08:04:46	PRIVATE_RAW_UPSTREAM_PROVENANCE	UNIQUE_SHA256	UPSTREAM_LINEAGE_RAW_EXCLUDED	653b4a90b93feca020da111f53e1c205e19c50f2b60cba953ee0ed5738cb9dba	Upstream raw snapshot for MD_STOCK_2026-08-06_AGGREGATE.tsv.
Stok_per_no_mesin_dealer - 2026-08-06T080342.480.xls	PRIVATE_RAW_UPSTREAM_PROVENANCE	2026-08-06 08:03:42	PRIVATE_RAW_UPSTREAM_PROVENANCE	UNIQUE_SHA256	UPSTREAM_LINEAGE_RAW_EXCLUDED	433f163aa95da88d361a8955566563c4241f2b68bb139e5ca4c2325c1a9f280e	Upstream raw snapshot for DEALER_STOCK_2026-08-06_AGGREGATE.tsv. Raw engine identifiers excluded.
Pengkodean POS_Sinsen_Aug 2026.xlsx	CURRENT_OPERATING_STATE	2026-08-11	CURRENT_SINSEN_POS_STANDARDIZATION_WORKING_SNAPSHOT	UNIQUE_SHA256	SANITIZED_STRUCTURED_POS_MASTER_DELTA	2f7615d55fb3f604e323d282a4be15d9337609b1fc08c37dc3daac07d8052091	14 rows; 3 revised/new codes; source-quality gaps preserved; not proof of submission acceptance.
11-08-2026-Meeting(Audio)-2026-08-11T06-19-23-527Z(1).txt	NEW_SOURCE_DOCUMENT	2026-08-11	CURRENT_SUPPLIED_PARTIAL_MEETING	UNIQUE_SHA256	DISTILLED_ONLY_NO_RAW_TRANSCRIPT	e949fcf8030d620a8796142d673d4faa8a9f75f8c55495e33276dd5c559bb3cb	TurboScribe transcript stops after first 30 minutes; raw transcript excluded from public ASB.
Screenshot 2026-08-11 132416.png	NEW_SOURCE_DOCUMENT	2026-08-11 13:24	CURRENT_SUPPLIED_SCREENSHOT	UNIQUE_SHA256	DISTILLED_ONLY_NO_RAW_IMAGE	e1499e2aa28da3f356c5c382c474cd8f1f916ab8392de43d1690b3ae602ccc6a	Supports transitional Google Form validation flow, fields, and screenshot-visible event subset; internal form URL excluded.
Screenshot 2026-08-11 132725.png	NEW_SOURCE_DOCUMENT	2026-08-11 13:27	CURRENT_SUPPLIED_SCREENSHOT	UNIQUE_SHA256	DISTILLED_ONLY_NO_RAW_IMAGE	7d7d110ee535d1d838de98a5b1d636e25eb5e32207762d045177124763c6e87e	Supports weekly cadence, Friday deadline, no-event submission rule; internal portal URL excluded.
wiki/workdesk/business-memory/operational/RETAIL_2026_CURRENT_SUMMARY.tsv	OPERATIONAL_RUNTIME	Jan-Jul 2026	CURRENT_OPERATIONAL_AUTHORITY	UNIQUE_SHA256	CANONICAL_OPERATIONAL_TSV	cac4293e5c8b3f6a4cf781314c07d904588d5d2b31149b384a8fec74869d053e	Current monthly retail actuals and YoY growth rate. Upstream provenance: Retail Sales/SSU.2026.xlsx.
wiki/workdesk/business-memory/operational/RETAIL_2026_YTD_JUL_DEALER.tsv	OPERATIONAL_RUNTIME	YTD Jan-Jul 2026	CURRENT_OPERATIONAL_AUTHORITY	UNIQUE_SHA256	CANONICAL_OPERATIONAL_TSV	8b03b29da7d7c1e2a848105e10f1512a7eba7223155de39eed02a15d6d9e18fb	Current dealer retail contribution and sales volume across 60 outlets. Upstream provenance: Retail Sales/SSU.2026.xlsx.
wiki/workdesk/business-memory/operational/RETAIL_2026_YTD_JUL_TYPE.tsv	OPERATIONAL_RUNTIME	YTD Jan-Jul 2026	CURRENT_OPERATIONAL_AUTHORITY	UNIQUE_SHA256	CANONICAL_OPERATIONAL_TSV	82f69a52a3046eaf758d13c1187ffc852b31a69718c84e7bf9c7069e7d185f3a	Current product type contribution and sales volume across 73 types. Upstream provenance: Retail Sales/SSU.2026.xlsx.
wiki/workdesk/business-memory/operational/RETAIL_2026_YTD_JUL_AREA.tsv	OPERATIONAL_RUNTIME	YTD Jan-Jul 2026	CURRENT_OPERATIONAL_AUTHORITY	UNIQUE_SHA256	CANONICAL_OPERATIONAL_TSV	a52138104c8fb6daa61f1e94c067c0c44fbc519a19ceba8420c905a617e5081a	Current geographic area retail distribution across 10 kabupaten/kota. Upstream provenance: Retail Sales/SSU.2026.xlsx.
wiki/workdesk/business-memory/operational/MARKET_SHARE_YTD_JUN_2026_KABUPATEN_SEGMENT.tsv	OPERATIONAL_RUNTIME	YTD Jan-Jun 2026	CURRENT_OPERATIONAL_AUTHORITY	UNIQUE_SHA256	CANONICAL_OPERATIONAL_TSV	b27016ca196d30112abbf57ec3f53b39de0d6f35e8720fe113662e96a927a437	Current market share and segment breakdown across 9 kabupaten. Upstream provenance: Market/SINSEN_EVALPOLREG+MSPERKAB_JUN 2026.xlsx.
wiki/workdesk/business-memory/operational/MARKET_SHARE_YTD_JUN_2026_SEGMENT.tsv	OPERATIONAL_RUNTIME	YTD Jan-Jun 2026	CURRENT_OPERATIONAL_AUTHORITY	UNIQUE_SHA256	CANONICAL_OPERATIONAL_TSV	3fbf714de9bb0d0c8702fbb81e4f0bf8eab6e6914a5643656b947c2ef3a941a2	Current province-level market share across 9 segments + ALL. Upstream provenance: Market/SINSEN_EVALPOLREG+MSPERKAB_JUN 2026.xlsx.
wiki/workdesk/business-memory/operational/POLREG_2026_AREA_HIERARCHY.tsv	OPERATIONAL_RUNTIME	2026	CURRENT_OPERATIONAL_AUTHORITY	UNIQUE_SHA256	CANONICAL_OPERATIONAL_TSV	056ee9c2ddddf7665fede1d0e1ac2bf969e3c90ed48cc4da0733dcfe4468389c	Master geographic hierarchy (9 Kabupaten, 118 Kecamatan, 1,222 Kelurahan). Resolve hierarchy before dense matrix query. Upstream provenance: Market/POLREG PER KECAMATAN PER KELURAHAN PER SEGMENT 2026.xlsx.
wiki/workdesk/business-memory/operational/POLREG_YTD_JUN_2026_GEOGRAPHY_SEGMENT.tsv	OPERATIONAL_RUNTIME	YTD Jan-Jun 2026	CURRENT_OPERATIONAL_AUTHORITY	UNIQUE_SHA256	CANONICAL_OPERATIONAL_TSV	13500fcc3a895fcec977b33bfeaa2e52d926ba6af0faf7c6fdf17b287444dc4c	Dense geographic filter matrix (14,849 rows) across 11 filter states. Upstream provenance: Market/POLREG PER KECAMATAN PER KELURAHAN PER SEGMENT 2026.xlsx.
wiki/workdesk/business-memory/operational/DEALER_STOCK_2026-08-06_AGGREGATE.tsv	OPERATIONAL_RUNTIME	2026-08-06	CURRENT_OPERATIONAL_AUTHORITY	UNIQUE_SHA256	CANONICAL_OPERATIONAL_TSV	e13bd3b3e6391900c1e997f92d8a7579f188fc5138f69be59e53e973bbb1b380	Current dealer stock status, aging distribution, and unit counts. Upstream provenance: Stok_per_no_mesin_dealer - 2026-08-06.
wiki/workdesk/business-memory/operational/MD_STOCK_2026-08-06_AGGREGATE.tsv	OPERATIONAL_RUNTIME	2026-08-06	CURRENT_OPERATIONAL_AUTHORITY	UNIQUE_SHA256	CANONICAL_OPERATIONAL_TSV	e62fcafe683d7ba695ae6bd3e46da7dce5ce925210db0c9ba13902e090163d33	Current MD warehouse stock positions and status breakdown. Upstream provenance: StokMD - 2026-08-06.
wiki/workdesk/business-memory/operational/RING_MAPPING_2022_HISTORICAL.tsv	OPERATIONAL_RUNTIME	2022	HISTORICAL_RING_AUTHORITY	UNIQUE_SHA256	CANONICAL_OPERATIONAL_TSV	7118fa990c2b7a87dbaf7e204176a9cc3995fef96a76543b7259dfc260e1680e	Historical ring mapping (802 rows) covering Kabupaten, Kecamatan, Dealer/POS, and Ring 1/2/3. Upstream provenance: MAPPING RING 2022.
