bundle	relative_path	filename	extension	bytes	sha256	units_type	units_total	source_role	scope	privacy_class	authority_hint	duplicate_group	notes
All.zip	All/Export Work Notion/Presentation in Action 285de854621780f58cbdfb02ae67ffb9.md	Presentation in Action 285de854621780f58cbdfb02ae67ffb9.md	md	24220	b481fc14e86382cab46dac03d2e7c00cb709c78291285e90f9e8b72ae7a2dfe2	lines	655	SUPPORTING_OWNER_NOTE	IN_SCOPE	PRIVATE_SOURCE	SUPPLEMENTARY_OWNER_NOTE		
All.zip	All/Export Work Notion/Project Dashboard Sales Power BI 1bdde854621780f881a9e60c65836e63.md	Project Dashboard Sales Power BI 1bdde854621780f881a9e60c65836e63.md	md	2842	02cc3fcfa6f97ce7f89692b01eead007c1789d7aa0d2c602ebbf6a7494fdfe10	lines	55	SUPPORTING_OWNER_NOTE	IN_SCOPE	PRIVATE_SOURCE	SUPPLEMENTARY_OWNER_NOTE		
All.zip	All/Export Work Notion/Reshape 317de8546217800a9a63e12937400d72.md	Reshape 317de8546217800a9a63e12937400d72.md	md	2361	11ab36c28f921e2767dedabfccec08e04618d58d3a7914e23480c4504af4d174	lines	34	SUPPORTING_OWNER_NOTE	IN_SCOPE	PRIVATE_SOURCE	SUPPLEMENTARY_OWNER_NOTE		
All.zip	All/Export Work Notion/Sinsen 317de8546217805a978cc5462dc9d9ad.md	Sinsen 317de8546217805a978cc5462dc9d9ad.md	md	79	1e8538c7c51975f58035ba055b02214d83ae50f12c1bbafe707ab337d53d9b5d	lines	5	SECRET_EXCLUSION	EXCLUDED_SECURITY	HIGHLY_SENSITIVE_EXCLUDED	DO_NOT_INGEST		
All.zip	All/Export Work Notion/Skrip 1ddde854621780fca3fbcc02ace2fba6.md	Skrip 1ddde854621780fca3fbcc02ace2fba6.md	md	19335	d5f9944eaeefd2a5f2db6f1e259dd6a60fe7450e3a4cbbeee7165d00ece8ba70	lines	330	SUPPORTING_OWNER_NOTE	IN_SCOPE	PRIVATE_SOURCE	SUPPLEMENTARY_OWNER_NOTE		
All.zip	All/Export Work Notion/Summary 285de8546217802eb416cee1aca3c29f.md	Summary 285de8546217802eb416cee1aca3c29f.md	md	5450	fd644cc3272e3f85e26c674a13fa80a44fb3eb33f398d84f98d39fa69cda186b	lines	125	SUPPORTING_OWNER_NOTE	IN_SCOPE	PRIVATE_SOURCE	SUPPLEMENTARY_OWNER_NOTE		
All.zip	All/Export Work Notion/Test 645ef996a2f144229b5cfed41016c9be.md	Test 645ef996a2f144229b5cfed41016c9be.md	md	8730	034ad283878f3636a69581f0b86870564dfd2c0d6366b35cdfeb84e70908084a	lines	234	SUPPORTING_OWNER_NOTE	IN_SCOPE	PRIVATE_SOURCE	SUPPLEMENTARY_OWNER_NOTE		
All.zip	All/Export Work Notion/Training c3ad656f8b4e433b9a918ce04183d397.md	Training c3ad656f8b4e433b9a918ce04183d397.md	md	736	301147571f2e278802400b99baa0844e5fec6933642c3ccc608509fc4d277c52	lines	20	SUPPORTING_OWNER_NOTE	IN_SCOPE	PRIVATE_SOURCE	SUPPLEMENTARY_OWNER_NOTE		
All.zip	All/Export Work Notion/Work 13fde85462178026a231eeb63ec903ca.md	Work 13fde85462178026a231eeb63ec903ca.md	md	624	e59461e2f28a01bbe46a9a4d54f730f0413d0d0fb1f6f211f4c02a8fc26c9041	lines	17	SUPPORTING_OWNER_NOTE	IN_SCOPE	PRIVATE_SOURCE	SUPPLEMENTARY_OWNER_NOTE		
All.zip	All/Export Work Notion/Working Holiday Visa Aussie 14dde8546217803d994fcc1c0de3cccb.md	Working Holiday Visa Aussie 14dde8546217803d994fcc1c0de3cccb.md	md	59094	5df24147ea89805e0223ac02881f522f141790a58aadd9e24eab78d2a651b56e	lines	1548	OUT_OF_SCOPE	EXCLUDED_OUT_OF_SCOPE	PRIVATE_SOURCE	DO_NOT_INGEST		
All.zip	All/Export Work Notion/Workshop 284de854621780baa650e24357902e1c.md	Workshop 284de854621780baa650e24357902e1c.md	md	8693	6daff53e9c4741c45014675b16d519f67b14e71f703b811db561b648336857b7	lines	131	SUPPORTING_OWNER_NOTE	IN_SCOPE	PRIVATE_SOURCE	SUPPLEMENTARY_OWNER_NOTE		
All.zip	All/Export Work Notion/Wrap up materi assdp 284de854621780f489f6d7baf6f0b5e2.md	Wrap up materi assdp 284de854621780f489f6d7baf6f0b5e2.md	md	33095	5d68d15e959798754dcb1f5081aa56943a9305d82f89ee5fcb416e9546e57254	lines	759	SUPPORTING_OWNER_NOTE	IN_SCOPE	PRIVATE_SOURCE	SUPPLEMENTARY_OWNER_NOTE		
All.zip	All/Guidance VE to MD (Reg Meeting 18 - 19 July 2022).pdf	Guidance VE to MD (Reg Meeting 18 - 19 July 2022).pdf	pdf	1116473	6207b87c4f10c3ddd89848e45b94ae1d69fa5c5c10a1d4474ee427d31fdad809	pages	11	ORIGINAL_SEMANTIC_SOURCE	IN_SCOPE	PRIVATE_SOURCE	OPERATIONAL_REFERENCE		
All.zip	All/Hasil Survei Pelanggan Virtual Exhibition (VE) 2025.pdf	Hasil Survei Pelanggan Virtual Exhibition (VE) 2025.pdf	pdf	1573428	5ffb37d226d6d2016aa7d5dbfb90fabd2dd3a84f845d68c1cad80920454cfaac	pages	9	ORIGINAL_SEMANTIC_SOURCE	IN_SCOPE	PRIVATE_SOURCE	OPERATIONAL_REFERENCE		
All.zip	All/Meeting/00. BEST Juli 2026 - Watermark.pdf	00. BEST Juli 2026 - Watermark.pdf	pdf	13527424	0c3e9669dceb4766b5f001e8c8b5543b4110d87fdd506e914810a7bdf470f742	pages	47	ORIGINAL_SEMANTIC_SOURCE	IN_SCOPE	PRIVATE_SOURCE	OPERATIONAL_REFERENCE		
All.zip	All/Meeting/BEST April 2026_watermark (1).pdf	BEST April 2026_watermark (1).pdf	pdf	4604470	4f9ced557478ae93407b4d62f6481c8fab21e53ccc846f2e149952baedeb4215	pages	47	ORIGINAL_SEMANTIC_SOURCE	IN_SCOPE	PRIVATE_SOURCE	OPERATIONAL_REFERENCE		
All.zip	All/Meeting/BEST CLOSING NOVEMBER 2025 (Watermark).pdf	BEST CLOSING NOVEMBER 2025 (Watermark).pdf	pdf	6554924	48e29275a5d7fdcc0bca1f02f60e598c1d107d9b290be2714d98ecfe43e4326c	pages	33	ORIGINAL_SEMANTIC_SOURCE	IN_SCOPE	PRIVATE_SOURCE	OPERATIONAL_REFERENCE		
All.zip	All/Meeting/BEST CLOSING OCTOBER 2025 (Watermark).pdf	BEST CLOSING OCTOBER 2025 (Watermark).pdf	pdf	6363744	602e3906269c5aac56913b0f326367eccbe0c7ecbceb32c01eab518ef0aac531	pages	55	ORIGINAL_SEMANTIC_SOURCE	IN_SCOPE	PRIVATE_SOURCE	OPERATIONAL_REFERENCE		
All.zip	All/Meeting/BEST Februari 2026 (watermark).pdf	BEST Februari 2026 (watermark).pdf	pdf	8658952	9e1241fecee218db70677319d840c09545fb0c9bd36b0e2e6047959315402d1a	pages	41	ORIGINAL_SEMANTIC_SOURCE	IN_SCOPE	PRIVATE_SOURCE	OPERATIONAL_REFERENCE		
All.zip	All/Meeting/BEST Maret 2026_watermark (2).pdf	BEST Maret 2026_watermark (2).pdf	pdf	10386895	1ad8111eeb7607e662e5ec9e8b957d87fe0d3b29f3c4c302ab80fb666a40f917	pages	53	ORIGINAL_SEMANTIC_SOURCE	IN_SCOPE	PRIVATE_SOURCE	OPERATIONAL_REFERENCE		
All.zip	All/Meeting/Best Meeting Desember 2025.pdf	Best Meeting Desember 2025.pdf	pdf	6437278	4fa86398fbdeb0f2f48a4839dd6e355e93a23b567a1fa8e1f7b7e04c87162682	pages	32	ORIGINAL_SEMANTIC_SOURCE	IN_SCOPE	PRIVATE_SOURCE	OPERATIONAL_REFERENCE		
All.zip	All/Meeting/Closing Meeting Januari 2026.pdf	Closing Meeting Januari 2026.pdf	pdf	9622420	13fab294ad044010564e07edbcd962c9da673269cbe7f81c3248d7c74b977b9e	pages	47	ORIGINAL_SEMANTIC_SOURCE	IN_SCOPE	PRIVATE_SOURCE	OPERATIONAL_REFERENCE		
All.zip	All/Meeting/Materi Closing BEST Juni 2026_watermark.pdf	Materi Closing BEST Juni 2026_watermark.pdf	pdf	11762521	db99f5678ae21b239a0a92a9b2b4d7a3ba5c84f041892c24be7ce4f6c611c9f6	pages	49	ORIGINAL_SEMANTIC_SOURCE	IN_SCOPE	PRIVATE_SOURCE	OPERATIONAL_REFERENCE		
All.zip	All/Meeting Netdev Strategy 2026 dan Perapihan Pengkodean POS.pdf	Meeting Netdev Strategy 2026 dan Perapihan Pengkodean POS.pdf	pdf	7653074	bf9f024b71890db5e14646bcc3410214bf0703c03699a2cdd572312e2ee7aba7	pages	28	ORIGINAL_SEMANTIC_SOURCE	IN_SCOPE	PRIVATE_SOURCE	OPERATIONAL_REFERENCE		
All.zip	All/ND Plan & Reshape Review_Sinsen 2026.pptx	ND Plan & Reshape Review_Sinsen 2026.pptx	pptx	40411827	8e8f5e9a3b2d8c0aba3cb3f4e1dc0faed3811ddb6d17342202d9c19facb01279	slides	64	ORIGINAL_SEMANTIC_SOURCE	IN_SCOPE	PRIVATE_SOURCE	OPERATIONAL_REFERENCE		
All.zip	All/Penegasan Pelaksanaan Exhibition, Roadshow, & Showroom Event.pdf	Penegasan Pelaksanaan Exhibition, Roadshow, & Showroom Event.pdf	pdf	615837	0eeba2e7b1c67545b6c0af861594a9a4562a381a72a14cb0ef5e54cf48120786	pages	4	ORIGINAL_SEMANTIC_SOURCE	IN_SCOPE	PRIVATE_SOURCE	OPERATIONAL_REFERENCE		
All.zip	All/Petunjuk Pelaksanaan Program Pameran dan Roadshow Periode Januari - April 2023 (2).pdf	Petunjuk Pelaksanaan Program Pameran dan Roadshow Periode Januari - April 2023 (2).pdf	pdf	406378	03436d36c9f4d94dee1b83319f30db230e2dfc099905e067f5a30094f71eae96	pages	4	ORIGINAL_SEMANTIC_SOURCE	IN_SCOPE	PRIVATE_SOURCE	OPERATIONAL_REFERENCE		
All.zip	All/SAFARI NOV 2022.pptx	SAFARI NOV 2022.pptx	pptx	17757217	538a988fc4bea841e998ffa10410e604b6a2092a92d6d33d553727591ea2669e	slides	30	ORIGINAL_SEMANTIC_SOURCE	IN_SCOPE	PRIVATE_SOURCE	OPERATIONAL_REFERENCE		
All.zip	All/Survey VE 2025.pptx	Survey VE 2025.pptx	pptx	7004948	5adc104dcf84b481595b0b9f2a483af59a6ae1523ade3d595016c879f0835259	slides	3	ORIGINAL_SEMANTIC_SOURCE	IN_SCOPE	PRIVATE_SOURCE	OPERATIONAL_REFERENCE		
All.zip	All/VE SAFARI November 2022.pdf	VE SAFARI November 2022.pdf	pdf	3019792	52c8c999c3fe4d5ffbf051d8cdb982ee080567913d7e3be48f83758faef6b21b	pages	30	ORIGINAL_SEMANTIC_SOURCE	IN_SCOPE	PRIVATE_SOURCE	OPERATIONAL_REFERENCE		
All.zip	All/Virtual Exhibition (+SAFARI) - April 2022.pdf	Virtual Exhibition (+SAFARI) - April 2022.pdf	pdf	1720375	96cedd8f7cb384401afaa17459ef49838bd0cf6fd55a533c5c7805a39d444f01	pages	17	ORIGINAL_SEMANTIC_SOURCE	IN_SCOPE	PRIVATE_SOURCE	OPERATIONAL_REFERENCE		
1. ASSDP Lite.zip	1. ASSDP Lite/Advanced/130. Petunjuk Pelaksanaan Final Project Training ASSDP - Advance 2025.pdf	130. Petunjuk Pelaksanaan Final Project Training ASSDP - Advance 2025.pdf	pdf	1165283	d4b691acf430e6cd33bb5f7ef57e21058479abbb4d9c66840da352a869822230	pages	4	ORIGINAL_SEMANTIC_SOURCE	IN_SCOPE	PRIVATE_SOURCE	TRAINING_OR_OWNER_ARTIFACT_PENDING_REVIEW		
1. ASSDP Lite.zip	1. ASSDP Lite/Advanced/Materi Training External/ASSDP Advance Tanadi Santoso Material.pdf	ASSDP Advance Tanadi Santoso Material.pdf	pdf	22729992	7a9e8f2bf1e8a5792a0fe427368d487765f907f5c714e9ffec46c671124458c3	pages	104	ORIGINAL_SEMANTIC_SOURCE	IN_SCOPE	PRIVATE_SOURCE	TRAINING_OR_OWNER_ARTIFACT_PENDING_REVIEW		
1. ASSDP Lite.zip	1. ASSDP Lite/Advanced/Materi Training External/ASSDP Advance for AHM_7^09Okt2025.pdf	ASSDP Advance for AHM_7^09Okt2025.pdf	pdf	13482672	775527ae9e76fc495f5efa5eb91c1c3be21a1aee4f2f3aecaa5f3c1189c17611	pages	152	ORIGINAL_SEMANTIC_SOURCE	IN_SCOPE	PRIVATE_SOURCE	TRAINING_OR_OWNER_ARTIFACT_PENDING_REVIEW		
1. ASSDP Lite.zip	1. ASSDP Lite/Advanced/Materi Training Internal/Materi - SPV Role - ko PET.pptx	Materi - SPV Role - ko PET.pptx	pptx	7430387	69f92faedd189b466a64f1d54b71f9e7ca6418bedaa153f15e2262dcf754db29	slides	10	ORIGINAL_SEMANTIC_SOURCE	IN_SCOPE	PRIVATE_SOURCE	TRAINING_OR_OWNER_ARTIFACT_PENDING_REVIEW		
1. ASSDP Lite.zip	1. ASSDP Lite/Advanced/Materi Training Internal/WRAPUP Materi - ASSDP Advance (RAR).pptx	WRAPUP Materi - ASSDP Advance (RAR).pptx	pptx	16395116	9f0890b20ba163873526f409d267509f95c2f8030d5beba80d8b6f537e6ef2d7	slides	80	ORIGINAL_SEMANTIC_SOURCE	IN_SCOPE	PRIVATE_SOURCE	TRAINING_OR_OWNER_ARTIFACT_PENDING_REVIEW		
1. ASSDP Lite.zip	1. ASSDP Lite/Advanced/SINSEN - Egit Aristo Randas- PENETRASI - ASSDP Advance 2026.pdf	SINSEN - Egit Aristo Randas- PENETRASI - ASSDP Advance 2026.pdf	pdf	4462058	450981643f33a85fe1a11f34271ea0c2f29e6082b8e0cd6c5250e54ccfe98f2c	pages	20	ORIGINAL_SEMANTIC_SOURCE	IN_SCOPE	PRIVATE_SOURCE	TRAINING_OR_OWNER_ARTIFACT_PENDING_REVIEW		
1. ASSDP Lite.zip	1. ASSDP Lite/Advanced/Tabel MS ASSDP.xlsx	Tabel MS ASSDP.xlsx	xlsx	14452	c43e08a8a4dcac35b6a198a318f90ccbcfc3fb9e32d7228dce00cfacd0b9ab1a	sheets	1	ORIGINAL_SEMANTIC_SOURCE	IN_SCOPE	PRIVATE_SOURCE	TRAINING_OR_OWNER_ARTIFACT_PENDING_REVIEW		
1. ASSDP Lite.zip	1. ASSDP Lite/Basic/40. Petunjuk Pelaksanaan Project Training ASSDP 2023 - Tahap 1.pdf	40. Petunjuk Pelaksanaan Project Training ASSDP 2023 - Tahap 1.pdf	pdf	491658	7e2e0c3dadcc1f7ab1ecc76b0e00fde986144b244822dcfe2ea027384fffd40c	pages	3	ORIGINAL_SEMANTIC_SOURCE	IN_SCOPE	PRIVATE_SOURCE	TRAINING_OR_OWNER_ARTIFACT_PENDING_REVIEW		
1. ASSDP Lite.zip	1. ASSDP Lite/Basic/88. Petunjuk Pelaksanaan Project Presentation Training ASSDP #U2013 Tahap 2.pdf	88. Petunjuk Pelaksanaan Project Presentation Training ASSDP #U2013 Tahap 2.pdf	pdf	517157	bae5c1f0e653de55b69a0f17fa254e4ecdaab53e81d67b28fcafc6938d3a9495	pages	3	IDENTICAL_DUPLICATE_ALIAS	IN_SCOPE	PRIVATE_SOURCE	TRAINING_OR_OWNER_ARTIFACT_PENDING_REVIEW	DUP-002	Identical SHA256 to 1. ASSDP Lite/Basic/88. Petunjuk Pelaksanaan Project Presentation Training ASSDP - Tahap 2.pdf
1. ASSDP Lite.zip	1. ASSDP Lite/Basic/88. Petunjuk Pelaksanaan Project Presentation Training ASSDP - Tahap 2.pdf	88. Petunjuk Pelaksanaan Project Presentation Training ASSDP - Tahap 2.pdf	pdf	517157	bae5c1f0e653de55b69a0f17fa254e4ecdaab53e81d67b28fcafc6938d3a9495	pages	3	ORIGINAL_SEMANTIC_SOURCE	IN_SCOPE	PRIVATE_SOURCE	TRAINING_OR_OWNER_ARTIFACT_PENDING_REVIEW	DUP-002	
1. ASSDP Lite.zip	1. ASSDP Lite/Basic/Egit Aristo Randas_Implementation Sales People Additional Incentives for Selected Dealer_ASSDP BASIC2023.pdf	Egit Aristo Randas_Implementation Sales People Additional Incentives for Selected Dealer_ASSDP BASIC2023.pdf	pdf	2254747	1c78d5fc69644a6a4e2210cfcdef05b420715d565cad726f01800f8eb8988585	pages	18	ORIGINAL_SEMANTIC_SOURCE	IN_SCOPE	PRIVATE_SOURCE	TRAINING_OR_OWNER_ARTIFACT_PENDING_REVIEW		
1. ASSDP Lite.zip	1. ASSDP Lite/Basic/Form penilaian presentasi project ASSDP 2023 - Copy.xlsx	Form penilaian presentasi project ASSDP 2023 - Copy.xlsx	xlsx	17406	7a890a884a326f9e38d96ead1ed7d8b13811cdff274b865ddae89de78f2895cd	sheets	1	ORIGINAL_SEMANTIC_SOURCE	IN_SCOPE	PRIVATE_SOURCE	TRAINING_OR_OWNER_ARTIFACT_PENDING_REVIEW		
1. ASSDP Lite.zip	1. ASSDP Lite/Basic/Materi BWI/1 2 Interpersonal Skill ASSDP Basic.PDF	1 2 Interpersonal Skill ASSDP Basic.PDF	pdf	6083462	6ab34629283cc0778290d4907a108576072f9d0eba45443ab83e0d95e4a2ca22	pages	40	ORIGINAL_SEMANTIC_SOURCE	IN_SCOPE	PRIVATE_SOURCE	TRAINING_OR_OWNER_ARTIFACT_PENDING_REVIEW		
1. ASSDP Lite.zip	1. ASSDP Lite/Basic/Materi BWI/4 Presentation Skill ASSDP Basic.PDF	4 Presentation Skill ASSDP Basic.PDF	pdf	9437397	10639600cb873863bd53de16b3aefad42f10d51ed65f5d91f698fbe4b187986b	pages	40	ORIGINAL_SEMANTIC_SOURCE	IN_SCOPE	PRIVATE_SOURCE	TRAINING_OR_OWNER_ARTIFACT_PENDING_REVIEW		
1. ASSDP Lite.zip	1. ASSDP Lite/Basic/Materi BWI/Setting Goal_Time Management_RCA for AHM ASSDP Basic_7Juni2023.pdf	Setting Goal_Time Management_RCA for AHM ASSDP Basic_7Juni2023.pdf	pdf	2724666	6768f46f2bdd7270ddf89dbdc682b3e4d10360257d56ed6fe49dc86f3cfae3d6	pages	47	ORIGINAL_SEMANTIC_SOURCE	IN_SCOPE	PRIVATE_SOURCE	TRAINING_OR_OWNER_ARTIFACT_PENDING_REVIEW		
